Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GNB,Guinea-Bissau,AG.LND.FRST.K2,Forest area (sq. km),2.21600000000000E+04,,,,,,,,,,2.12000000000000E+04,,,,,2.07200000000000E+04,,,,,2.02200000000000E+04,
GNB,Guinea-Bissau,AG.LND.FRST.ZS,Forest area (% of land area),7.88051209103841E+01,,,,,,,,,,7.53911806543386E+01,,,,,7.36842105263158E+01,,,,,7.19061166429588E+01,
GNB,Guinea-Bissau,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,7.46365641817640E+08
GNB,Guinea-Bissau,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,7.69081320233184E+07
GNB,Guinea-Bissau,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
GNB,Guinea-Bissau,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,8.23273773840958E+08
GNB,Guinea-Bissau,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.26350000000000E+08,1.12820000000000E+08,1.06300000000000E+08,9.37900000000000E+07,1.74360000000000E+08,1.17600000000000E+08,1.80280000000000E+08,1.24330000000000E+08,9.58300000000000E+07,5.24200000000000E+07,8.10700000000000E+07,6.07100000000000E+07,6.00400000000000E+07,1.50440000000000E+08,7.63900000000000E+07,6.60300000000000E+07,8.70200000000000E+07,1.22320000000000E+08,1.33850000000000E+08,1.46830000000000E+08,,
GNB,Guinea-Bissau,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.26350000000000E+08,1.12820000000000E+08,1.06300000000000E+08,9.37900000000000E+07,1.74360000000000E+08,1.17600000000000E+08,1.80280000000000E+08,1.24330000000000E+08,9.58300000000000E+07,5.24200000000000E+07,8.10700000000000E+07,6.07100000000000E+07,6.00400000000000E+07,1.50440000000000E+08,7.63900000000000E+07,6.60300000000000E+07,8.70200000000000E+07,1.22320000000000E+08,1.33850000000000E+08,1.46830000000000E+08,,
GNB,Guinea-Bissau,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.41527177915905E+01,4.69789053132966E+01,4.99498212398251E+01,4.23276569508374E+01,7.87069041198292E+01,4.98430792438773E+01,7.15910710212711E+01,4.89776370705428E+01,4.98186812094989E+01,2.49445225025436E+01,3.99250470258830E+01,3.31686735712117E+01,3.08097470820005E+01,3.25110546128877E+01,1.49091201319048E+01,1.17726110906555E+01,1.52885633674665E+01,1.79861138369025E+01,1.60626404893868E+01,1.78086332934817E+01,,
