Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GUY,Guyana,AG.LND.FRST.K2,Forest area (sq. km),1.52050000000000E+05,,,,,,,,,,1.52050000000000E+05,,,,,1.52050000000000E+05,,,,,1.52050000000000E+05,
GUY,Guyana,AG.LND.FRST.ZS,Forest area (% of land area),7.72415544831090E+01,,,,,,,,,,7.72415544831090E+01,,,,,7.72415544831090E+01,,,,,7.72415544831090E+01,
GUY,Guyana,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,8.96519744308019E+08
GUY,Guyana,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,4.93405791718013E+08
GUY,Guyana,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
GUY,Guyana,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.38992553602603E+09
GUY,Guyana,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.68310000000000E+08,1.29380000000000E+08,8.98400000000000E+07,1.06330000000000E+08,7.85100000000000E+07,8.56900000000000E+07,1.41770000000000E+08,2.64570000000000E+08,9.28900000000000E+07,8.71700000000000E+07,1.15840000000000E+08,1.12140000000000E+08,7.18300000000000E+07,9.60600000000000E+07,1.45140000000000E+08,1.49930000000000E+08,1.74320000000000E+08,1.27850000000000E+08,1.66280000000000E+08,1.73480000000000E+08,,
GUY,Guyana,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.68310000000000E+08,1.29380000000000E+08,8.98400000000000E+07,1.06330000000000E+08,7.85100000000000E+07,8.56900000000000E+07,1.41770000000000E+08,2.64570000000000E+08,9.28900000000000E+07,8.71700000000000E+07,1.15840000000000E+08,1.12140000000000E+08,7.18300000000000E+07,9.60600000000000E+07,1.45140000000000E+08,1.49930000000000E+08,1.74320000000000E+08,1.27850000000000E+08,1.66280000000000E+08,1.73480000000000E+08,,
GUY,Guyana,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),6.11726643043984E+01,5.40189801069363E+01,3.19168536270783E+01,2.84401068515853E+01,1.63061460583716E+01,1.51068327969422E+01,2.17985790713481E+01,3.93134190778053E+01,1.43390433446754E+01,1.36605784048351E+01,1.75367219558279E+01,1.76010026490630E+01,1.07661349454448E+01,1.38976958712683E+01,2.14781700544822E+01,1.86380935721616E+01,1.16030133214953E+01,6.30599696369427E+00,7.38562471533880E+00,7.46119587243804E+00,,
