Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HTI,Haiti,AG.LND.FRST.K2,Forest area (sq. km),1.16000000000000E+03,,,,,,,,,,1.09000000000000E+03,,,,,1.05000000000000E+03,,,,,1.01000000000000E+03,
HTI,Haiti,AG.LND.FRST.ZS,Forest area (% of land area),4.20899854862119E+00,,,,,,,,,,3.95500725689405E+00,,,,,3.80986937590711E+00,,,,,3.66473149492017E+00,
HTI,Haiti,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
