Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HPC,Heavily indebted poor countries (HIPC),AG.LND.FRST.K2,Forest area (sq. km),6.73438000000000E+06,,,,,,,,,,6.38243000000000E+06,,,,,6.24100000000000E+06,,,,,6.09911000000000E+06,
HPC,Heavily indebted poor countries (HIPC),AG.LND.FRST.ZS,Forest area (% of land area),3.37744730747280E+01,,,,,,,,,,3.20093624337112E+01,,,,,3.13000582769872E+01,,,,,3.05884471138849E+01,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.57568300000000E+10,1.64797400000000E+10,1.70782200000000E+10,1.52802800000000E+10,1.75026400000000E+10,1.77476500000000E+10,1.52506600000000E+10,1.32794200000000E+10,1.33543800000000E+10,1.28636500000000E+10,1.21092300000000E+10,1.45061000000000E+10,1.87204300000000E+10,2.46872100000000E+10,2.63616700000000E+10,2.72830900000000E+10,3.04369500000000E+10,3.36071500000000E+10,3.77656700000000E+10,4.20337200000000E+10,,
HPC,Heavily indebted poor countries (HIPC),DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.57568300000000E+10,1.64797400000000E+10,1.70782200000000E+10,1.52802800000000E+10,1.75026400000000E+10,1.77476500000000E+10,1.52506600000000E+10,1.32794200000000E+10,1.33543800000000E+10,1.28636500000000E+10,1.21092300000000E+10,1.45061000000000E+10,1.87204300000000E+10,2.46872100000000E+10,2.63616700000000E+10,2.72830900000000E+10,3.04369500000000E+10,3.36071500000000E+10,3.77656700000000E+10,4.20337200000000E+10,,
HPC,Heavily indebted poor countries (HIPC),DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.23082044154227E+01,1.27646049581824E+01,1.37456262772747E+01,1.24441098266245E+01,1.63425122255247E+01,1.45424175394103E+01,1.17668479099997E+01,9.72062514832786E+00,9.48976961163517E+00,9.28020048371605E+00,8.98592502978191E+00,1.06257941982607E+01,1.25975542735558E+01,1.44132934489628E+01,1.34005030879987E+01,1.22290228246312E+01,1.15002594149416E+01,1.05624100845154E+01,9.84838924050234E+00,1.10541645257290E+01,,
HPC,Heavily indebted poor countries (HIPC),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.20622463361178E+01,4.27843931144960E+01,4.31276432327766E+01,3.75431803686764E+01,4.18453038606657E+01,4.12892064019409E+01,3.45374301926944E+01,2.92785796602638E+01,2.86697991213608E+01,2.68944303396960E+01,2.46596584015903E+01,2.87787976089126E+01,3.61863831613711E+01,4.64989300936815E+01,4.83838833339022E+01,4.87969324198259E+01,5.30511279980035E+01,5.70876090455272E+01,6.25238871158968E+01,6.78287389655522E+01,,
HPC,Heavily indebted poor countries (HIPC),DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
HPC,Heavily indebted poor countries (HIPC),DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.10508138599716E+01,2.35480290766204E+01,1.76942405202424E+01,1.82538323177340E+01,2.11169509571205E+01,1.95133545777630E+01,1.90325165388737E+01,1.67556227468269E+01,1.67158493416111E+01,1.41656123623962E+01,1.27126119259282E+01,1.11151052131376E+01,1.06686995841298E+01,8.71391106711227E+00,7.76221054839564E+00,6.68365375300685E+00,5.18191897344245E+00,3.49971963292083E+00,2.91523712486444E+00,3.23109659045813E+00,,
HPC,Heavily indebted poor countries (HIPC),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.77700084726572E+00,2.78291637793823E+00,2.73681271500977E+00,2.77417944430251E+00,2.70137219230418E+00,2.73369097865349E+00,2.77728394668284E+00,2.84086099032595E+00,2.85227132965500E+00,2.82845435955155E+00,2.82941649193991E+00,2.86755649453464E+00,2.85285013385709E+00,2.88147906079297E+00,2.90527125718946E+00,2.98946893225318E+00,3.10245525057825E+00,3.01476008740172E+00,3.11257707581144E+00,,,
