Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
OEC,High income: OECD,AG.LND.FRST.K2,Forest area (sq. km),9.39829000000000E+06,,,,,,,,,,9.51866000000000E+06,,,,,9.55452000000000E+06,,,,,9.55093000000000E+06,
OEC,High income: OECD,AG.LND.FRST.ZS,Forest area (% of land area),3.04765848599800E+01,,,,,,,,,,3.08649465251132E+01,,,,,3.09812653637344E+01,,,,,3.09858611170499E+01,
OEC,High income: OECD,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OEC,High income: OECD,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.83170000000000E+09,5.29814000000000E+09,4.01690000000000E+09,2.66000000000000E+09,3.43389000000000E+09,4.29216000000000E+09,3.80268000000000E+09,2.42142000000000E+09,2.86317000000000E+09,3.02991000000000E+09,2.92244000000000E+09,2.11541000000000E+09,2.13998000000000E+09,2.01316000000000E+09,2.94584000000000E+09,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
OEC,High income: OECD,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.42389000000000E+09,1.80359000000000E+09,2.06267000000000E+09,1.23212000000000E+09,1.15482000000000E+09,4.45130000000000E+08,2.15006000000000E+09,-6.30300000000000E+07,-1.06100000000000E+07,-2.40500000000000E+07,6.08100000000000E+07,1.25660000000000E+08,5.27600000000000E+07,,,,,,,,,
OEC,High income: OECD,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),8.12911845696709E-03,9.74728430699070E-03,1.03935562336626E-02,6.16566065325942E-03,5.38894477040889E-03,1.87381063586659E-03,8.99060235899894E-03,-2.68043884118512E-04,-4.47649171978926E-05,-9.64988652257400E-05,2.39207786074159E-04,4.98719411952200E-04,2.01293869802535E-04,,,,,,,,,
