Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NOC,High income: nonOECD,AG.LND.FRST.K2,Forest area (sq. km),7.61800000000000E+04,,,,,,,,,,7.81426000000000E+04,,,,,7.83328000000000E+04,,,,,7.84900000000000E+04,
NOC,High income: nonOECD,AG.LND.FRST.ZS,Forest area (% of land area),2.61211378913542E+00,,,,,,,,,,2.61768294194458E+00,,,,,2.62401925216952E+00,,,,,3.05084245074885E+00,
NOC,High income: nonOECD,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.13855000000000E+09,9.34730000000000E+08,9.75100000000000E+08,1.20075000000000E+09,1.25437000000000E+09,1.24563000000000E+09,1.31201000000000E+09,1.07274000000000E+09,1.09994000000000E+09,9.50280000000000E+08,1.07266000000000E+09,9.35290000000000E+08,1.10909000000000E+09,1.39851000000000E+09,1.51742000000000E+09,1.82280000000000E+08,2.99710000000000E+08,8.55300000000000E+07,3.21990000000000E+08,4.32040000000000E+08,,
NOC,High income: nonOECD,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.13855000000000E+09,9.34730000000000E+08,9.75100000000000E+08,1.20075000000000E+09,1.25437000000000E+09,1.24563000000000E+09,1.28171000000000E+09,1.01924000000000E+09,9.46270000000000E+08,8.49510000000000E+08,2.29370000000000E+08,1.74490000000000E+08,2.90770000000000E+08,2.88390000000000E+08,3.11390000000000E+08,1.82280000000000E+08,2.99710000000000E+08,8.55300000000000E+07,3.21990000000000E+08,4.32040000000000E+08,,
NOC,High income: nonOECD,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.94640418540061E-01,1.50014693058169E-01,1.40706868280032E-01,1.64220605723704E-01,1.58205104600992E-01,1.42138495371554E-01,1.35904833294926E-01,1.02347778044714E-01,1.02068123382078E-01,8.74371595288470E-02,2.14504624338580E-02,1.68487993422325E-02,2.74078589277530E-02,2.51683451580851E-02,2.40816628587876E-02,1.22665550361679E-02,1.80996329404554E-02,4.66700982996191E-03,1.55001804405440E-02,,,
NOC,High income: nonOECD,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.74361572929908E+01,1.41269267958116E+01,1.49254408141591E+01,1.80040513569255E+01,1.84930533016733E+01,1.76372314461318E+01,1.78898761958617E+01,1.40249060145448E+01,1.28284791903094E+01,1.13620880733136E+01,3.02788252693854E+00,2.26484810768118E+00,3.71229573963091E+00,3.62292240682347E+00,3.83371730124749E+00,2.19434152586943E+00,3.51828403059671E+00,9.76820895566026E-01,3.57686437598713E+00,4.68457675145565E+00,,
NOC,High income: nonOECD,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
NOC,High income: nonOECD,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.89594538976671E+00,5.55718804786370E+00,5.39909459490134E+00,5.26514522464308E+00,5.16734717023406E+00,5.33671806013587E+00,5.29343992899846E+00,5.40261767342465E+00,5.23340533626751E+00,5.20997892844883E+00,5.22058584561507E+00,5.08593317286043E+00,4.93916419366104E+00,5.07448473932372E+00,5.06603125668924E+00,5.11705102938227E+00,5.17969745275422E+00,5.25155868115670E+00,5.20387872366963E+00,,,
NOC,High income: nonOECD,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.69608083842779E+02,1.79947122787112E+02,1.85216239949631E+02,1.89928284469644E+02,1.93522898124669E+02,1.87381081168553E+02,1.88913072295732E+02,1.85095459358336E+02,1.91080173566912E+02,1.91939355942411E+02,1.91549383454719E+02,1.96620751003219E+02,2.02463404898223E+02,1.97064342759906E+02,1.97393176103995E+02,1.95425059132295E+02,1.93061469153622E+02,1.90419656470399E+02,1.92164355301276E+02,,,
NOC,High income: nonOECD,EN.ATM.CO2E.KT,CO2 emissions (kt),6.31949369045563E+05,6.86881536401236E+05,7.47795083350873E+05,8.23961292440579E+05,8.53015974918320E+05,7.84673368526633E+05,7.91902090837801E+05,7.99296768866736E+05,8.59731666181510E+05,8.66261830703931E+05,1.00647125560644E+06,9.84939466084817E+05,1.00077472910816E+06,1.06022932985751E+06,1.12592077804671E+06,1.19546008322697E+06,1.22099024771622E+06,1.27997785679464E+06,,,,
