Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HND,Honduras,AG.LND.FRST.K2,Forest area (sq. km),8.13600000000000E+04,,,,,,,,,,6.39200000000000E+04,,,,,5.79200000000000E+04,,,,,5.19200000000000E+04,
HND,Honduras,AG.LND.FRST.ZS,Forest area (% of land area),7.27142729466440E+01,,,,,,,,,,5.71275359728305E+01,,,,,5.17651264634909E+01,,,,,4.64027169541514E+01,
HND,Honduras,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,8.16361708043039E+08
HND,Honduras,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.89330535458689E+09
HND,Honduras,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
HND,Honduras,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.70966706262993E+09
HND,Honduras,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.48490000000000E+08,3.01700000000000E+08,3.73390000000000E+08,3.36170000000000E+08,2.92450000000000E+08,4.02380000000000E+08,3.56030000000000E+08,2.96370000000000E+08,3.16380000000000E+08,8.15590000000000E+08,4.48290000000000E+08,6.57070000000000E+08,4.61350000000000E+08,3.93770000000000E+08,6.57920000000000E+08,6.90050000000000E+08,5.94360000000000E+08,4.64340000000000E+08,5.64330000000000E+08,4.57100000000000E+08,,
HND,Honduras,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.48490000000000E+08,3.01700000000000E+08,3.73390000000000E+08,3.36170000000000E+08,2.92450000000000E+08,4.02380000000000E+08,3.56030000000000E+08,2.96370000000000E+08,3.16380000000000E+08,8.15590000000000E+08,4.48290000000000E+08,6.57070000000000E+08,4.61350000000000E+08,3.93770000000000E+08,6.57920000000000E+08,6.90050000000000E+08,5.94360000000000E+08,4.64340000000000E+08,5.64330000000000E+08,4.57100000000000E+08,,
HND,Honduras,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.60353993732391E+01,1.07608724491129E+01,1.20680394330985E+01,1.02367071393095E+01,9.00494457398085E+00,1.10284811569144E+01,9.42966669488218E+00,6.65896162643925E+00,6.33632428555323E+00,1.56571929480724E+01,6.44961775774263E+00,9.12527332446494E+00,6.23840516130151E+00,5.00523284414206E+00,7.81487007716210E+00,7.41967361715874E+00,5.72838629391764E+00,3.87187582013157E+00,4.16610189533385E+00,3.30594100660096E+00,,
HND,Honduras,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.17286709722495E+01,6.00177885006554E+01,7.22870340613856E+01,6.33828814747470E+01,5.37523634405997E+01,7.21745030895415E+01,6.23891087608131E+01,5.07864905912958E+01,5.30571147984373E+01,1.33919217938959E+02,7.20937783595156E+01,1.03520063422522E+02,7.12231909564224E+01,5.95778366271836E+01,9.75689620603376E+01,1.00309002022461E+02,8.46935828181292E+01,6.48626540215642E+01,7.72764531459553E+01,6.13563388507505E+01,,
HND,Honduras,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.69252753513103E+01,2.91119954519613E+01,3.41741180738188E+01,3.01486976856705E+01,3.45637107975729E+01,3.46593485693720E+01,3.10555247364970E+01,2.48936057309631E+01,2.22647212718857E+01,2.10023800250984E+01,9.79831222011783E+00,8.54166900710750E+00,9.01714552249036E+00,9.38967278336963E+00,6.09210458455356E+00,6.53043388468408E+00,5.36316240324648E+00,5.19075939560039E+00,5.15640710944349E+00,6.77945155193758E+00,,
HND,Honduras,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.29719901253323E+01,2.64016486640136E+01,3.22021402013240E+01,2.83466655914846E+01,3.22136852109072E+01,3.09713274548617E+01,2.70267285289223E+01,2.01709118245335E+01,1.25737373737374E+01,1.06483126110124E+01,8.46614624576624E+00,4.82657114098971E+00,5.23962025491185E+00,5.35214621831224E+00,3.81687874111978E+00,2.96817767029070E+00,2.72752397239973E+00,2.74576565831785E+00,2.80000000000000E+00,1.60000000000000E+00,,
HND,Honduras,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.46061544310820E+00,5.59121153211973E+00,5.66265550659794E+00,5.88380156968639E+00,5.59503817071965E+00,5.47599035232954E+00,5.65085476006586E+00,5.43111902316332E+00,5.21646394666088E+00,5.82345074794789E+00,5.99575489201472E+00,5.74293340227398E+00,5.67918119389425E+00,5.48795683088548E+00,5.51963686816956E+00,5.60893354452821E+00,5.93884701189857E+00,5.38205173016866E+00,5.74219724762331E+00,,,
HND,Honduras,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.83129541059715E+02,1.78852113581344E+02,1.76595591738688E+02,1.69958144943576E+02,1.78729790483516E+02,1.82615369213459E+02,1.76964378392260E+02,1.84124118019707E+02,1.91700740238052E+02,1.71719491291720E+02,1.66784669822281E+02,1.74127041000343E+02,1.76081721265578E+02,1.82217176777364E+02,1.81171338601415E+02,1.78287011614810E+02,1.68382852428508E+02,1.85802747750375E+02,1.74149364237514E+02,,,
HND,Honduras,EN.ATM.CO2E.KT,CO2 emissions (kt),2.59044800000000E+03,2.69670400000000E+03,3.07409600000000E+03,2.84692800000000E+03,3.33424000000000E+03,3.87651200000000E+03,3.95712000000000E+03,4.15497600000000E+03,4.64595200000000E+03,4.73755200000000E+03,5.02700800000000E+03,5.70851200000000E+03,6.08590400000000E+03,6.76374400000000E+03,7.36097600000000E+03,7.61379200000000E+03,7.10083200000000E+03,8.82657600000000E+03,,,,
HND,Honduras,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),5.29818618615179E-01,5.36460756781145E-01,5.95134530276572E-01,5.36771573879699E-01,6.12833921279485E-01,6.95326127840958E-01,6.93428053983060E-01,7.12004081152141E-01,7.79128922852359E-01,7.77902204275616E-01,8.08440965811219E-01,8.99364640431354E-01,9.39541568731885E-01,1.02336194992024E+00,1.09162631941734E+00,1.10677759166234E+00,1.01183609776839E+00,1.23296538158040E+00,,,,
HND,Honduras,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),2.76222556066273E-01,2.69339965856889E-01,2.84689909661892E-01,2.42865082854004E-01,2.82441868503851E-01,3.08382343281751E-01,2.98579820529794E-01,2.92951463685430E-01,3.13919378430155E-01,3.21560990792942E-01,3.15827591574591E-01,3.41396198623769E-01,3.45188121518292E-01,3.59207137533153E-01,3.57847007460748E-01,3.37755716033031E-01,2.86277933027736E-01,3.25176247461789E-01,,,,
HND,Honduras,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,3.49000000000000E+01,,,,,,
HND,Honduras,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,1.24465756280621E+00,,,,,,,,,,,
HND,Honduras,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.85717217319926E+04,,,,,1.64387355077201E+04,,,,,1.48096688164075E+04,,,,,1.34002549861926E+04,,,,
HND,Honduras,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.38020012648167E-02,2.37994962199712E-02,2.36223797257038E-01,2.47832141513815E-01,2.47894149488674E-01,2.47956162854699E-01,2.48018179161361E-01,2.48080201349296E-01,2.48142067438448E-01,3.30554979694538E-01,7.02104660533790E-01,7.02104660533790E-01,7.02104660533790E-01,1.89086013002563E+00,1.89086013002563E+00,1.89107316247043E+00,1.89107316247043E+00,1.89107316247043E+00,1.89107316247043E+00,1.89107316394075E+00,,
HND,Honduras,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.04969329399880E-02,2.47223639288938E-01,5.85208002404156E-01,1.29040859983409E+00,2.49706062139694E+00,3.74379733529617E+00,5.04062894392534E+00,5.73978902876340E+00,1.04877291369821E+01,1.86279507788866E+01,3.19297486138401E+01,5.84570443812031E+01,8.50462880928835E+01,1.03544694354559E+02,,
HND,Honduras,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.80062180540367E+00,1.87855479075038E+00,2.02794373308450E+00,2.20828545883535E+00,2.41101727703338E+00,2.88459451572071E+00,3.33361078960257E+00,4.00289121594377E+00,4.18407957862877E+00,4.58439214444800E+00,4.80388784383010E+00,4.87929302541312E+00,4.97870714509014E+00,5.05950899462382E+00,5.74383283247775E+00,7.17637100477480E+00,1.01899335814559E+01,1.14758034809932E+01,1.13076567678278E+01,1.11410547464719E+01,,
HND,Honduras,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,3.68603319869297E-02,4.38088846170359E-02,1.71361779502972E-01,3.01861074142446E-01,5.74697167432601E-01,1.20614632870768E+00,1.41793198715921E+00,2.60222847461029E+00,4.80895436259340E+00,5.61061572611405E+00,6.51270786625796E+00,7.81593124538582E+00,9.42010127648150E+00,9.62109848602073E+00,9.82114848703805E+00,,
