Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HKG,"Hong Kong SAR, China",AG.LND.FRST.K2,Forest area (sq. km),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",AG.LND.FRST.ZS,Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.81600000000000E+07,3.60700000000000E+07,-3.90000000000000E+07,3.02700000000000E+07,2.68700000000000E+07,1.77300000000000E+07,1.32000000000000E+07,8.44000000000000E+06,6.82000000000000E+06,3.75000000000000E+06,4.33000000000000E+06,3.57000000000000E+06,3.96000000000000E+06,5.02000000000000E+06,6.95000000000000E+06,,,,,,,
