Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,Hungary,AG.LND.FRST.K2,Forest area (sq. km),1.80100000000000E+04,,,,,,,,,,1.90700000000000E+04,,,,,1.98300000000000E+04,,,,,2.02900000000000E+04,
HUN,Hungary,AG.LND.FRST.ZS,Forest area (% of land area),2.00400578613553E+01,,,,,,,,,,2.12787324257978E+01,,,,,2.21292266488115E+01,,,,,2.26425622140386E+01,
HUN,Hungary,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,2.00000000000000E+04,2.32000000000000E+06,2.03500000000000E+07,4.70000000000000E+05,2.55100000000000E+07,4.49000000000000E+06,1.07000000000000E+07,,
HUN,Hungary,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,2.52818931081559E-05,2.43917824925878E-03,2.17767518032435E-02,4.08998168558414E-04,1.89968091169194E-02,3.15493654466993E-03,8.71485389018046E-03,,
HUN,Hungary,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,2.12100000000000E+07,7.01400000000000E+07,1.00330000000000E+08,1.49490000000000E+08,1.03490000000000E+08,1.06930000000000E+08,1.16920000000000E+08,1.12620000000000E+08,
HUN,Hungary,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,3.00000000000000E-02,7.00000000000000E-02,1.10000000000000E-01,1.30000000000000E-01,8.00000000000000E-02,8.00000000000000E-02,1.00000000000000E-01,9.00000000000000E-02,
HUN,Hungary,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,3.08300000000000E+07,8.71000000000000E+07,1.19960000000000E+08,1.80840000000000E+08,1.03170000000000E+08,9.72900000000000E+07,1.16920000000000E+08,1.14350000000000E+08,
HUN,Hungary,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.70100000000000E+07,6.26220000000000E+08,2.21150000000000E+08,1.64340000000000E+08,1.99080000000000E+08,-2.45240000000000E+08,2.02760000000000E+08,1.76150000000000E+08,2.38750000000000E+08,2.48780000000000E+08,2.52170000000000E+08,4.21680000000000E+08,1.61510000000000E+08,2.61440000000000E+08,3.02100000000000E+08,,,,,,,
HUN,Hungary,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.44608584619831E+00,4.10726096082051E+00,4.33717888552179E+00,4.20640325046184E+00,4.46669513666626E+00,4.36871752244472E+00,4.30973389892473E+00,4.58239041812288E+00,4.87717964158744E+00,5.12071793351631E+00,5.54811662908795E+00,5.64176147556280E+00,5.88792835860465E+00,6.01540169217588E+00,6.29306915709617E+00,6.20046820613815E+00,6.30519819791679E+00,6.49703946277857E+00,6.61765504344518E+00,6.57272643490409E+00,,
HUN,Hungary,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.24916934713500E+02,2.43471259688410E+02,2.30564619628248E+02,2.37732794612643E+02,2.23879170035848E+02,2.28900127980901E+02,2.32032887285570E+02,2.18226713299047E+02,2.05036532071334E+02,1.95285116849488E+02,1.80241344379307E+02,1.77249606232288E+02,1.69839023013688E+02,1.66239937276455E+02,1.58904975463742E+02,1.61278143319895E+02,1.58599296740647E+02,1.53916257663045E+02,1.51110928785946E+02,1.52143864483627E+02,,
HUN,Hungary,EN.ATM.CO2E.KT,CO2 emissions (kt),6.33908640000000E+04,6.50213440000000E+04,5.94264160000000E+04,6.06831680000000E+04,5.88768160000000E+04,6.14562720000000E+04,6.42225920000000E+04,6.32516320000000E+04,6.09652960000000E+04,6.02215040000000E+04,5.71474080000000E+04,5.70264960000000E+04,5.68872640000000E+04,5.98111360000000E+04,5.80963840000000E+04,5.89317760000000E+04,5.77592960000000E+04,5.64256000000000E+04,,,,
