Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISL,Iceland,AG.LND.FRST.K2,Forest area (sq. km),9.00000000000000E+01,,,,,,,,,,1.80000000000000E+02,,,,,2.50000000000000E+02,,,,,3.00000000000000E+02,
ISL,Iceland,AG.LND.FRST.ZS,Forest area (% of land area),8.97755610972569E-02,,,,,,,,,,1.79551122194514E-01,,,,,2.49376558603491E-01,,,,,2.99251870324190E-01,
ISL,Iceland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,7.50000000000000E+05,,3.40000000000000E+05,,,9.00000000000000E+05,8.30000000000000E+05,1.33000000000000E+06,2.18000000000000E+06,3.46000000000000E+06,3.12000000000000E+06,3.94000000000000E+06,4.74000000000000E+06,8.45000000000000E+06,1.30900000000000E+07,1.50500000000000E+07,1.59100000000000E+07,1.20700000000000E+07,,
ISL,Iceland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,1.11659483239912E-02,,5.63946564404356E-03,,,,,1.57657657657658E-02,2.63444108761329E-02,4.69789545145961E-02,3.74504861361181E-02,3.72084238360563E-02,3.95112607093022E-02,5.43640499866181E-02,8.48732412630487E-02,8.27336745295725E-02,1.55812359220449E-01,1.22158449731343E-01,,
ISL,Iceland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,8.00000000000000E+06,5.00000000000000E+06,7.00000000000000E+06,6.00000000000000E+06,,,7.82000000000000E+06,7.15000000000000E+06,7.57000000000000E+06,8.61000000000000E+06,9.73000000000000E+06,1.26500000000000E+07,1.76600000000000E+07,2.12400000000000E+07,2.72300000000000E+07,4.14900000000000E+07,4.82400000000000E+07,4.83900000000000E+07,3.45600000000000E+07,2.86200000000000E+07,
ISL,Iceland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,9.00000000000000E-02,1.00000000000000E-01,1.30000000000000E-01,1.50000000000000E-01,1.70000000000000E-01,1.80000000000000E-01,1.80000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,4.70000000000000E-01,3.50000000000000E-01,2.80000000000000E-01,
ISL,Iceland,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,8.64000000000000E+06,5.09000000000000E+06,8.21000000000000E+06,7.10000000000000E+06,,,8.64000000000000E+06,7.53000000000000E+06,7.86000000000000E+06,9.39000000000000E+06,1.21000000000000E+07,1.39600000000000E+07,1.62200000000000E+07,1.74200000000000E+07,1.94500000000000E+07,3.02800000000000E+07,3.05400000000000E+07,3.88700000000000E+07,3.45600000000000E+07,2.67600000000000E+07,
ISL,Iceland,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.12830102490955E+00,3.17761681791064E+00,3.09606959584974E+00,2.92665999900457E+00,3.02672537563834E+00,2.93744999245779E+00,2.90643497283666E+00,2.99772206470107E+00,3.00040654710920E+00,2.72018019445684E+00,2.70960422444538E+00,2.69585508354575E+00,2.66097681965493E+00,2.73508949890235E+00,2.86272543739805E+00,2.97778051993073E+00,2.60621453653409E+00,2.34661628308560E+00,2.21528807878185E+00,1.96278353467950E+00,,
