Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IND,India,AG.LND.FRST.K2,Forest area (sq. km),6.39390000000000E+05,,,,,,,,,,6.53900000000000E+05,,,,,6.77090000000000E+05,,,,,6.84340000000000E+05,
IND,India,AG.LND.FRST.ZS,Forest area (% of land area),2.15051846669739E+01,,,,,,,,,,2.19932126772927E+01,,,,,2.27731830121856E+01,,,,,2.30170288478032E+01,
IND,India,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
IND,India,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
IND,India,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IND,India,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IND,India,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
IND,India,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IND,India,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.39893000000000E+09,2.73623000000000E+09,2.42285000000000E+09,1.44729000000000E+09,2.31683000000000E+09,1.72902000000000E+09,1.89231000000000E+09,1.64037000000000E+09,1.60316000000000E+09,1.48343000000000E+09,1.37265000000000E+09,1.73145000000000E+09,1.75777000000000E+09,7.26610000000000E+08,7.73830000000000E+08,1.86749000000000E+09,1.38300000000000E+09,1.39086000000000E+09,2.11381000000000E+09,2.50215000000000E+09,,
IND,India,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.39893000000000E+09,2.73623000000000E+09,2.42285000000000E+09,1.44729000000000E+09,2.31683000000000E+09,1.72902000000000E+09,1.89231000000000E+09,1.64037000000000E+09,1.60316000000000E+09,1.48343000000000E+09,1.37265000000000E+09,1.73145000000000E+09,1.75777000000000E+09,7.26610000000000E+08,7.73830000000000E+08,1.86749000000000E+09,1.38300000000000E+09,1.39086000000000E+09,2.11381000000000E+09,2.50215000000000E+09,,
IND,India,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.46569275920289E-01,1.03878793753839E+00,1.00219779956974E+00,5.31728302380743E-01,7.25507099845315E-01,4.90825339917799E-01,4.91945030841392E-01,4.02681080429842E-01,3.88461576230352E-01,3.31926543376963E-01,3.01544838407352E-01,3.65561667863423E-01,3.48943018235994E-01,1.22018878565809E-01,1.07987295230127E-01,2.25504991518857E-01,1.46507996947732E-01,1.12409491132952E-01,1.75183760592464E-01,1.82288565624803E-01,,
IND,India,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.64673961024820E+00,3.15768640439454E+00,2.74444083228650E+00,1.60929982242316E+00,2.53012732377631E+00,1.85481344804651E+00,1.99451103326706E+00,1.69911136704910E+00,1.63224254330993E+00,1.48489111727178E+00,1.35113586364321E+00,1.67699231401389E+00,1.67623664186645E+00,6.82648391414993E-01,7.16694276577435E-01,1.70612004754322E+00,1.24615796406191E+00,1.23655412410492E+00,1.85427633897080E+00,2.16571171395673E+00,,
IND,India,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.48702407528193E+01,3.37937053145235E+01,3.03836376525437E+01,3.02961996751881E+01,3.35382772019214E+01,3.44489318435059E+01,2.84326343509889E+01,2.69241308449939E+01,2.53066780925824E+01,1.89430027599902E+01,1.74856241930952E+01,1.78979522850168E+01,2.08994031917242E+01,2.91635583233962E+01,1.44619291932384E+01,1.49006488585043E+01,8.60637222235821E+00,1.58135818189466E+01,1.00947966491556E+01,5.88552681447792E+00,,
IND,India,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.90792342992718E+01,2.85262065656207E+01,2.71146644991143E+01,2.66557265504077E+01,3.09867046584321E+01,3.17335961123457E+01,2.62286637175611E+01,2.51633173000207E+01,2.30238053034092E+01,1.59061763177863E+01,1.57830806910874E+01,1.27577148926818E+01,1.60683319292431E+01,2.04200935399881E+01,7.68933615158190E+00,9.66107570045704E+00,3.01715949215347E+00,4.06121093313753E+00,4.69254972195168E+00,2.31888110033158E+00,,
