Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IDN,Indonesia,AG.LND.FRST.K2,Forest area (sq. km),1.18545000000000E+06,,,,,,,,,,9.94090000000000E+05,,,,,9.78570000000000E+05,,,,,9.44320000000000E+05,
IDN,Indonesia,AG.LND.FRST.ZS,Forest area (% of land area),6.54377142478624E+01,,,,,,,,,,5.48745011233350E+01,,,,,5.40177856776167E+01,,,,,5.21271604188632E+01,
IDN,Indonesia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.71586000000000E+09,1.82448000000000E+09,1.96923000000000E+09,1.91574000000000E+09,1.54816000000000E+09,1.30116000000000E+09,1.07057000000000E+09,8.05300000000000E+08,1.25376000000000E+09,2.12176000000000E+09,1.65072000000000E+09,1.46391000000000E+09,1.30353000000000E+09,1.76999000000000E+09,1.27000000000000E+08,2.50863000000000E+09,1.31114000000000E+09,8.95680000000000E+08,1.22521000000000E+09,1.04764000000000E+09,,
IDN,Indonesia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.71586000000000E+09,1.82448000000000E+09,1.96923000000000E+09,1.91574000000000E+09,1.54816000000000E+09,1.30116000000000E+09,1.07057000000000E+09,8.05300000000000E+08,1.25376000000000E+09,2.12176000000000E+09,1.65072000000000E+09,1.46391000000000E+09,1.30353000000000E+09,1.76999000000000E+09,1.27000000000000E+08,2.50863000000000E+09,1.31114000000000E+09,8.95680000000000E+08,1.22521000000000E+09,1.04764000000000E+09,,
IDN,Indonesia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.57117438598311E+00,1.64317943968610E+00,1.61550948208161E+00,1.26041770166175E+00,8.99313092104160E-01,6.63221523054829E-01,4.83815629215014E-01,3.84501585053584E-01,1.39208454391555E+00,1.64048008345505E+00,1.09815602376736E+00,1.02077229546004E+00,7.56205449151655E-01,7.84059672687509E-01,5.18258978923084E-02,9.22433456685964E-01,3.75644099343045E-01,2.16173182429681E-01,2.48978670311238E-01,2.01288477049419E-01,,
IDN,Indonesia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.30782641216740E+00,9.73306204581658E+00,1.03364903082629E+01,9.89915300529054E+00,7.87914013020389E+00,6.52536503461010E+00,5.29311615206628E+00,3.92707685993099E+00,6.03235325763988E+00,1.00743183245287E+01,7.73549905438220E+00,6.77098199969465E+00,5.95147529385332E+00,7.97870584074093E+00,5.65433246462455E-01,1.10364934409737E+01,5.70262824425382E+00,3.85302104717049E+00,5.21474348663978E+00,4.41270445597688E+00,,
IDN,Indonesia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.34846182332346E+01,3.43668724156529E+01,3.27763557426654E+01,3.38720031735346E+01,3.09696058001216E+01,3.02804882996183E+01,3.71519647567978E+01,3.03264724859434E+01,3.22649975840812E+01,3.06044618396406E+01,2.27496053418268E+01,2.38579836951726E+01,2.51327436229831E+01,2.62213926848408E+01,2.41657956335487E+01,1.97807100687789E+01,2.40418152277332E+01,1.78631967485379E+01,1.34860014385160E+01,1.83841372100243E+01,,
IDN,Indonesia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.56237240775653E+01,2.37463264816923E+01,2.19577739771083E+01,2.14531422801366E+01,1.90893375010853E+01,1.75046912168766E+01,2.02619049261169E+01,1.37037545703137E+01,1.28916092647152E+01,1.66582023957342E+01,1.11291275596572E+01,1.36802572056785E+01,1.36277522359353E+01,1.27176999354790E+01,1.36305457670873E+01,9.39784824489838E+00,1.47690603470564E+01,8.06165237869531E+00,5.81205325400082E+00,7.29527635502757E+00,,
IDN,Indonesia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.56257853915090E+00,3.68373164353335E+00,3.77935163431533E+00,3.87826100195179E+00,3.98175719262858E+00,4.04503707728004E+00,4.18919314005231E+00,4.18412363907504E+00,3.69241966914420E+00,3.52521773212632E+00,3.60093575887463E+00,3.54540596448118E+00,3.62541254212220E+00,3.73526012401923E+00,3.79534153821690E+00,3.92968809588350E+00,4.10239821645781E+00,4.15037697522472E+00,4.22153703783546E+00,,,
IDN,Indonesia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.80695566149775E+02,2.71463856971086E+02,2.64595649401953E+02,2.57847524830520E+02,2.51145399285345E+02,2.47216522591783E+02,2.38709452290260E+02,2.38998673619756E+02,2.70825120003700E+02,2.83670421513745E+02,2.77705592924135E+02,2.82055146862804E+02,2.75830678131497E+02,2.67718971851410E+02,2.63480898867882E+02,2.54473122446420E+02,2.43759856366027E+02,2.40941968878828E+02,2.36880546359659E+02,,,
IDN,Indonesia,EN.ATM.CO2E.KT,CO2 emissions (kt),1.49443568000000E+05,1.79583632000000E+05,2.02410352000000E+05,2.18422032000000E+05,2.21232320000000E+05,2.24757088000000E+05,2.53083472000000E+05,2.78431024000000E+05,2.10038800000000E+05,2.37401552000000E+05,2.57908960000000E+05,2.88829456000000E+05,3.03258288000000E+05,3.05815760000000E+05,3.33504608000000E+05,3.40814288000000E+05,3.42547360000000E+05,3.96818528000000E+05,,,,
IDN,Indonesia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),8.10669162611713E-01,9.58025647126355E-01,1.06245214715400E+00,1.12864643140221E+00,1.12593042748173E+00,1.12716502452887E+00,1.25129623795195E+00,1.35777974846305E+00,1.01058275859078E+00,1.12720515307346E+00,1.20859656161959E+00,1.33591480866829E+00,1.38457435478144E+00,1.37854676608491E+00,1.48483931662700E+00,1.49938199499413E+00,1.48986397343578E+00,1.70702721986782E+00,,,,
IDN,Indonesia,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.59376112293053E-01,5.96810695320971E-01,6.14434631527479E-01,6.04932427168478E-01,5.58386792866227E-01,5.11443501740953E-01,5.25697393481633E-01,5.41941924891374E-01,4.64073505158272E-01,5.12896554874639E-01,5.19826341046065E-01,5.49230954683949E-01,5.43016964816016E-01,5.11586916808420E-01,5.16541587706603E-01,4.83315552716799E-01,4.45940096122938E-01,4.71891342073343E-01,,,,
IDN,Indonesia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),5.08000000000000E+01,,,,,4.26000000000000E+01,,,,,3.44000000000000E+01,,,,,2.63000000000000E+01,,2.30000000000000E+01,,,,
IDN,Indonesia,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",3.68103021297672E+00,,,,,,,,,,5.61168895492818E+00,,,,,,,,,,,
IDN,Indonesia,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.05977330897776E+04,,,,,9.84573224910056E+03,,,,,9.21806833620236E+03,,,,,8.68529998910014E+03,,,,
IDN,Indonesia,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),4.83145499804922E-01,5.50061301629243E-01,5.70416636695494E-01,5.94870005766341E-01,5.94905432506493E-01,6.29135079742207E-01,9.58958732933363E-01,1.02520850702368E+00,1.02693026086637E+00,1.02693026298288E+00,1.02693026298288E+00,1.17370354827810E+00,1.85430058117422E+00,1.85430058117422E+00,1.94463023600433E+00,1.94463023600433E+00,1.94463023600433E+00,1.94490843000849E+00,1.94490843000849E+00,1.94490843000849E+00,,
