Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRN,"Iran, Islamic Rep.",AG.LND.FRST.K2,Forest area (sq. km),1.10750000000000E+05,,,,,,,,,,1.10750000000000E+05,,,,,1.10750000000000E+05,,,,,1.10750000000000E+05,
IRN,"Iran, Islamic Rep.",AG.LND.FRST.ZS,Forest area (% of land area),6.80052807712382E+00,,,,,,,,,,6.80052807712382E+00,,,,,6.80052807712382E+00,,,,,6.80052807712382E+00,
IRN,"Iran, Islamic Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.04840000000000E+08,1.93380000000000E+08,1.05700000000000E+08,1.40080000000000E+08,1.29640000000000E+08,1.86540000000000E+08,1.64090000000000E+08,1.99220000000000E+08,1.64330000000000E+08,1.61260000000000E+08,1.29870000000000E+08,1.15510000000000E+08,1.14200000000000E+08,1.29620000000000E+08,1.89610000000000E+08,1.08690000000000E+08,1.15760000000000E+08,1.02360000000000E+08,9.83600000000000E+07,9.26900000000000E+07,,
IRN,"Iran, Islamic Rep.",DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.04840000000000E+08,1.93380000000000E+08,1.05700000000000E+08,1.40080000000000E+08,1.29640000000000E+08,1.86540000000000E+08,1.64090000000000E+08,1.99220000000000E+08,1.64330000000000E+08,1.61260000000000E+08,1.29870000000000E+08,1.15510000000000E+08,1.14200000000000E+08,1.29620000000000E+08,1.89610000000000E+08,1.08690000000000E+08,1.15760000000000E+08,1.02360000000000E+08,9.83600000000000E+07,9.26900000000000E+07,,
IRN,"Iran, Islamic Rep.",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),9.04403745394698E-02,,,2.36407837561829E-01,1.96534891168611E-01,2.06871003267176E-01,1.49391068415785E-01,1.89513011340465E-01,1.59884623788977E-01,1.54273682256632E-01,1.28159143726741E-01,9.98457590118508E-02,9.98087505717352E-02,9.76402867174188E-02,1.18261040736765E-01,5.76596318288450E-02,5.27871125674366E-02,3.61696134556474E-02,2.93040172142853E-02,2.82081265774329E-02,,
IRN,"Iran, Islamic Rep.",DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.91067771231809E+00,3.44880812540478E+00,1.85218787283057E+00,2.41765492856769E+00,2.20443742506949E+00,3.12163669751521E+00,2.69815257859625E+00,3.21552179273814E+00,2.60291633070941E+00,2.50877796143573E+00,1.98753276571038E+00,1.74187620440123E+00,1.69907986344873E+00,1.90444860357944E+00,2.75222607566774E+00,1.55868165389245E+00,1.64007620857224E+00,1.43290104871950E+00,1.36064413745599E+00,1.26734501596918E+00,,
IRN,"Iran, Islamic Rep.",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.24226865376046E+00,4.10768089243680E+00,5.16900646905475E+00,9.33609629821382E+00,1.64526131707805E+01,2.96912605739789E+01,2.71059438055520E+01,3.10480263486202E+01,1.81480483455518E+01,1.73061087082534E+01,9.68069430150000E+00,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.25201762638016E+00,1.14994882816498E+00,1.37866177464517E+00,2.95763396324100E+00,1.32958229239532E+01,2.71259795526493E+01,2.59817304856986E+01,3.01087130096312E+01,1.68078660590450E+01,1.62200205109912E+01,9.08280508446451E+00,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.97928210002875E+00,5.11379583919219E+00,5.22414057381774E+00,4.76081444640885E+00,4.30475978528645E+00,4.27968493111307E+00,4.52415277506605E+00,4.70715540906692E+00,4.31339633918354E+00,4.22968982336457E+00,4.11970426242991E+00,4.04877942290384E+00,4.11172719631582E+00,4.04870405613690E+00,3.83962950216576E+00,3.91128049819797E+00,3.79898258684812E+00,3.78394675983567E+00,3.72006816972142E+00,,,
IRN,"Iran, Islamic Rep.",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.00832164137522E+02,1.95549457085476E+02,1.91419045079258E+02,2.10048093925256E+02,2.32300999330549E+02,2.33662060664806E+02,2.21035860130829E+02,2.12442529106602E+02,2.31835871634575E+02,2.36423955836207E+02,2.42735870416624E+02,2.46988016769455E+02,2.43206796622115E+02,2.46992614459986E+02,2.60441795083600E+02,2.55670745286799E+02,2.63228371580841E+02,2.64274331397683E+02,2.68812278263945E+02,,,
