Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRQ,Iraq,AG.LND.FRST.K2,Forest area (sq. km),8.04000000000000E+03,,,,,,,,,,8.18000000000000E+03,,,,,8.25000000000000E+03,,,,,8.25000000000000E+03,
IRQ,Iraq,AG.LND.FRST.ZS,Forest area (% of land area),1.83826051169490E+00,,,,,,,,,,1.87027002309258E+00,,,,,1.88627477879141E+00,,,,,1.88627477879141E+00,
IRQ,Iraq,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.30900000000000E+07,5.51350000000000E+08,1.38100000000000E+08,1.68700000000000E+08,2.53500000000000E+08,3.32770000000000E+08,3.43350000000000E+08,2.20210000000000E+08,1.15790000000000E+08,7.59200000000000E+07,9.95500000000000E+07,1.21210000000000E+08,1.06260000000000E+08,2.25009000000000E+09,4.64724000000000E+09,2.20460600000000E+10,8.86965000000000E+09,9.18537000000000E+09,9.88020000000000E+09,2.79147000000000E+09,,
