Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,Ireland,AG.LND.FRST.K2,Forest area (sq. km),4.65000000000000E+03,,,,,,,,,,6.35000000000000E+03,,,,,6.95000000000000E+03,,,,,7.39000000000000E+03,
IRL,Ireland,AG.LND.FRST.ZS,Forest area (% of land area),6.74989113078821E+00,,,,,,,,,,9.21759326462476E+00,,,,,1.00885469589200E+01,,,,,1.07272463347365E+01,
IRL,Ireland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,1.59800000000000E+08,2.33250000000000E+08,3.16250000000000E+08,3.69580000000000E+08,4.38600000000000E+08,5.78100000000000E+08,7.62760000000000E+08,8.61610000000000E+08,6.33900000000000E+08,,
IRL,Ireland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,8.02350994499999E+07,1.10095557050000E+08,1.80218705110000E+08,2.60000443970000E+08,2.86465461570000E+08,3.15162631060000E+08,4.12754352299999E+08,5.28487583380000E+08,5.93479209190000E+08,4.91208177709999E+08,,
IRL,Ireland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,1.65099637000000E+07,2.44340748900000E+07,7.12671736800000E+07,6.58222652600000E+07,9.34410101000000E+07,9.90777603000000E+07,1.74515795250000E+08,1.85322140060000E+08,1.63541563910000E+08,1.58897727540000E+08,,
IRL,Ireland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,2.05769841542834E+01,2.21935158372497E+01,3.95448261802240E+01,2.53162126398503E+01,3.26185954801979E+01,3.14370266445509E+01,4.22807886282827E+01,3.50665078779622E+01,2.75564099597030E+01,3.23483473505627E+01,,
IRL,Ireland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.39300000000000E+07,1.43500000000000E+07,1.82100000000000E+07,2.53300000000000E+07,3.58100000000000E+07,5.57000000000000E+07,6.71900000000000E+07,8.02000000000000E+07,8.21600000000000E+07,8.34500000000000E+07,9.82700000000000E+07,1.23570000000000E+08,1.81100000000000E+08,2.26050000000000E+08,2.70650000000000E+08,2.88190000000000E+08,3.62330000000000E+08,4.64970000000000E+08,5.26890000000000E+08,4.12390000000000E+08,,
IRL,Ireland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.89106145251397E-02,3.73697916666667E-02,4.25467289719626E-02,6.29379317199225E-02,8.32790697674419E-02,1.03602849543366E-01,1.15124308208968E-01,1.34769530659228E-01,1.22629464684177E-01,1.05990098022742E-01,1.23866583576352E-01,1.42619452014446E-01,1.83182788303005E-01,1.77149619134196E-01,1.73286978346331E-01,1.68197941645662E-01,1.91822758799121E-01,2.15112513416485E-01,2.34298750851345E-01,2.23329993772170E-01,,
IRL,Ireland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",5.72800000000000E+07,7.24300000000000E+07,7.03900000000000E+07,8.11400000000000E+07,1.08890000000000E+08,1.53330000000000E+08,1.78540000000000E+08,1.87160000000000E+08,1.98590000000000E+08,2.45380000000000E+08,2.34000000000000E+08,2.86530000000000E+08,3.97750000000000E+08,5.03560000000000E+08,6.07440000000000E+08,7.18940000000000E+08,1.02166000000000E+09,1.19215000000000E+09,1.32785000000000E+09,1.00578000000000E+09,8.95150000000000E+08,
IRL,Ireland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",1.60000000000000E-01,1.90000000000000E-01,1.60000000000000E-01,2.00000000000000E-01,2.50000000000000E-01,2.90000000000000E-01,3.10000000000000E-01,3.10000000000000E-01,3.00000000000000E-01,3.10000000000000E-01,2.90000000000000E-01,3.30000000000000E-01,4.00000000000000E-01,3.90000000000000E-01,3.90000000000000E-01,4.20000000000000E-01,5.40000000000000E-01,5.50000000000000E-01,5.90000000000000E-01,5.40000000000000E-01,5.30000000000000E-01,
