Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISR,Israel,AG.LND.FRST.K2,Forest area (sq. km),1.32000000000000E+03,,,,,,,,,,1.53000000000000E+03,,,,,1.55000000000000E+03,,,,,1.54000000000000E+03,
ISR,Israel,AG.LND.FRST.ZS,Forest area (% of land area),6.09981515711645E+00,,,,,,,,,,7.07024029574861E+00,,,,,7.16266173752311E+00,,,,,7.11645101663586E+00,
ISR,Israel,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.37189000000000E+09,1.74946000000000E+09,2.06577000000000E+09,1.26617000000000E+09,1.23718000000000E+09,3.35590000000000E+08,2.21676000000000E+09,1.19635000000000E+09,1.06607000000000E+09,9.05710000000000E+08,8.00000000000000E+08,1.72350000000000E+08,7.56870000000000E+08,4.39990000000000E+08,4.78850000000000E+08,,,,,,,
ISR,Israel,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.37189000000000E+09,1.74946000000000E+09,2.06577000000000E+09,1.26617000000000E+09,1.23718000000000E+09,3.35590000000000E+08,2.21676000000000E+09,,,,,,,,,,,,,,,
ISR,Israel,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.67673552182792E+00,3.01227224872076E+00,3.20442012077229E+00,1.95148109314420E+00,1.68177043906333E+00,3.87031395750375E-01,2.27895150789471E+00,,,,,,,,,,,,,,,
ISR,Israel,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.94396995708155E+02,3.53497676298242E+02,4.03234432949444E+02,2.40670975099791E+02,2.29149842563438E+02,6.05211902614968E+01,3.89451862262825E+02,,,,,,,,,,,,,,,
ISR,Israel,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.25436715763317E+00,7.78712096550304E+00,7.15678792104544E+00,7.20542772946553E+00,7.22425076601215E+00,7.34785279670192E+00,7.54751491170809E+00,7.36286975797308E+00,7.49217534842172E+00,7.95347646146292E+00,7.98580088155844E+00,7.60445820566499E+00,7.53540915929030E+00,7.39737859071869E+00,7.83340000312059E+00,8.01066536769014E+00,8.20598300825589E+00,8.31822201446559E+00,8.54780025976737E+00,,,
ISR,Israel,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.37847999456132E+02,1.28417165269424E+02,1.39727488229653E+02,1.38784266187370E+02,1.38422658956509E+02,1.36094179846506E+02,1.32493941608350E+02,1.35816608587586E+02,1.33472583528181E+02,1.25731182438939E+02,1.25222255705034E+02,1.31501807617937E+02,1.32706795193346E+02,1.35183022977177E+02,1.27658487962013E+02,1.24833575502149E+02,1.21862304490994E+02,1.20217998300716E+02,1.16989163247857E+02,,,
ISR,Israel,EN.ATM.CO2E.KT,CO2 emissions (kt),3.35072800000000E+04,3.42877120000000E+04,4.14654880000000E+04,4.51111680000000E+04,4.70824000000000E+04,5.41905600000000E+04,5.43554400000000E+04,6.33505600000000E+04,6.27276800000000E+04,6.21048000000000E+04,6.26397440000000E+04,6.56955200000000E+04,6.30940800000000E+04,6.50689760000000E+04,6.31490400000000E+04,5.91626080000000E+04,6.57248320000000E+04,6.66848000000000E+04,,,,
ISR,Israel,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.19040343347639E+00,6.92821014346333E+00,8.09398555533867E+00,8.57463752138377E+00,8.72057788479348E+00,9.77286925157800E+00,9.54944483485594E+00,1.08551336531871E+01,1.05053893820131E+01,1.01395591836735E+01,9.96020734615996E+00,1.02027519801211E+01,9.60336073059361E+00,9.72674051153266E+00,9.27434865619034E+00,8.53704968182277E+00,9.31778102272566E+00,9.28744725003830E+00,,,,
