Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ITA,Italy,AG.LND.FRST.K2,Forest area (sq. km),7.59000000000000E+04,,,,,,,,,,8.36900000000000E+04,,,,,8.75900000000000E+04,,,,,9.14900000000000E+04,
ITA,Italy,AG.LND.FRST.ZS,Forest area (% of land area),2.58066709734453E+01,,,,,,,,,,2.84553398388358E+01,,,,,2.97783368463997E+01,,,,,3.11042360780581E+01,
ITA,Italy,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.97592000000000E+09,2.84273000000000E+09,2.44433000000000E+09,1.59174000000000E+09,1.56854000000000E+09,1.00426000000000E+09,,4.65210000000000E+08,6.10410000000000E+08,5.11630000000000E+08,6.80770000000000E+08,4.96410000000000E+08,,,,2.12184000000000E+09,2.25086000000000E+09,1.25875000000000E+09,2.09071000000000E+09,8.38030000000000E+08,,
ITA,Italy,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,3.67764085610000E+08,3.26038063540000E+08,2.74905330500000E+08,1.62030431350000E+08,2.80116093150000E+08,3.22756473050000E+08,3.24624379210000E+08,4.21345695010000E+08,5.21607119860000E+08,4.19897654300000E+08,7.24321042800001E+08,7.23608193850002E+08,6.29894648680001E+08,9.86736475870001E+08,7.39577310790001E+08,,
ITA,Italy,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.65819521300000E+07,3.39287265000000E+07,9.69127015000000E+06,2.20631745800000E+07,5.73740549600000E+07,4.22809640300000E+07,1.79125854600000E+07,7.77543463800000E+07,1.20348357810000E+08,5.87772978300000E+07,7.54386514700000E+07,3.94393990000000E+07,7.15136633800000E+07,8.70826338500000E+07,9.57212781800000E+07,,
ITA,Italy,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,4.50885575259367E+00,1.04063697752387E+01,3.52531183457718E+00,1.36166857029107E+01,2.04822416001913E+01,1.30999585013590E+01,5.51794215320234E+00,1.84538129381278E+01,2.30726064173169E+01,1.39980057588047E+01,1.04150848881012E+01,5.45038037645210E+00,1.13532736831251E+01,8.82531820597993E+00,1.29427007539959E+01,,
ITA,Italy,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",9.62530000000000E+08,5.46480000000000E+08,6.69210000000000E+08,5.66110000000000E+08,3.48290000000000E+08,2.73320000000000E+08,2.42800000000000E+08,2.47240000000000E+08,4.80950000000000E+08,1.72440000000000E+08,2.39380000000000E+08,1.87180000000000E+08,7.71140000000000E+08,7.21870000000000E+08,2.86790000000000E+08,2.90690000000000E+08,2.60830000000000E+08,3.05320000000000E+08,4.65220000000000E+08,3.75730000000000E+08,,
ITA,Italy,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),8.90179849383120E-02,4.82051417759371E-02,5.57597865628588E-02,5.79845377297421E-02,3.45653699235928E-02,2.53179565559724E-02,1.99988748573700E-02,2.15817421534013E-02,4.12586957022654E-02,1.47251370514122E-02,2.22827945781859E-02,1.72757272709233E-02,6.56575047283978E-02,4.96487386302827E-02,1.71802497420881E-02,1.65572713789921E-02,1.41229304198581E-02,1.46025581078100E-02,2.08338679283602E-02,1.80527261836312E-02,,
ITA,Italy,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",3.39496000000000E+09,3.34724000000000E+09,4.12192000000000E+09,3.04336000000000E+09,2.70463000000000E+09,1.62266000000000E+09,2.41552000000000E+09,1.26555000000000E+09,2.27831000000000E+09,1.80572000000000E+09,1.37626000000000E+09,1.62695000000000E+09,2.33213000000000E+09,2.43285000000000E+09,2.46154000000000E+09,5.09090000000000E+09,3.64108000000000E+09,3.97062000000000E+09,4.86064000000000E+09,3.29749000000000E+09,3.11087000000000E+09,
ITA,Italy,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",3.10000000000000E-01,3.00000000000000E-01,3.40000000000000E-01,3.10000000000000E-01,2.70000000000000E-01,1.50000000000000E-01,2.00000000000000E-01,1.10000000000000E-01,2.00000000000000E-01,1.50000000000000E-01,1.30000000000000E-01,1.50000000000000E-01,2.00000000000000E-01,1.70000000000000E-01,1.50000000000000E-01,2.90000000000000E-01,2.00000000000000E-01,1.90000000000000E-01,2.20000000000000E-01,1.60000000000000E-01,1.50000000000000E-01,
