Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JAM,Jamaica,AG.LND.FRST.K2,Forest area (sq. km),3.45000000000000E+03,,,,,,,,,,3.41000000000000E+03,,,,,3.39000000000000E+03,,,,,3.37000000000000E+03,
JAM,Jamaica,AG.LND.FRST.ZS,Forest area (% of land area),3.18559556786704E+01,,,,,,,,,,3.14866112650046E+01,,,,,3.13019390581717E+01,,,,,3.11172668513389E+01,
JAM,Jamaica,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.70620000000000E+08,1.59420000000000E+08,1.18270000000000E+08,9.94200000000000E+07,1.08850000000000E+08,1.07740000000000E+08,5.77500000000000E+07,7.12200000000000E+07,1.85700000000000E+07,-2.24900000000000E+07,8.56000000000000E+06,5.40000000000000E+07,2.40200000000000E+07,6.52000000000000E+06,8.26300000000000E+07,3.95900000000000E+07,3.71900000000000E+07,2.80800000000000E+07,8.58100000000000E+07,1.49640000000000E+08,,
JAM,Jamaica,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.70620000000000E+08,1.59420000000000E+08,1.18270000000000E+08,9.94200000000000E+07,1.08850000000000E+08,1.07740000000000E+08,5.77500000000000E+07,7.12200000000000E+07,1.85700000000000E+07,-2.24900000000000E+07,8.56000000000000E+06,5.40000000000000E+07,2.40200000000000E+07,6.52000000000000E+06,8.26300000000000E+07,3.95900000000000E+07,3.71900000000000E+07,2.80800000000000E+07,8.58100000000000E+07,1.49640000000000E+08,,
JAM,Jamaica,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),6.50899218324384E+00,4.32392290646636E+00,3.65323123459230E+00,2.11385458611367E+00,2.31704332294822E+00,1.93447750130903E+00,9.02824445543852E-01,9.70160376623155E-01,2.20030610797862E-01,-2.64434684710543E-01,9.88202156751171E-02,6.22962039063593E-01,2.65149800684080E-01,7.37665151554986E-02,8.65002146808684E-01,3.77927878834580E-01,3.26953613931929E-01,2.33288978798916E-01,6.32843884756531E-01,1.24517342735994E+00,,
JAM,Jamaica,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.13230125523013E+02,6.62581953339602E+01,4.88105123596694E+01,4.07288148053201E+01,4.42479305226486E+01,4.34435483870968E+01,2.30086700741014E+01,2.81049999554065E+01,7.26304164943273E+00,-8.73639160920965E+00,3.30579974003877E+00,2.07310488094138E+01,9.17671206260929E+00,2.48314735118254E+00,3.13217846177173E+01,1.49373679444612E+01,1.39649280913221E+01,1.04940578518574E+01,3.19328669246800E+01,5.55126873423357E+01,,
JAM,Jamaica,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.84570052049727E+01,3.07837669557483E+01,2.97285123066870E+01,2.16211655638740E+01,1.86379277323800E+01,1.88481005507697E+01,1.89567350708575E+01,1.77215282673058E+01,1.38363605547866E+01,1.65108829906953E+01,1.86167495240110E+01,2.07866427610937E+01,2.46567761651890E+01,2.23654278481554E+01,2.03620661412833E+01,2.24376140993871E+01,1.59728970480286E+01,2.33813135503117E+01,2.00639140389711E+01,3.39334190175963E+01,,
JAM,Jamaica,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.69574138598529E+01,2.96504336224149E+01,2.87036375517316E+01,2.08011791759461E+01,1.79515130234934E+01,1.77358000282446E+01,1.77675700637862E+01,1.62945157197237E+01,1.22765458602864E+01,1.48468421486015E+01,1.52741961074677E+01,1.93331465710444E+01,2.35793176774074E+01,2.16776042321027E+01,1.93684751388063E+01,2.09015592897796E+01,1.40625483519996E+01,1.85930446549155E+01,1.54340596913671E+01,2.81628663741873E+01,,
JAM,Jamaica,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.08238265238585E+00,5.31114772428131E+00,5.13783441416160E+00,5.60078526672723E+00,5.56733294861463E+00,5.35588294509741E+00,5.07645614945965E+00,5.01856120415471E+00,4.71615262772534E+00,4.63260069914453E+00,4.51491146072065E+00,4.47647519480411E+00,4.67367053066085E+00,4.72640430601124E+00,4.73439098737898E+00,5.04620394399083E+00,4.41911627955823E+00,3.93424155857004E+00,4.49818598497930E+00,,,
JAM,Jamaica,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.96758109020100E+02,1.88283220861705E+02,1.94634532643494E+02,1.78546391689168E+02,1.79619219692769E+02,1.86710577929147E+02,1.96987814049461E+02,1.99260297786571E+02,2.12037242840953E+02,2.15861470682043E+02,2.21488285805805E+02,2.23390046070334E+02,2.13964590237943E+02,2.11577329245439E+02,2.11220408847900E+02,1.98168764302686E+02,2.26289587496432E+02,2.54178597097496E+02,2.22311839336853E+02,,,
JAM,Jamaica,EN.ATM.CO2E.KT,CO2 emissions (kt),7.95820800000000E+03,8.16705600000000E+03,8.09011200000000E+03,8.40888000000000E+03,8.62505600000000E+03,9.69494400000000E+03,1.01895840000000E+04,1.06219360000000E+04,9.72059200000000E+03,9.76456000000000E+03,1.03104960000000E+04,1.06182720000000E+04,1.02921760000000E+04,1.07135360000000E+04,1.05523200000000E+04,1.01566080000000E+04,1.21424960000000E+04,1.39525120000000E+04,,,,
