Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,Japan,AG.LND.FRST.K2,Forest area (sq. km),2.49500000000000E+05,,,,,,,,,,2.48760000000000E+05,,,,,2.49350000000000E+05,,,,,2.49790000000000E+05,
JPN,Japan,AG.LND.FRST.ZS,Forest area (% of land area),6.84311574328031E+01,,,,,,,,,,6.82469135802469E+01,,,,,6.84087791495199E+01,,,,,6.85294924554184E+01,
JPN,Japan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),9.92618000000000E+09,1.28223700000000E+10,1.11737800000000E+10,1.45426200000000E+10,1.36676200000000E+10,1.35343000000000E+10,1.35414800000000E+10,1.18554500000000E+10,1.09748600000000E+10,1.06640000000000E+10,1.04077600000000E+10,8.87829000000000E+09,6.78259000000000E+09,1.26341700000000E+10,1.01251100000000E+10,1.47671100000000E+10,1.10388500000000E+10,1.04222600000000E+10,1.50676200000000E+10,1.18376600000000E+10,,
JPN,Japan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,1.27360892667700E+10,1.20941801470800E+10,1.04545553716500E+10,8.67880213893000E+09,7.88305179982000E+09,7.71525324675000E+09,6.55814074065000E+09,5.41746424900000E+09,7.21214744089001E+09,8.19156842383002E+09,9.35636145518000E+09,8.09671026547998E+09,8.86746840866999E+09,1.26549020096100E+10,1.09577216612400E+10,,
JPN,Japan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.80871413400000E+08,3.10891544150000E+08,3.54809917340000E+08,4.67929717350000E+08,3.59034240520000E+08,6.77615955470000E+08,2.89818930030000E+08,2.77428115000000E+08,3.48040152440000E+08,4.88535711350000E+08,3.30956412980000E+08,3.18602595700000E+08,3.62109787360000E+08,3.01540349190000E+08,2.03512887462000E+09,,
JPN,Japan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.42014875690229E+00,2.57058800488482E+00,3.39383077258504E+00,5.39163942050292E+00,4.55450819856592E+00,8.78280898628235E+00,4.41922400709679E+00,5.12099576939912E+00,4.82574926944436E+00,5.96388488837870E+00,3.53723415416760E+00,3.93496352535116E+00,4.08357572501701E+00,2.38279481706783E+00,1.85725549300885E+01,,
JPN,Japan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.06625000000000E+09,1.01879000000000E+09,1.00598000000000E+09,1.22257000000000E+09,1.54868000000000E+09,1.67375000000000E+09,1.23204000000000E+09,1.01039000000000E+09,1.16075000000000E+09,1.15034000000000E+09,1.30847000000000E+09,1.18539000000000E+09,1.03017000000000E+09,1.06618000000000E+09,9.10940000000000E+08,1.30842000000000E+09,1.11241000000000E+09,1.87291000000000E+09,1.41821000000000E+09,1.89581000000000E+09,,
JPN,Japan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.60170922848264E-02,3.00424337323107E-02,2.72212405664079E-02,2.88985792404494E-02,3.34592726343711E-02,3.13910381880274E-02,2.59689235681362E-02,2.31276484040396E-02,2.90623635256634E-02,2.52496080498474E-02,2.72168077652512E-02,2.79239106355709E-02,2.53415839720692E-02,2.43659074146801E-02,1.91413306729320E-02,2.79874902536724E-02,2.47971986229707E-02,4.14002876103231E-02,2.81271276915391E-02,3.65953356404153E-02,,
JPN,Japan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",9.06878000000000E+09,1.09522400000000E+10,1.11510100000000E+10,1.12589800000000E+10,1.32385300000000E+10,1.44892700000000E+10,9.43930000000000E+09,9.35800000000000E+09,1.06401000000000E+10,1.21625900000000E+10,1.35079600000000E+10,9.84682000000000E+09,9.28296000000000E+09,8.87966000000000E+09,8.92246000000000E+09,1.31255500000000E+10,1.11357400000000E+10,7.69714000000000E+09,9.60071000000000E+09,9.45693000000000E+09,1.10452200000000E+10,
JPN,Japan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",3.10000000000000E-01,3.20000000000000E-01,3.00000000000000E-01,2.70000000000000E-01,2.90000000000000E-01,2.70000000000000E-01,2.00000000000000E-01,2.10000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.80000000000000E-01,2.30000000000000E-01,2.30000000000000E-01,2.00000000000000E-01,1.90000000000000E-01,2.80000000000000E-01,2.50000000000000E-01,1.70000000000000E-01,1.90000000000000E-01,1.80000000000000E-01,2.00000000000000E-01,
JPN,Japan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",1.28383000000000E+10,1.40360100000000E+10,1.32515300000000E+10,1.16918600000000E+10,1.26203500000000E+10,1.27815300000000E+10,9.68878000000000E+09,1.06257200000000E+10,1.30744900000000E+10,1.31759300000000E+10,1.40939600000000E+10,1.17238800000000E+10,1.15679000000000E+10,1.04097500000000E+10,9.86210000000000E+09,1.49597800000000E+10,1.35398700000000E+10,9.54187000000000E+09,1.05411900000000E+10,9.45693000000000E+09,1.05738600000000E+10,
JPN,Japan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),7.64408000000000E+09,1.02188800000000E+10,8.21799000000000E+09,1.21942400000000E+10,1.11403300000000E+10,1.30342000000000E+10,1.33942800000000E+10,1.18050400000000E+10,1.02738000000000E+10,1.02776300000000E+10,8.99183000000000E+09,7.26447000000000E+09,5.61415000000000E+09,1.21447900000000E+10,9.55894000000000E+09,1.32465000000000E+10,1.05519000000000E+10,9.90932000000000E+09,1.45391700000000E+10,1.12221100000000E+10,,
JPN,Japan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),7.70092825235891E+01,7.96957192781054E+01,7.35470897046478E+01,8.38517406079510E+01,8.15089240116421E+01,9.63049437355460E+01,9.89129696310891E+01,9.95747947146671E+01,9.36121280818161E+01,9.63768754688672E+01,8.63954395566385E+01,8.18228510219873E+01,8.27729525151896E+01,9.61265362109264E+01,9.44082582806508E+01,8.97027245005962E+01,9.55887615104834E+01,9.50784186922990E+01,9.64928104106687E+01,9.48000702841609E+01,,
JPN,Japan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.34748506462154E+00,7.51046679846782E+00,7.39811769220650E+00,7.36134172173183E+00,7.02945339115929E+00,6.97469191080196E+00,7.00593932812006E+00,7.04057386228779E+00,7.02257129222832E+00,6.88900350164191E+00,6.99515309527656E+00,7.12013315666818E+00,7.14437313774896E+00,7.30507573790331E+00,7.27186425722899E+00,7.43939165569382E+00,7.60198019696081E+00,7.84978084998928E+00,8.06324992037166E+00,7.90965312991364E+00,,
JPN,Japan,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.36100991183370E+02,1.33147516237473E+02,1.35169517653584E+02,1.35844800825893E+02,1.42258571805550E+02,1.43375508594331E+02,1.42736034836364E+02,1.42033876720818E+02,1.42397984781824E+02,1.45158875265728E+02,1.42956127818739E+02,1.40446811596982E+02,1.39970292805154E+02,1.36891120075781E+02,1.37516318323172E+02,1.34419593198140E+02,1.31544673110276E+02,1.27392091462192E+02,1.24019472281706E+02,1.26427794439946E+02,,
JPN,Japan,EN.ATM.CO2E.KT,CO2 emissions (kt),1.15226204800000E+06,1.15865572800000E+06,1.17959182400000E+06,1.16440088000000E+06,1.23299462400000E+06,1.24405257600000E+06,1.26638832000000E+06,1.26790521600000E+06,1.22779907200000E+06,1.19512352000000E+06,1.22878835200000E+06,1.22143836800000E+06,1.23669526400000E+06,1.25823592000000E+06,1.26349742400000E+06,1.24141083200000E+06,1.23496585600000E+06,1.25351668800000E+06,,,,
JPN,Japan,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),9.32726266624574E+00,9.34995463238676E+00,9.49530161234494E+00,9.34991392047280E+00,9.86703550707821E+00,9.91759003180829E+00,1.00698016078116E+01,1.00554775202037E+01,9.71283183292461E+00,9.43642731938413E+00,9.68541303696697E+00,9.60635449747934E+00,9.70375663227274E+00,9.85167259117744E+00,9.88953924906662E+00,9.71575240465513E+00,9.66659770186919E+00,9.81067018859950E+00,,,,
JPN,Japan,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.92876177518817E-01,4.63241859903368E-01,4.56933455873018E-01,4.40606687850012E-01,4.53089911887771E-01,4.39589459849758E-01,4.27803356611155E-01,4.14374126953932E-01,4.05077998436162E-01,3.89151113811796E-01,3.78055977469471E-01,3.66787406077850E-01,3.61897949594000E-01,3.58477040965719E-01,3.40703752626431E-01,3.20542502159498E-01,3.03326303868812E-01,2.92182531276346E-01,,,,
JPN,Japan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,2.12558139535000E+01,,,,,,,,2.05558139534884E+01,,,,,,,,,,,
JPN,Japan,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.46134960435969E+03,,,,,3.41023546486268E+03,,,,,3.37400447251756E+03,,,,,3.36540248844121E+03,,,,
