Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JOR,Jordan,AG.LND.FRST.K2,Forest area (sq. km),9.80000000000000E+02,,,,,,,,,,9.80000000000000E+02,,,,,9.80000000000000E+02,,,,,9.80000000000000E+02,
JOR,Jordan,AG.LND.FRST.ZS,Forest area (% of land area),1.11060743427017E+00,,,,,,,,,,1.11060743427017E+00,,,,,1.11060743427017E+00,,,,,1.11060743427017E+00,
JOR,Jordan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.85970000000000E+08,9.38320000000000E+08,4.24390000000000E+08,3.09480000000000E+08,3.72030000000000E+08,5.39130000000000E+08,5.06580000000000E+08,4.61970000000000E+08,4.11130000000000E+08,4.31910000000000E+08,5.52190000000000E+08,4.48160000000000E+08,5.36920000000000E+08,1.25387000000000E+09,6.01270000000000E+08,6.66750000000000E+08,5.80050000000000E+08,5.29070000000000E+08,7.26360000000000E+08,7.60550000000000E+08,,
JOR,Jordan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.85970000000000E+08,9.38320000000000E+08,4.24390000000000E+08,3.09480000000000E+08,3.72030000000000E+08,5.39130000000000E+08,5.06580000000000E+08,4.61970000000000E+08,4.11130000000000E+08,4.31910000000000E+08,5.52190000000000E+08,4.48160000000000E+08,5.36920000000000E+08,1.25387000000000E+09,6.01270000000000E+08,6.66750000000000E+08,5.80050000000000E+08,5.29070000000000E+08,7.26360000000000E+08,7.60550000000000E+08,,
JOR,Jordan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.32828337394431E+01,2.44937386466281E+01,8.55144048330602E+00,5.84390510443049E+00,6.28185137190525E+00,8.35997985877424E+00,7.64761585570393E+00,6.56250785062807E+00,5.28703694428275E+00,5.40081373151455E+00,6.45022250659871E+00,4.90481953416087E+00,5.55863386601334E+00,1.21436788360903E+01,5.14540162506221E+00,5.15858549742564E+00,3.60313095618166E+00,2.86776223181658E+00,3.10511008652242E+00,2.95984773545550E+00,,
JOR,Jordan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.79485804416404E+02,2.64688293370945E+02,1.13686043396732E+02,7.92333576906254E+01,9.16140556878960E+01,1.28517282479142E+02,1.17127105035901E+02,1.03601126562288E+02,8.94266324444251E+01,9.22786027133853E+01,1.15099531005732E+02,9.11357397051347E+01,1.06574037316395E+02,2.42809837335399E+02,1.13661625708885E+02,1.23209830915643E+02,1.04758894708326E+02,9.34422465559873E+01,1.25515811301192E+02,1.28579881656805E+02,,
JOR,Jordan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.43706326921114E+01,2.85132351958519E+01,2.58665585819458E+01,2.09173804558326E+01,1.86900925204643E+01,1.66890787509950E+01,2.58973614556868E+01,2.26024373523331E+01,2.21612380354902E+01,1.37133816271856E+01,1.75836725573224E+01,1.49436662273948E+01,1.17027472375906E+01,2.15179000183501E+01,1.06583915949518E+01,8.30045200562182E+00,7.54071353869411E+00,7.20327359634451E+00,1.96578020224612E+01,4.83817201982681E+00,,
JOR,Jordan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.21162150666039E+01,2.43165783871878E+01,2.44567800707225E+01,1.94401299661133E+01,1.73776342301475E+01,1.54910243019431E+01,2.49823159467942E+01,2.16783136444182E+01,2.12949592400072E+01,1.30056312746757E+01,1.63377186030060E+01,1.44024406657448E+01,1.14445969413411E+01,2.12576960704643E+01,1.03227638429179E+01,7.93112618703943E+00,7.08138206666770E+00,6.74462852321181E+00,1.94469059009320E+01,4.69750078377302E+00,,
JOR,Jordan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.20275129291458E+00,3.15562375905346E+00,3.33294566273002E+00,3.51516012255351E+00,3.44109840038687E+00,3.42673753813297E+00,3.40855083932174E+00,3.44697097857535E+00,3.43333543162050E+00,3.56046808431280E+00,3.49472703332899E+00,3.71429182349046E+00,3.74216172794931E+00,3.86907507130701E+00,3.49398841839559E+00,3.51875557954047E+00,3.69948914168001E+00,3.81449069637846E+00,4.18611546890415E+00,,,
JOR,Jordan,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.12231549859114E+02,3.16894559159979E+02,3.00034894412560E+02,2.84482062021565E+02,2.90604883570773E+02,2.91822758198412E+02,2.93379810699549E+02,2.90109782245195E+02,2.91261957917118E+02,2.80861947451780E+02,2.86145381445550E+02,2.69230326404526E+02,2.67225222397856E+02,2.58459704598647E+02,2.86205871414763E+02,2.84191378854054E+02,2.70307591589762E+02,2.62158196099263E+02,2.38884953706684E+02,,,
JOR,Jordan,EN.ATM.CO2E.KT,CO2 emissions (kt),1.03947680000000E+04,9.79020800000000E+03,1.22560800000000E+04,1.20912000000000E+04,1.36227520000000E+04,1.35458080000000E+04,1.41760160000000E+04,1.44068480000000E+04,1.45314240000000E+04,1.45570720000000E+04,1.54950560000000E+04,1.59896960000000E+04,1.68727200000000E+04,1.74772800000000E+04,1.92213440000000E+04,2.13171520000000E+04,2.07089280000000E+04,2.14344000000000E+04,,,,
JOR,Jordan,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),3.27910662460568E+00,2.76169478138223E+00,3.28317171175998E+00,3.09560027952982E+00,3.35466376461682E+00,3.22903647199047E+00,3.27765745789928E+00,3.23087144838765E+00,3.16079175185975E+00,3.11015318876188E+00,3.22981886399166E+00,3.25159044229792E+00,3.34909090909091E+00,3.38444616576297E+00,3.63352438563327E+00,3.93923163633004E+00,3.74009897056168E+00,3.78565877781703E+00,,,,
