Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KAZ,Kazakhstan,AG.LND.FRST.K2,Forest area (sq. km),3.42200000000000E+04,,,,,,,,,,3.36500000000000E+04,,,,,3.33700000000000E+04,,,,,3.30900000000000E+04,
KAZ,Kazakhstan,AG.LND.FRST.ZS,Forest area (% of land area),1.26754824610142E+00,,,,,,,,,,1.24643478905064E+00,,,,,1.23606326628885E+00,,,,,1.22569174352706E+00,
KAZ,Kazakhstan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,1.11500000000000E+08,1.16200000000000E+07,1.83500000000000E+07,5.32500000000000E+07,6.46300000000000E+07,1.24330000000000E+08,1.40450000000000E+08,2.22590000000000E+08,1.74550000000000E+08,1.88740000000000E+08,1.56660000000000E+08,1.87220000000000E+08,2.78470000000000E+08,2.67000000000000E+08,2.28010000000000E+08,1.70410000000000E+08,2.04200000000000E+08,3.32550000000000E+08,2.97860000000000E+08,,
