Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KIR,Kiribati,AG.LND.FRST.K2,Forest area (sq. km),1.20000000000000E+02,,,,,,,,,,1.20000000000000E+02,,,,,1.20000000000000E+02,,,,,1.20000000000000E+02,
KIR,Kiribati,AG.LND.FRST.ZS,Forest area (% of land area),1.48148148148148E+01,,,,,,,,,,1.48148148148148E+01,,,,,1.48148148148148E+01,,,,,1.48148148148148E+01,
KIR,Kiribati,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.02200000000000E+07,1.98000000000000E+07,2.65400000000000E+07,1.57300000000000E+07,1.52800000000000E+07,1.53400000000000E+07,1.28000000000000E+07,1.56800000000000E+07,1.73100000000000E+07,2.08600000000000E+07,1.78700000000000E+07,1.24300000000000E+07,2.08800000000000E+07,1.89700000000000E+07,1.67100000000000E+07,2.79900000000000E+07,2.68600000000000E+07,2.69600000000000E+07,2.71200000000000E+07,2.71800000000000E+07,,
