Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRK,"Korea, Dem. Rep.",AG.LND.FRST.K2,Forest area (sq. km),8.20100000000000E+04,,,,,,,,,,6.93300000000000E+04,,,,,6.29900000000000E+04,,,,,5.66600000000000E+04,
PRK,"Korea, Dem. Rep.",AG.LND.FRST.ZS,Forest area (% of land area),6.81089610497467E+01,,,,,,,,,,5.75782742297151E+01,,,,,5.23129308196994E+01,,,,,4.70558923677435E+01,
PRK,"Korea, Dem. Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),7.73000000000000E+06,8.62000000000000E+06,1.05900000000000E+07,1.40600000000000E+07,5.66000000000000E+06,1.34800000000000E+07,2.55700000000000E+07,8.82800000000000E+07,1.05110000000000E+08,2.00780000000000E+08,7.33000000000000E+07,1.17640000000000E+08,2.64770000000000E+08,1.30990000000000E+08,1.61130000000000E+08,8.75600000000000E+07,5.46500000000000E+07,9.92900000000000E+07,2.06300000000000E+08,6.67600000000000E+07,,
PRK,"Korea, Dem. Rep.",DT.ODA.ODAT.CD,Net official development assistance received (current US$),7.73000000000000E+06,8.62000000000000E+06,1.05900000000000E+07,1.40600000000000E+07,5.66000000000000E+06,1.34800000000000E+07,2.55700000000000E+07,8.82800000000000E+07,1.05110000000000E+08,2.00780000000000E+08,7.33000000000000E+07,1.17640000000000E+08,2.64770000000000E+08,1.30990000000000E+08,1.61130000000000E+08,8.75600000000000E+07,5.46500000000000E+07,9.92900000000000E+07,2.06300000000000E+08,6.67600000000000E+07,,
PRK,"Korea, Dem. Rep.",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.83752104679234E-01,4.21182653528895E-01,5.09030631194618E-01,6.64930972976562E-01,2.63606385925245E-01,6.19175194335117E-01,1.16022161367179E+00,3.96252514114027E+00,4.67244539682335E+00,8.84545061971461E+00,3.20169895337641E+00,5.09629877619082E+00,1.13808220704302E+01,5.58913321286623E+00,6.82829956186243E+00,3.68736703253832E+00,2.28828975568477E+00,4.13560037596519E+00,8.55082428827030E+00,2.75433232834859E+00,,
PRK,"Korea, Dem. Rep.",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",EN.ATM.CO2E.KT,CO2 emissions (kt),2.44634288000000E+05,2.50940032000000E+05,2.55204928000000E+05,2.61924704000000E+05,2.59429520000000E+05,2.59136400000000E+05,2.56472672000000E+05,2.34496000000000E+05,6.48747840000000E+04,7.13380800000000E+04,7.69036960000000E+04,7.98568800000000E+04,7.64676800000000E+04,7.81457920000000E+04,7.98605440000000E+04,8.34072960000000E+04,8.49644960000000E+04,7.06529120000000E+04,,,,
PRK,"Korea, Dem. Rep.",EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.21447506981508E+01,1.22612051687223E+01,1.22669618115030E+01,1.23870446854423E+01,1.20825579804807E+01,1.19028806253192E+01,1.16372756108939E+01,1.05255583993750E+01,2.88387295091532E+00,3.14283028162790E+00,3.35910617999969E+00,3.45949098788182E+00,3.28687185186612E+00,3.33435561121411E+00,3.38429664001301E+00,3.51248644978946E+00,3.55760998707629E+00,2.94281608853092E+00,,,,
PRK,"Korea, Dem. Rep.",EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),6.85000000000000E+01,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,1.03074626865672E+01,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.22049596695367E+03,,,,,3.00735369796554E+03,,,,,2.87991494020781E+03,,,,,2.79066598035721E+03,,,,
PRK,"Korea, Dem. Rep.",ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.24403063135205E-01,1.24442953199896E-01,1.24482801382278E-01,1.24522652211184E-01,1.24562505539587E-01,1.24602361409493E-01,1.24642219736888E-01,1.24682080479761E-01,1.24721943869160E-01,1.24721943869160E-01,1.24721943869160E-01,1.24721943869160E-01,1.24721943869160E-01,1.24722202724520E-01,1.24722202724520E-01,1.24722202724520E-01,1.24722202724520E-01,1.24722202724520E-01,1.24722202724520E-01,1.24722202556487E-01,,
PRK,"Korea, Dem. Rep.",IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.85751664759964E-01,,
PRK,"Korea, Dem. Rep.",IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.48222577412182E+00,2.44305483485438E+00,2.40335519921916E+00,2.36461939180854E+00,2.32867832089439E+00,2.29664389590177E+00,2.26871649134101E+00,2.24429380445190E+00,2.22264551271209E+00,2.20277184473419E+00,2.18396927242592E+00,3.72561794247204E+00,3.93731654511993E+00,4.18150282358112E+00,4.23775805986621E+00,4.21124603990215E+00,4.18717247151833E+00,4.91490426391270E+00,4.89092227831263E+00,4.86835252763832E+00,,
PRK,"Korea, Dem. Rep.",IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
PRK,"Korea, Dem. Rep.",NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,,,,,,
