Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,"Korea, Rep.",AG.LND.FRST.K2,Forest area (sq. km),6.37000000000000E+04,,,,,,,,,,6.28800000000000E+04,,,,,6.25500000000000E+04,,,,,6.22200000000000E+04,
KOR,"Korea, Rep.",AG.LND.FRST.ZS,Forest area (% of land area),6.45193963334346E+01,,,,,,,,,,6.36888483743543E+01,,,,,6.45844088797109E+01,,,,,6.41972761040033E+01,
KOR,"Korea, Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.10000000000000E+05,,,,,1.87040000000000E+08,,,1.44320000000000E+08,2.29590000000000E+08,2.29390000000000E+08,1.44790000000000E+08,2.14460000000000E+08,2.66620000000000E+08,4.10080000000000E+08,5.55340000000000E+08,5.24650000000000E+08,8.08560000000000E+08,1.19774000000000E+09,1.27012000000000E+09,,
KOR,"Korea, Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",2.40000000000000E+05,5.40000000000000E+06,5.37000000000000E+06,6.16000000000000E+06,1.55800000000000E+07,1.43800000000000E+07,9.42000000000000E+06,2.50000000000000E+07,3.19300000000000E+07,2.76400000000000E+07,2.12400000000000E+07,8.35000000000000E+06,4.57400000000000E+07,5.68800000000000E+07,8.60500000000000E+07,1.14920000000000E+08,9.21100000000000E+07,1.20970000000000E+08,1.44240000000000E+08,1.61170000000000E+08,,
KOR,"Korea, Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),9.10805569576058E-05,1.75549241562258E-03,1.63079128301062E-03,1.70452973242204E-03,3.68951259596759E-03,2.78946521024770E-03,1.69656670370777E-03,4.86787610671163E-03,9.37898379165908E-03,6.28211801017776E-03,4.16792580935075E-03,1.73557704299243E-03,8.35415479478075E-03,9.38530229979507E-03,1.26090767563664E-02,1.45451296123309E-02,1.03804746551205E-02,1.24543129943774E-02,1.54310091392141E-02,1.92501377978779E-02,,
KOR,"Korea, Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",6.11600000000000E+07,5.74800000000000E+07,7.68000000000000E+07,1.11560000000000E+08,1.40220000000000E+08,1.15990000000000E+08,1.59150000000000E+08,1.85610000000000E+08,1.82710000000000E+08,3.17490000000000E+08,2.12070000000000E+08,2.64650000000000E+08,2.78780000000000E+08,3.65910000000000E+08,4.23320000000000E+08,7.52320000000000E+08,4.55250000000000E+08,6.96110000000000E+08,8.02340000000000E+08,8.16040000000000E+08,1.16774000000000E+09,
KOR,"Korea, Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.00000000000000E-02,2.00000000000000E-02,2.00000000000000E-02,3.00000000000000E-02,3.00000000000000E-02,2.00000000000000E-02,3.00000000000000E-02,4.00000000000000E-02,5.00000000000000E-02,7.00000000000000E-02,4.00000000000000E-02,6.00000000000000E-02,5.00000000000000E-02,6.00000000000000E-02,6.00000000000000E-02,1.00000000000000E-01,5.00000000000000E-02,7.00000000000000E-02,9.00000000000000E-02,1.00000000000000E-01,1.20000000000000E-01,
