Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KSV,Kosovo,AG.LND.FRST.K2,Forest area (sq. km),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,AG.LND.FRST.ZS,Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,9.50000000000000E+05,1.44000000000000E+06,,,,,,,,7.87970000000000E+08,,
KSV,Kosovo,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,9.50000000000000E+05,1.44000000000000E+06,,,,,,,,7.87970000000000E+08,,
KSV,Kosovo,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,1.41547493386573E+01,,
KSV,Kosovo,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,5.58823529411765E-01,8.36722835560720E-01,,,,,,,,4.36548476454294E+02,,
KSV,Kosovo,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,2.08385139818691E+01,,
KSV,Kosovo,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,IT.MLT.MAIN.P2,Telephone lines (per 100 people),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,IT.NET.USER.P2,Internet users (per 100 people),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,2.55968296328458E+01,2.61681326143013E+01,2.86322591592138E+01,2.74175966044693E+01,3.02422007912119E+01,
KSV,Kosovo,NE.TRD.GNFS.ZS,Trade (% of GDP),,,,,,,,,,,,,,,,,6.48430234422602E+01,6.87451823797383E+01,7.12970551253644E+01,6.76797747188139E+01,7.13468301824212E+01,
KSV,Kosovo,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,4.36707791646756E+09,4.77092019148562E+09,5.39012442422518E+09,5.74417606486781E+09,5.98110169496943E+09,
KSV,Kosovo,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,,,,2.46000000000000E+03,2.67000000000000E+03,3.00000000000000E+03,3.18000000000000E+03,3.30000000000000E+03,
KSV,Kosovo,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
