Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KWT,Kuwait,AG.LND.FRST.K2,Forest area (sq. km),3.00000000000000E+01,,,,,,,,,,5.00000000000000E+01,,,,,6.00000000000000E+01,,,,,6.00000000000000E+01,
KWT,Kuwait,AG.LND.FRST.ZS,Forest area (% of land area),1.68350168350168E-01,,,,,,,,,,2.80583613916947E-01,,,,,3.36700336700337E-01,,,,,3.36700336700337E-01,
KWT,Kuwait,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.67000000000000E+06,4.15000000000000E+06,2.00000000000000E+06,9.30000000000000E+05,3.38000000000000E+06,3.14000000000000E+06,2.26000000000000E+06,1.90000000000000E+05,5.90000000000000E+06,7.24000000000000E+06,2.80000000000000E+06,3.60000000000000E+06,4.62000000000000E+06,4.33000000000000E+06,2.60000000000000E+06,,,,,,,
KWT,Kuwait,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.67000000000000E+06,4.15000000000000E+06,2.00000000000000E+06,9.30000000000000E+05,3.38000000000000E+06,3.14000000000000E+06,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.20461713999611E-02,2.52670893963387E-02,7.96795412804189E-03,3.34915324858834E-03,1.20641747037446E-02,9.78974031936212E-03,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.71592436988878E+00,2.04332438537787E+00,,,,1.92885237583627E+00,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,4.48321990225858E+00,4.49794664021463E+00,4.23234176143462E+00,4.22249400489878E+00,4.29110358252014E+00,4.31786009796727E+00,3.90799876704678E+00,3.70838007716833E+00,3.71730265329558E+00,3.95283086534739E+00,4.17755578867979E+00,4.08956558153713E+00,4.02318547840865E+00,4.01149906857826E+00,4.70471781497464E+00,4.81052797681701E+00,,,,
KWT,Kuwait,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,2.23053970539392E+02,2.22323668995834E+02,2.36275815226470E+02,2.36826860817289E+02,2.33040284572368E+02,2.31596202125857E+02,2.55885444087713E+02,2.69659522268707E+02,2.69012263263915E+02,2.52983250248962E+02,2.39374421452317E+02,2.44524749649358E+02,2.48559258668716E+02,2.49283368362944E+02,2.12552599183972E+02,2.07877389928760E+02,,,,
KWT,Kuwait,EN.ATM.CO2E.KT,CO2 emissions (kt),4.07216960000000E+04,1.07868160000000E+04,1.99394880000000E+04,3.14810880000000E+04,3.66766400000000E+04,5.31719680000000E+04,4.99146720000000E+04,6.22000640000000E+04,6.33688800000000E+04,6.59483360000000E+04,7.10486240000000E+04,6.74102720000000E+04,6.39294720000000E+04,7.32030560000000E+04,8.12711840000000E+04,8.98046400000000E+04,8.62725440000000E+04,8.60746880000000E+04,,,,
KWT,Kuwait,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.95056519487835E+01,5.31107570442993E+00,,,,3.26626996193281E+01,3.06578581431344E+01,3.70500472953493E+01,3.59296544239842E+01,3.55092248240243E+01,3.66081700919112E+01,3.35443245083072E+01,3.08865483695169E+01,3.44195683063552E+01,3.71188585443609E+01,3.96661151388640E+01,3.66892233315656E+01,3.51638430634957E+01,,,,
KWT,Kuwait,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,5.88561311376281E-01,6.78632724278579E-01,7.14573485904864E-01,9.65494290291632E-01,8.85213004932147E-01,1.05610914941543E+00,1.02355812686499E+00,1.06896017323723E+00,1.07669585511691E+00,9.91682621844886E-01,8.98487020651722E-01,8.58433432942641E-01,8.40994722831506E-01,8.13119393935113E-01,7.19137121075871E-01,6.67786643840803E-01,,,,
KWT,Kuwait,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,
KWT,Kuwait,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),8.87231309744575E-03,8.87434140420176E-03,8.87739719887293E-03,8.88044927725204E-03,8.88349785322641E-03,8.88654168357602E-03,8.88958181100153E-03,8.89261794140787E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89564982080387E-03,8.89565355046389E-03,,
KWT,Kuwait,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),9.93204441087194E-01,2.11717948364454E+00,,,,7.22453500222064E+00,9.27837014470678E+00,1.25088455407753E+01,1.41748025308259E+01,1.61532012683494E+01,2.45261455925589E+01,4.36865665997209E+01,5.92806317083258E+01,6.67674133645792E+01,9.13456817470775E+01,1.00573583025547E+02,1.07593598988875E+02,1.13312672755899E+02,1.14073767703115E+02,,,
KWT,Kuwait,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.58743144925461E+01,1.58497472186170E+01,,,,2.34832862484497E+01,2.40670835073582E+01,2.45190646719228E+01,2.42268920951662E+01,2.45336436183817E+01,2.40658681585708E+01,2.35080026353661E+01,2.32818279499241E+01,2.28938877724416E+01,2.26981687474452E+01,2.22969469270066E+01,2.19857525661924E+01,2.16110838305789E+01,2.12294146293034E+01,2.09161065735147E+01,,
KWT,Kuwait,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,2.14999468644170E-01,9.21308011694470E-01,2.38263724586195E+00,3.40195260739823E+00,5.38440042278312E+00,7.72882739261310E+00,9.95228872783874E+00,1.20783683187298E+01,2.66599460406454E+01,2.74037045241233E+01,3.09185367228295E+01,3.40216913798815E+01,3.67674394093025E+01,3.92410621613742E+01,4.15676914740130E+01,,
KWT,Kuwait,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.76251130539644E+01,4.18557104858986E+01,2.23633406424302E+01,1.71915416579331E+01,1.61517620778931E+01,1.47522800098595E+01,1.51018635458665E+01,1.36425351653723E+01,1.84517710436300E+01,1.45597712028824E+01,1.06655142610199E+01,1.43070741052238E+01,1.71268334771355E+01,1.66327889535291E+01,1.81880458982703E+01,1.64286017038952E+01,1.61588055649813E+01,2.04567078972407E+01,1.84166437448426E+01,1.39174603174603E+01,,
KWT,Kuwait,NE.TRD.GNFS.ZS,Trade (% of GDP),1.03011000301477E+02,1.42612952497677E+02,9.46880648948676E+01,9.20570357067998E+01,9.31842842080185E+01,9.43184611289130E+01,9.14702051380470E+01,9.24455526856026E+01,9.49526367344578E+01,8.53736996076132E+01,8.66205715471046E+01,8.68423505840576E+01,8.12251930284728E+01,8.65563888694189E+01,8.92961123480048E+01,9.22434620438266E+01,8.97115710892433E+01,9.17313771830208E+01,9.18231602110475E+01,8.43936507936508E+01,,
KWT,Kuwait,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,,,3.08693737342988E+10,3.29512578422696E+10,3.39533569899949E+10,3.67422920005791E+10,3.60307904299403E+10,3.29240971037668E+10,3.67690739204658E+10,3.93918424705632E+10,4.05015622962580E+10,4.88463120029002E+10,6.18221102167044E+10,7.84395737355379E+10,9.69579925039207E+10,1.16969520252212E+11,,,,
KWT,Kuwait,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,,,,2.02400000000000E+04,2.08500000000000E+04,2.18900000000000E+04,2.04300000000000E+04,1.77300000000000E+04,1.89500000000000E+04,1.96000000000000E+04,1.95700000000000E+04,2.29700000000000E+04,2.82400000000000E+04,3.46500000000000E+04,4.12300000000000E+04,4.77900000000000E+04,,,,
KWT,Kuwait,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,1.71982978561726E-01,1.55862411582873E-01,1.43785039824997E-01,1.47333660311883E-01,1.67224155536862E-01,1.56319274592598E-01,1.27718472070863E-01,1.48622443805957E-01,1.75335852298880E-01,1.57424015977300E-01,1.62889888553334E-01,1.67305444021253E-01,1.81266026096525E-01,2.13618426187234E-01,2.45651397020423E-01,2.52770671012798E-01,,,,
KWT,Kuwait,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",3.03207978333616E-01,3.17238204498211E-01,3.06232530275908E-01,2.98590625382820E-01,2.98378174847758E-01,2.98033687766850E-01,2.99836929724757E-01,2.94986521351410E-01,2.90854127987117E-01,2.93139060997511E-01,2.90687930374593E-01,2.86373469191098E-01,2.84406970206567E-01,2.80767430131118E-01,2.76860774178728E-01,2.78869706000000E-01,2.78413331804892E-01,2.85538680032916E-01,3.04082382230423E-01,3.17280679074756E-01,3.24710291407647E-01,
KWT,Kuwait,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,9.01848052748440E+01,,,,,,,,,,9.97875928952000E+01,9.84992702429000E+01,9.85077927881000E+01,9.87393674033000E+01,,,
KWT,Kuwait,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,9.37998850648107E+01,,,,,,,,,,9.96909701477000E+01,9.85221804709000E+01,9.83988402410000E+01,9.85651566702000E+01,,,
KWT,Kuwait,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,9.20430628095037E+01,,,,,,,,,,9.97333641672000E+01,9.85121665356000E+01,9.84472286258000E+01,9.86433509457000E+01,,,
KWT,Kuwait,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,7.83955033585722E+01,,,,,,,,,,9.32744643451759E+01,9.32821228883455E+01,9.44581228180600E+01,9.39062059463896E+01,,,
KWT,Kuwait,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),9.87720000000000E+01,9.50960000000000E+01,9.90340000000000E+01,1.00916000000000E+02,1.00957000000000E+02,1.04907000000000E+02,9.99640000000000E+01,1.00553000000000E+02,1.01205000000000E+02,1.01181000000000E+02,1.02163000000000E+02,1.01805000000000E+02,1.00333000000000E+02,1.01228000000000E+02,1.00358000000000E+02,9.80240000000000E+01,9.86010000000000E+01,9.78250000000000E+01,9.82220000000000E+01,9.83280000000000E+01,,
