Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KGZ,Kyrgyz Republic,AG.LND.FRST.K2,Forest area (sq. km),8.36000000000000E+03,,,,,,,,,,8.58000000000000E+03,,,,,8.69000000000000E+03,,,,,9.54000000000000E+03,
KGZ,Kyrgyz Republic,AG.LND.FRST.ZS,Forest area (% of land area),4.35870698644421E+00,,,,,,,,,,4.47340980187696E+00,,,,,4.53076120959333E+00,,,,,4.97393117831074E+00,
KGZ,Kyrgyz Republic,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00
KGZ,Kyrgyz Republic,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,2.38300000000000E+07,1.12000000000000E+08,1.73850000000000E+08,2.84670000000000E+08,2.30450000000000E+08,2.39620000000000E+08,2.39450000000000E+08,2.83130000000000E+08,2.14710000000000E+08,1.87940000000000E+08,1.85610000000000E+08,2.00100000000000E+08,2.61370000000000E+08,2.67880000000000E+08,3.10550000000000E+08,2.74560000000000E+08,3.59930000000000E+08,3.14690000000000E+08,,
KGZ,Kyrgyz Republic,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,2.38300000000000E+07,1.12000000000000E+08,1.73850000000000E+08,2.84670000000000E+08,2.30450000000000E+08,2.39620000000000E+08,2.39450000000000E+08,2.83130000000000E+08,2.14710000000000E+08,1.87940000000000E+08,1.85610000000000E+08,2.00100000000000E+08,2.61370000000000E+08,2.67880000000000E+08,3.10550000000000E+08,2.74560000000000E+08,3.59930000000000E+08,3.14690000000000E+08,,
KGZ,Kyrgyz Republic,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,1.02867939149837E+00,5.53739184018580E+00,1.04791850229148E+01,1.75117277764281E+01,1.28876522722715E+01,1.40686557095815E+01,1.52826160861789E+01,2.40944630966554E+01,1.66739426573782E+01,1.28198813714865E+01,1.19915726438056E+01,1.07754981052897E+01,1.23878725156047E+01,1.12949654916143E+01,1.11469846668996E+01,7.32132088233250E+00,7.28839318901561E+00,6.99277789713019E+00,,
KGZ,Kyrgyz Republic,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,5.24197096348438E+00,2.46533127889060E+01,3.82929515418502E+01,6.20209590622889E+01,4.94846467683058E+01,5.07132275132275E+01,4.99166145507609E+01,5.82021132261645E+01,4.36819726161170E+01,3.79308952934528E+01,3.71725546743571E+01,3.97134124558409E+01,5.13214532982040E+01,5.20812676193254E+01,5.98120221105141E+01,5.24489951860625E+01,6.81956838894257E+01,5.91371950198623E+01,,
KGZ,Kyrgyz Republic,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,4.05399973585837E-01,4.39365801818436E+00,1.32505721279619E+01,1.30914381447844E+01,1.13971988631369E+01,1.88048969025339E+01,2.04645158858253E+01,2.93637033247743E+01,3.07536721578055E+01,1.99403551110066E+01,2.16210095062838E+01,1.69074878569031E+01,1.31905550550306E+01,6.59338792048121E+00,8.60550460229926E+00,1.17900667956785E+01,1.39968750255708E+01,,
KGZ,Kyrgyz Republic,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,4.05399973585837E-01,4.39365801818436E+00,1.32264475833403E+01,8.89304294153955E+00,6.20630548800141E+00,8.90181455515978E+00,4.93867325924191E+00,9.00479895345473E+00,1.19483974716937E+01,1.09210700996275E+01,8.13167644160565E+00,6.26260519383292E+00,6.28923903471902E+00,4.73557415338073E+00,3.21479704767774E+00,2.73398388926447E+00,3.26705682528239E+00,,
KGZ,Kyrgyz Republic,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.48024917645903E+00,1.50451706515763E+00,1.76600912134007E+00,1.92083392272042E+00,2.12618877399534E+00,2.35669690477480E+00,2.18222657059251E+00,2.55030262766804E+00,2.44594360503568E+00,2.90221181686967E+00,3.07292650673788E+00,3.52419365039707E+00,3.11419154763062E+00,3.09439955671021E+00,3.25135951406609E+00,3.34333884851690E+00,3.41750715874309E+00,3.23943441033787E+00,3.76944395350938E+00,,,
KGZ,Kyrgyz Republic,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",6.75561936397858E+02,6.64665109594637E+02,5.66248490971094E+02,5.20607215528414E+02,4.70325124575317E+02,4.24322702666577E+02,4.58247559385405E+02,3.92110328065021E+02,4.08840170288968E+02,3.44564788203020E+02,3.25422686747418E+02,2.83752852198497E+02,3.21110626853006E+02,3.23164472355064E+02,3.07563650120444E+02,2.99102198523371E+02,2.92610945215338E+02,3.08695862712560E+02,2.65291117823623E+02,,,
KGZ,Kyrgyz Republic,EN.ATM.CO2E.KT,CO2 emissions (kt),,,1.10396320000000E+04,8.35025600000000E+03,6.09323200000000E+03,4.66060800000000E+03,5.79278400000000E+03,5.61324800000000E+03,5.98331200000000E+03,4.67526400000000E+03,4.64228800000000E+03,3.84720000000000E+03,4.94640000000000E+03,5.37508800000000E+03,5.75614400000000E+03,5.56561600000000E+03,5.56195200000000E+03,6.07491200000000E+03,,,,
KGZ,Kyrgyz Republic,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,2.42842762868456E+00,1.83804886638785E+00,1.34212158590308E+00,1.01540512865204E+00,1.24388748121108E+00,1.18798899470899E+00,1.24730289764436E+00,9.61078814291000E-01,9.44456696437654E-01,7.76459191087430E-01,9.90627253064167E-01,1.06678204263089E+00,1.13025089135607E+00,1.08206785262953E+00,1.07123360489975E+00,1.16048597845190E+00,,,,
KGZ,Kyrgyz Republic,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,1.64799226175066E+00,1.44283247275490E+00,1.29116823966705E+00,1.02048900992133E+00,1.16385578577830E+00,1.00664808958387E+00,1.03615518040357E+00,7.69798436172485E-01,7.09558313022104E-01,5.45914426069204E-01,6.90789458915287E-01,6.86696874970682E-01,6.68158082162926E-01,6.26293446853593E-01,5.87922780707272E-01,5.74702463947225E-01,,,,
KGZ,Kyrgyz Republic,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,2.06128702757916E+01,,,,,,2.05924412665986E+01,,,,,,,,,,,
KGZ,Kyrgyz Republic,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.07677078750550E+04,,,,,1.03597883597884E+04,,,,,9.80333253224385E+03,,,,,9.35088255520746E+03,,,,
KGZ,Kyrgyz Republic,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.81425891181989E-02,5.29128808123998E-02,1.83101743535491E-01,5.44926132235408E-01,1.06312585115757E+00,2.74439328384869E+00,5.17151462004610E+00,1.05308058714883E+01,2.43014772442750E+01,4.14214296630244E+01,6.43061823831448E+01,8.43229425558834E+01,,
