Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LAO,Lao PDR,AG.LND.FRST.K2,Forest area (sq. km),1.73140000000000E+05,,,,,,,,,,1.65320000000000E+05,,,,,1.61420000000000E+05,,,,,1.57510000000000E+05,
LAO,Lao PDR,AG.LND.FRST.ZS,Forest area (% of land area),7.50173310225303E+01,,,,,,,,,,7.16291161178510E+01,,,,,6.99393414211439E+01,,,,,6.82452339688042E+01,
LAO,Lao PDR,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,,,,,
LAO,Lao PDR,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.48070000000000E+08,1.39750000000000E+08,1.62640000000000E+08,2.00030000000000E+08,2.14200000000000E+08,3.06910000000000E+08,3.31010000000000E+08,3.28750000000000E+08,2.75430000000000E+08,2.94360000000000E+08,2.80640000000000E+08,2.44840000000000E+08,2.78480000000000E+08,3.01060000000000E+08,2.69900000000000E+08,3.01940000000000E+08,3.63710000000000E+08,3.96120000000000E+08,4.95600000000000E+08,4.19980000000000E+08,,
LAO,Lao PDR,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.48070000000000E+08,1.39750000000000E+08,1.62640000000000E+08,2.00030000000000E+08,2.14200000000000E+08,3.06910000000000E+08,3.31010000000000E+08,3.28750000000000E+08,2.75430000000000E+08,2.94360000000000E+08,2.80640000000000E+08,2.44840000000000E+08,2.78480000000000E+08,3.01060000000000E+08,2.69900000000000E+08,3.01940000000000E+08,3.63710000000000E+08,3.96120000000000E+08,4.95600000000000E+08,4.19980000000000E+08,,
LAO,Lao PDR,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.71068469661284E+01,1.35931950541875E+01,1.44209081751489E+01,1.50653513600278E+01,1.38928975353367E+01,1.74625357362124E+01,1.77326612494093E+01,1.92862466102314E+01,2.21553262988723E+01,2.05610763614063E+01,1.68616811682471E+01,1.44055237102796E+01,1.57746207183441E+01,1.47907477772348E+01,1.11987301789984E+01,1.15695421363126E+01,1.11956916190579E+01,9.78169602467945E+00,9.52784103357717E+00,7.09922899180572E+00,,
LAO,Lao PDR,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.53185539405221E+01,3.24069393286442E+01,3.66754837560350E+01,4.38930259175778E+01,4.57889846068208E+01,6.40047615154766E+01,6.74434999470248E+01,6.55327458409880E+01,5.37860450765450E+01,5.63808677397853E+01,5.27810481732386E+01,4.52660350177633E+01,5.06631251478160E+01,5.39338032700660E+01,4.76261479728007E+01,5.24808107150263E+01,6.22623499290944E+01,6.67837275779603E+01,8.22982261211846E+01,6.87123975993363E+01,,
LAO,Lao PDR,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",8.54971319311663E+00,6.14088598402324E+00,4.75350701402806E+00,8.30026338893767E+00,4.93545158869152E+00,6.12310286677909E+00,6.52406049495875E+00,6.27068014705882E+00,6.21437246963563E+00,7.68706914560267E+00,7.80579043759498E+00,9.01206964370743E+00,1.95207727461570E+01,2.18396226415094E+01,2.26352316425563E+01,1.73492459016393E+01,1.61931889096906E+01,1.52382482924869E+01,,,,
LAO,Lao PDR,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",8.54971319311663E+00,6.14088598402324E+00,4.75350701402806E+00,8.30026338893767E+00,4.93545158869152E+00,6.12310286677909E+00,6.52406049495875E+00,6.27068014705882E+00,6.21437246963563E+00,7.68706914560267E+00,7.80579043759498E+00,8.85835237713580E+00,9.25491018612874E+00,1.06853645123140E+01,9.68383800988991E+00,7.80461395098087E+00,4.68302623624308E+00,4.30058016909581E+00,4.64576564588043E+00,5.90435413194760E+00,,
LAO,Lao PDR,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,EN.ATM.CO2E.KT,CO2 emissions (kt),2.34496000000000E+02,2.52816000000000E+02,2.78464000000000E+02,2.78464000000000E+02,3.00448000000000E+02,3.15104000000000E+02,5.34944000000000E+02,7.18144000000000E+02,8.94016000000000E+02,9.01344000000000E+02,1.05889600000000E+03,1.19812800000000E+03,1.32270400000000E+03,1.35568000000000E+03,1.39598400000000E+03,1.42529600000000E+03,1.51689600000000E+03,1.53521600000000E+03,,,,
LAO,Lao PDR,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),5.59334073400194E-02,5.86260663564258E-02,6.27939123748188E-02,6.11039722497244E-02,6.42259983527081E-02,6.57135850007257E-02,1.08995183334828E-01,1.43154215145948E-01,1.74583686871991E-01,1.72640837247075E-01,1.99150658446585E-01,2.21509982044448E-01,2.40636017974421E-01,2.42865137903285E-01,2.46333236575258E-01,2.47733621212440E-01,2.59672567589683E-01,2.58829261631137E-01,,,,
LAO,Lao PDR,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),8.20836700977025E-02,8.20611802179900E-02,8.38599149650828E-02,7.74797527530677E-02,7.57481781205871E-02,7.25368297495635E-02,1.13159994820288E-01,1.39457239658583E-01,1.64670228336032E-01,1.52481141975184E-01,1.65749171041571E-01,1.73386358986888E-01,1.77837183113403E-01,1.68144118242283E-01,1.58242877092574E-01,1.45986706820332E-01,1.38691015787931E-01,1.27006131933072E-01,,,,
LAO,Lao PDR,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),6.61000000000000E+01,,,,,,,,,,,,,,,7.93000000000000E+01,,,,,,
LAO,Lao PDR,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,1.57563025210084E+00,,,,,,,,,,,
LAO,Lao PDR,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,4.29353917065240E+04,,,,,3.79541743212901E+04,,,,,3.46389651973002E+04,,,,,3.21004284833981E+04,,,,
LAO,Lao PDR,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,6.53952919899787E-03,7.46069530169296E-03,1.33604646962012E-02,3.20951835952945E-02,7.72214932477037E-02,9.79751926413554E-02,1.26014358958336E-01,2.31338538035442E-01,2.38496462330687E-01,5.46228150873965E-01,1.00351119762767E+00,2.01136576169091E+00,3.60312366828979E+00,1.14286290348512E+01,1.72824198691722E+01,2.49251903223278E+01,3.35790877484079E+01,5.29215694069985E+01,,
LAO,Lao PDR,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.64821508562847E-01,1.68492895285816E-01,1.91901356839558E-01,1.88667818246930E-01,3.87474852933349E-01,3.46227575080624E-01,3.96661749484511E-01,4.89437417074913E-01,5.56001987953160E-01,6.72429380262482E-01,7.68770711633873E-01,9.72931339981127E-01,1.12631215092692E+00,1.24972501033674E+00,1.32343871728790E+00,1.57831771139587E+00,1.57750345283769E+00,1.59874970179815E+00,2.12220157386224E+00,2.16290751050818E+00,,
LAO,Lao PDR,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,,,9.76401355635642E-03,3.83074247450641E-02,1.12844316219866E-01,1.84880064604490E-01,2.72891007331672E-01,3.40378084810753E-01,3.68798255884229E-01,8.69060255597574E-01,1.19830757885035E+00,1.68594687412805E+00,3.65327073177171E+00,4.90826212672053E+00,,
LAO,Lao PDR,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,1.38976311423221E+01,1.40943096631437E+01,1.75383231324555E+01,1.67272507672950E+01,2.26969079787858E+01,2.32913338646208E+01,2.56654669675061E+01,3.25079276157917E+01,3.07314945324907E+01,2.83477491352104E+01,2.53421424045158E+01,
LAO,Lao PDR,NE.TRD.GNFS.ZS,Trade (% of GDP),3.58472084723094E+01,3.81823216413890E+01,4.41307586027361E+01,5.26288120107713E+01,6.48092700018209E+01,6.05544661367630E+01,6.37571736117725E+01,6.51569707635835E+01,8.42695405093618E+01,8.00584561632324E+01,7.41408652243252E+01,6.62980814697976E+01,6.36892471748238E+01,6.28348637136666E+01,7.31575881998297E+01,8.21308167747453E+01,8.59771578455922E+01,8.35974095111256E+01,7.97562682987520E+01,7.07919324799925E+01,7.10782212278004E+01,
LAO,Lao PDR,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",8.27476085399394E+08,9.39634953378996E+08,1.10517417783214E+09,1.27295921894332E+09,1.47003090648162E+09,1.71195287317764E+09,1.89471667213605E+09,1.88479171223915E+09,1.58043776719186E+09,1.50830070101514E+09,1.49777322533040E+09,1.66388641238245E+09,1.79438551768539E+09,1.95150687694196E+09,2.32075754813241E+09,2.66723366863843E+09,3.02471526009535E+09,3.62372997444783E+09,4.55830812219981E+09,5.59644661084562E+09,6.47411966655690E+09,
LAO,Lao PDR,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2.00000000000000E+02,2.20000000000000E+02,2.50000000000000E+02,2.80000000000000E+02,3.10000000000000E+02,3.60000000000000E+02,3.90000000000000E+02,3.80000000000000E+02,3.10000000000000E+02,2.90000000000000E+02,2.80000000000000E+02,3.10000000000000E+02,3.30000000000000E+02,3.50000000000000E+02,4.10000000000000E+02,4.60000000000000E+02,5.20000000000000E+02,6.10000000000000E+02,7.60000000000000E+02,9.20000000000000E+02,1.04000000000000E+03,
LAO,Lao PDR,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",2.14436303114916E+02,2.34288020439579E+02,2.43210135127640E+02,2.64605991600408E+02,2.79295682192995E+02,3.26676326533306E+02,3.65045602997067E+02,4.27453652660850E+02,7.77739612298620E+02,1.74743395442245E+03,2.13969742837979E+03,2.27227636073968E+03,2.47399586207603E+03,2.80270352741388E+03,3.00830411953789E+03,2.98838498964879E+03,3.24875601797878E+03,3.38662753648262E+03,3.61784737275041E+03,3.60349033441250E+03,3.92468646675421E+03,
