Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LCN,Latin America & Caribbean (all income levels),AG.LND.FRST.K2,Forest area (sq. km),1.04004440000000E+07,,,,,,,,,,9.91240400000000E+06,,,,,9.67080400000000E+06,,,,,9.47375000000000E+06,
LCN,Latin America & Caribbean (all income levels),AG.LND.FRST.ZS,Forest area (% of land area),5.15592487146679E+01,,,,,,,,,,4.92093122544165E+01,,,,,4.80121971623030E+01,,,,,4.70343125208207E+01,
LCN,Latin America & Caribbean (all income levels),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
