Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LAC,Latin America & Caribbean (developing only),AG.LND.FRST.K2,Forest area (sq. km),1.03892200000000E+07,,,,,,,,,,9.89950000000000E+06,,,,,9.65751000000000E+06,,,,,9.46007000000000E+06,
LAC,Latin America & Caribbean (developing only),AG.LND.FRST.ZS,Forest area (% of land area),5.15704863625782E+01,,,,,,,,,,4.92091589332307E+01,,,,,4.80085483214300E+01,,,,,4.70270522856420E+01,
LAC,Latin America & Caribbean (developing only),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.07687000000000E+09,5.76115000000000E+09,5.27422000000000E+09,5.17895000000000E+09,5.59863000000000E+09,6.23546000000000E+09,7.34531000000000E+09,5.31565000000000E+09,5.41226000000000E+09,5.80834000000000E+09,4.84742000000000E+09,5.97772000000000E+09,5.07730000000000E+09,6.12339000000000E+09,6.83174000000000E+09,6.72480000000000E+09,7.35256000000000E+09,6.97174000000000E+09,9.33388000000000E+09,9.10437000000000E+09,,
LAC,Latin America & Caribbean (developing only),DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.07687000000000E+09,5.76115000000000E+09,5.27422000000000E+09,5.17895000000000E+09,5.59863000000000E+09,6.23546000000000E+09,7.34531000000000E+09,5.31565000000000E+09,5.41226000000000E+09,5.80834000000000E+09,4.84742000000000E+09,5.97772000000000E+09,5.07730000000000E+09,6.12339000000000E+09,6.83174000000000E+09,6.72480000000000E+09,7.35256000000000E+09,6.97174000000000E+09,9.33388000000000E+09,9.10437000000000E+09,,
LAC,Latin America & Caribbean (developing only),DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.70629442387911E-01,5.00716853054446E-01,4.20158961102238E-01,3.78549848429223E-01,3.55328545637099E-01,3.60632403056526E-01,3.93174261422550E-01,2.60996929211373E-01,2.66140065497934E-01,3.22914414677067E-01,2.42449284827747E-01,3.08613037583727E-01,2.94684372747373E-01,3.31339237254620E-01,3.20457385133827E-01,2.59669307745056E-01,2.41236850217114E-01,1.92836382827597E-01,2.21212530482613E-01,2.31770110973704E-01,,
LAC,Latin America & Caribbean (developing only),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.16291593310550E+01,1.29615848116013E+01,1.16597387544977E+01,1.12544801007401E+01,1.19635288736817E+01,1.31057629474839E+01,1.51891935075344E+01,1.08176436602996E+01,1.08434015077436E+01,1.14616265334954E+01,9.42616421351418E+00,1.14603180668236E+01,9.60144898495192E+00,1.14270578229414E+01,1.25857178820074E+01,1.22345319161201E+01,1.32147839898033E+01,1.23830735692888E+01,1.63883189857746E+01,1.58048685566344E+01,,
LAC,Latin America & Caribbean (developing only),DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.44945173428589E+01,2.45472412385776E+01,2.69269971519109E+01,2.83067195942261E+01,2.50758572850437E+01,2.72864359039499E+01,3.26727917774797E+01,3.65641822896584E+01,3.52117323018587E+01,4.29379430127503E+01,4.04032949884368E+01,3.53444875908091E+01,3.26427371826351E+01,3.36990284892305E+01,2.83932867204828E+01,2.43451987441334E+01,2.48779494100561E+01,1.68240926863656E+01,1.48895900697329E+01,1.79035436929868E+01,,
LAC,Latin America & Caribbean (developing only),DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.05744690587890E+01,1.97594820961058E+01,2.14104207626176E+01,1.77693803902039E+01,1.62668594387377E+01,1.86824478753882E+01,2.15319780267560E+01,2.31995273550564E+01,1.83326309293378E+01,2.15287347439218E+01,2.17621543222961E+01,1.76107716066349E+01,1.77828921515487E+01,2.05096599439267E+01,1.45932144905063E+01,1.47039747921101E+01,1.45979256016641E+01,8.02725324805330E+00,6.84037221639226E+00,7.24325897783510E+00,,
LAC,Latin America & Caribbean (developing only),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),6.88942026725191E+00,6.96233899750312E+00,6.96754102492132E+00,7.15044751819823E+00,7.07309784324972E+00,7.08521265098146E+00,7.01691533882285E+00,7.13622354484006E+00,7.05510798510795E+00,6.98895735959760E+00,7.21740404539840E+00,7.25970366538236E+00,7.17215686724148E+00,7.21764213393528E+00,7.22337111571059E+00,7.28816496341843E+00,7.45151948327241E+00,7.58780502892732E+00,7.66540059575794E+00,,,
LAC,Latin America & Caribbean (developing only),EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.45150094087508E+02,1.43629892247221E+02,1.43522656906249E+02,1.39851386567757E+02,1.41380767262305E+02,1.41139024226955E+02,1.42512764044230E+02,1.40130139382063E+02,1.41741274848070E+02,1.43082858936998E+02,1.38553972274501E+02,1.37746669298427E+02,1.39428071430988E+02,1.38549401791242E+02,1.38439515841161E+02,1.37208749392928E+02,1.34200816658247E+02,1.31790418465901E+02,1.30456326125135E+02,,,
LAC,Latin America & Caribbean (developing only),EN.ATM.CO2E.KT,CO2 emissions (kt),1.01729494400000E+06,1.01521012800000E+06,1.05324244800000E+06,1.06254534400000E+06,1.10734507200000E+06,1.13357931200000E+06,1.18206136000000E+06,1.24459118400000E+06,1.29508843200000E+06,1.31483372800000E+06,1.29971972800000E+06,1.33789128000000E+06,1.34314912000000E+06,1.36728388800000E+06,1.38932284800000E+06,1.42766294400000E+06,1.45837092800000E+06,1.53805926400000E+06,,,,
LAC,Latin America & Caribbean (developing only),EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2.33023201115110E+00,2.28404609768338E+00,2.32840719363765E+00,2.30903859473098E+00,2.36624937565102E+00,2.38257029076346E+00,2.44435683923745E+00,2.53281234303657E+00,2.59469498069385E+00,2.59456800806761E+00,2.52740047028563E+00,2.56496784854925E+00,2.53996765108681E+00,2.55153306396492E+00,2.55946880471959E+00,2.59736911935374E+00,2.62113560318161E+00,2.73187196023349E+00,,,,
LAC,Latin America & Caribbean (developing only),EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.90539604918504E+05,1.91363505398565E+05,1.96245500009702E+05,1.94111034912612E+05,2.03379334650976E+05,2.07786654572549E+05,2.20958331842092E+05,2.32452599603531E+05,2.35411968048316E+05,2.41623625548462E+05,2.45144892770998E+05,2.52679002319902E+05,2.51849294347472E+05,2.56548534745362E+05,2.62326465958810E+05,2.70987307122692E+05,2.74387374759666E+05,2.86865730799851E+05,,,,
LAC,Latin America & Caribbean (developing only),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,1.99679907419560E+00,,,,
LAC,Latin America & Caribbean (developing only),ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,2.97055901361352E+04,,,,,2.73443006141065E+04,,,,,2.54082643348570E+04,,,,,2.38640775335282E+04,,,,
LAC,Latin America & Caribbean (developing only),ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),6.67441575778348E+00,7.40132133874823E+00,8.14835858540345E+00,8.92449775324585E+00,9.22970792151804E+00,9.23814222527481E+00,9.72011650670171E+00,1.02989490508611E+01,1.03269948810681E+01,1.05127032045145E+01,1.13545747016352E+01,1.13782459549989E+01,1.14771136466101E+01,1.21225650518468E+01,1.23049180925697E+01,1.28382715867526E+01,1.29967100449563E+01,1.31495669360060E+01,1.31495672131568E+01,1.31495741055320E+01,,
LAC,Latin America & Caribbean (developing only),IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2.36380111597938E-02,5.87099940280045E-02,1.28696821794245E-01,2.24749740635285E-01,4.43035361234694E-01,7.61405430919781E-01,1.30153694161219E+00,2.50975031074820E+00,4.12448272094781E+00,7.73168299927306E+00,1.20880511344184E+01,1.58387969513900E+01,1.87816821211669E+01,2.31112998853102E+01,3.16341547534546E+01,4.31411128778968E+01,5.42474147117153E+01,6.70860489201288E+01,7.99417901090747E+01,8.89522275042622E+01,,
LAC,Latin America & Caribbean (developing only),IT.MLT.MAIN.P2,Telephone lines (per 100 people),6.01290279676670E+00,6.39504456412266E+00,6.94793354086142E+00,7.47476348200740E+00,8.21624032308179E+00,8.81298862813925E+00,9.63050155122230E+00,1.05761847123317E+01,1.15324136778172E+01,1.28088022716138E+01,1.44398314830865E+01,1.59616357282922E+01,1.63400133911042E+01,1.67570042940856E+01,1.71782757651245E+01,1.76244119431518E+01,1.75536728742388E+01,1.78239997281448E+01,1.83929882012770E+01,1.81117203588326E+01,,
LAC,Latin America & Caribbean (developing only),IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,1.36055274129342E-02,2.98346416051307E-02,4.99993701817352E-02,1.08297397398197E-01,3.07073861569768E-01,5.99957568978621E-01,1.21111710623237E+00,2.01657428060053E+00,3.82975903554847E+00,5.53245545398492E+00,8.49211476269445E+00,1.16168570095402E+01,1.48398880549901E+01,1.69626969289254E+01,2.10249047246562E+01,2.41699153588954E+01,2.82380384337602E+01,3.13209280718930E+01,,
LAC,Latin America & Caribbean (developing only),NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.94119060207026E+01,1.95880121263023E+01,2.00483136362597E+01,2.05341834601098E+01,2.12867919874370E+01,1.95000587984824E+01,1.97796840547944E+01,2.15068791176021E+01,2.12128430664059E+01,1.94711818764653E+01,1.98957156092509E+01,1.89114463035127E+01,1.76007713876367E+01,1.81638156909816E+01,2.00713327906710E+01,2.00746719630846E+01,2.15134083985666E+01,2.22616171349150E+01,2.35210151399311E+01,1.99805599108047E+01,1.97516478634522E+01,
LAC,Latin America & Caribbean (developing only),NE.TRD.GNFS.ZS,Trade (% of GDP),3.19193792145128E+01,3.11258915421112E+01,3.18910901933204E+01,3.16394444279050E+01,3.27479080479818E+01,3.73867638008930E+01,3.85495624150929E+01,3.85028241954297E+01,3.86828680254255E+01,3.94721118661846E+01,4.10860934378257E+01,4.02974080152920E+01,4.31750051799827E+01,4.30602629923828E+01,4.58643647487467E+01,4.59573961416601E+01,4.63639168079887E+01,4.64565373867969E+01,4.77536304354860E+01,4.20229555480667E+01,4.22195968106778E+01,
LAC,Latin America & Caribbean (developing only),NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",9.84195419820724E+11,1.10305076192276E+12,1.25917967834143E+12,1.35508392282269E+12,1.50718408434981E+12,1.61637141110625E+12,1.80061477936107E+12,1.97630562588118E+12,1.99288072623519E+12,1.90611012313265E+12,1.96295159826372E+12,1.92141266569213E+12,1.81620548581269E+12,1.86217371226550E+12,2.09172271373220E+12,2.42476498322732E+12,2.81004927975770E+12,3.32864797880496E+12,3.89411872917288E+12,4.02576404234395E+12,4.50969916378575E+12,
LAC,Latin America & Caribbean (developing only),NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2.25441371356560E+03,2.48167223595346E+03,2.78367343312061E+03,2.94476004677411E+03,3.22065225083143E+03,3.39730838607714E+03,3.72344888319779E+03,4.02189196516474E+03,3.99271392571898E+03,3.76133669224963E+03,3.81710355372835E+03,3.68367877492678E+03,3.43454283146956E+03,3.47506310824875E+03,3.85345928891034E+03,4.41141217231519E+03,5.05051223420146E+03,5.91228198524421E+03,6.83724880780173E+03,6.98858586912342E+03,7.74125073076145E+03,
LAC,Latin America & Caribbean (developing only),PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
LAC,Latin America & Caribbean (developing only),SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",9.19472635289584E+01,,,,,,,,,,9.65097817429568E+01,,,,,,,,,9.72549189587545E+01,,
LAC,Latin America & Caribbean (developing only),SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",9.13953566677262E+01,,,,,,,,,,9.58335249891000E+01,,,,,,,,,9.68376060559000E+01,,
LAC,Latin America & Caribbean (developing only),SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",9.16591564687411E+01,,,,,,,,,,9.61738126120314E+01,,,,,,,,,9.70437257412096E+01,,
LAC,Latin America & Caribbean (developing only),SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",8.42075869457663E+01,,,,,,,,,,8.96231122165555E+01,,,,,,,,,9.10738631273192E+01,,
