Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LDC,Least developed countries: UN classification,AG.LND.FRST.K2,Forest area (sq. km),6.63366000000000E+06,,,,,,,,,,6.28058000000000E+06,,,,,6.14157000000000E+06,,,,,6.00809000000000E+06,
LDC,Least developed countries: UN classification,AG.LND.FRST.ZS,Forest area (% of land area),3.28865608333408E+01,,,,,,,,,,3.11463166434909E+01,,,,,3.04597552931374E+01,,,,,2.97975108936838E+01,
LDC,Least developed countries: UN classification,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.64959100000000E+10,1.63831300000000E+10,1.69360800000000E+10,1.52868500000000E+10,1.65770800000000E+10,1.69696400000000E+10,1.38332800000000E+10,1.28853000000000E+10,1.25548400000000E+10,1.23359300000000E+10,1.24129400000000E+10,1.38861100000000E+10,1.76780900000000E+10,2.41222600000000E+10,2.55464400000000E+10,2.58915800000000E+10,2.84384100000000E+10,3.29360100000000E+10,3.86065200000000E+10,4.01158100000000E+10,,
LDC,Least developed countries: UN classification,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.64959100000000E+10,1.63831300000000E+10,1.69360800000000E+10,1.52868500000000E+10,1.65770800000000E+10,1.69696400000000E+10,1.38332800000000E+10,1.28853000000000E+10,1.25548400000000E+10,1.23359300000000E+10,1.24129400000000E+10,1.38861100000000E+10,1.76780900000000E+10,2.41222600000000E+10,2.55464400000000E+10,2.58915800000000E+10,2.84384100000000E+10,3.29360100000000E+10,3.86065200000000E+10,4.01158100000000E+10,,
LDC,Least developed countries: UN classification,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.07837178753988E+01,1.04936395664382E+01,1.17233930967910E+01,1.06814979853053E+01,1.26060499403911E+01,1.12024428064010E+01,8.50238363052385E+00,7.41716021608565E+00,7.19603784867933E+00,7.06269952850649E+00,6.82125898170360E+00,7.57430150211164E+00,8.90829351901521E+00,1.07012907071835E+01,9.72664831748747E+00,8.47047564172862E+00,7.99041638283709E+00,7.69279090461328E+00,7.29551432232254E+00,7.42277112510890E+00,,
LDC,Least developed countries: UN classification,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.19632815537038E+01,3.09130072670692E+01,3.11266717971008E+01,2.73728333146863E+01,2.89264907451645E+01,2.88635033895453E+01,2.29441325174376E+01,2.08458594920821E+01,1.98164227266264E+01,1.90014091077862E+01,1.86637858150307E+01,2.03857041208093E+01,2.53454656162102E+01,3.37842802796769E+01,3.49612012789963E+01,3.46342431927892E+01,3.71954252017872E+01,4.21317867532319E+01,4.83080539516479E+01,4.91015534293476E+01,,
LDC,Least developed countries: UN classification,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
