Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LBN,Lebanon,AG.LND.FRST.K2,Forest area (sq. km),1.31000000000000E+03,,,,,,,,,,1.31000000000000E+03,,,,,1.37000000000000E+03,,,,,1.37000000000000E+03,
LBN,Lebanon,AG.LND.FRST.ZS,Forest area (% of land area),1.28054740957967E+01,,,,,,,,,,1.28054740957967E+01,,,,,1.33919843597263E+01,,,,,1.33919843597263E+01,
LBN,Lebanon,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.52070000000000E+08,1.24880000000000E+08,1.09820000000000E+08,1.35370000000000E+08,2.26740000000000E+08,1.86070000000000E+08,2.34150000000000E+08,2.50730000000000E+08,2.39890000000000E+08,1.93600000000000E+08,1.99260000000000E+08,1.87670000000000E+08,1.75960000000000E+08,2.25930000000000E+08,2.63550000000000E+08,2.41970000000000E+08,7.06050000000000E+08,9.55930000000000E+08,1.08457000000000E+09,6.40980000000000E+08,,
LBN,Lebanon,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.52070000000000E+08,1.24880000000000E+08,1.09820000000000E+08,1.35370000000000E+08,2.26740000000000E+08,1.86070000000000E+08,2.34150000000000E+08,2.50730000000000E+08,2.39890000000000E+08,1.93600000000000E+08,1.99260000000000E+08,1.87670000000000E+08,1.75960000000000E+08,2.25930000000000E+08,2.63550000000000E+08,2.41970000000000E+08,7.06050000000000E+08,9.55930000000000E+08,1.08457000000000E+09,6.40980000000000E+08,,
LBN,Lebanon,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),7.28361360606622E+00,2.58813902670507E+00,1.89724867987798E+00,1.74105320418050E+00,2.28432497918643E+00,1.52381556348532E+00,1.66190923169396E+00,1.56024933102087E+00,1.37913950026489E+00,1.10005897586135E+00,1.13335910940679E+00,1.06777797089273E+00,9.62337850187924E-01,1.35729409362257E+00,1.25589956049938E+00,1.11752015149535E+00,3.12124962724456E+00,3.70552610584804E+00,3.55400936295236E+00,1.87453337443574E+00,,
