Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LSO,Lesotho,AG.LND.FRST.K2,Forest area (sq. km),4.00000000000000E+02,,,,,,,,,,4.20000000000000E+02,,,,,4.30000000000000E+02,,,,,4.40000000000000E+02,
LSO,Lesotho,AG.LND.FRST.ZS,Forest area (% of land area),1.31752305665349E+00,,,,,,,,,,1.38339920948617E+00,,,,,1.41633728590250E+00,,,,,1.44927536231884E+00,
LSO,Lesotho,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.39130000000000E+08,1.23310000000000E+08,1.43160000000000E+08,1.42840000000000E+08,1.15620000000000E+08,1.12650000000000E+08,1.03210000000000E+08,9.16100000000000E+07,6.11700000000000E+07,3.10200000000000E+07,3.66700000000000E+07,5.51200000000000E+07,7.68000000000000E+07,7.88700000000000E+07,9.80400000000000E+07,6.74900000000000E+07,7.06200000000000E+07,1.28790000000000E+08,1.43800000000000E+08,1.23040000000000E+08,,
LSO,Lesotho,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.39130000000000E+08,1.23310000000000E+08,1.43160000000000E+08,1.42840000000000E+08,1.15620000000000E+08,1.12650000000000E+08,1.03210000000000E+08,9.16100000000000E+07,6.11700000000000E+07,3.10200000000000E+07,3.66700000000000E+07,5.51200000000000E+07,7.68000000000000E+07,7.88700000000000E+07,9.80400000000000E+07,6.74900000000000E+07,7.06200000000000E+07,1.28790000000000E+08,1.43800000000000E+08,1.23040000000000E+08,,
LSO,Lesotho,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.54308929595129E+01,1.26559469425320E+01,1.31468493624847E+01,1.37622652654476E+01,1.08313421108705E+01,9.78263056094619E+00,9.24286537214484E+00,7.88846479776655E+00,5.75045325052992E+00,3.01727216243697E+00,3.76661444560752E+00,6.37371687662547E+00,9.56933063899795E+00,6.55928198455099E+00,5.45840216961069E+00,3.63628902538726E+00,3.80039203687515E+00,6.41210561797753E+00,6.74785890372053E+00,5.42542565436853E+00,,
LSO,Lesotho,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),8.48779600982688E+01,7.38741545300415E+01,8.42472476643104E+01,8.25714378205395E+01,6.56350798554462E+01,6.27740618579451E+01,5.64228945420512E+01,4.91149023867451E+01,3.21784443876311E+01,1.60365024295146E+01,1.86722393142548E+01,2.77126551609541E+01,3.82039944066964E+01,3.88718249994086E+01,4.78943393424348E+01,3.26709111258273E+01,3.38613926900244E+01,6.11501295267904E+01,6.75938652221572E+01,5.72491823705647E+01,,
LSO,Lesotho,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",4.19574753083148E+00,4.48926469563117E+00,5.23604843533859E+00,5.32235179825050E+00,5.40329648048956E+00,6.09375711948792E+00,5.58993323818169E+00,6.53068348144146E+00,8.54937260680954E+00,1.01201082377290E+01,1.13402015438980E+01,1.23821978167310E+01,1.13594679293523E+01,8.08443868731661E+00,4.60960101552114E+00,7.41123046936461E+00,3.92070272942681E+00,6.98732573132433E+00,2.51991646496134E+00,2.95619406500236E+00,,
LSO,Lesotho,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",4.15971397251104E+00,4.45506598537269E+00,5.18966657303601E+00,5.27360636109471E+00,5.36698644433278E+00,6.06393254470578E+00,5.56062667826672E+00,6.50330116076455E+00,8.51629703962133E+00,1.00831546547387E+01,1.13033384240986E+01,1.23600100842719E+01,1.13476137584896E+01,8.07852821634876E+00,4.59535546538047E+00,7.38325018771037E+00,3.90354203992960E+00,6.98732573132433E+00,2.53594959415919E+00,2.97016047310079E+00,,
LSO,Lesotho,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,8.60634896684282E+01,7.48090962156346E+01,1.36070338841023E+02,1.42129572022233E+02,,,,
LSO,Lesotho,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,1.16193289843654E+01,1.33673583907168E+01,7.34914022054685E+00,7.03583347062760E+00,,,,
LSO,Lesotho,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,3.51000000000000E+01,,,,,,
LSO,Lesotho,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,9.56022944550669E-01,,,,,,,,,,,
LSO,Lesotho,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.07776687122341E+03,,,,,2.80396178891690E+03,,,,,2.60165222326852E+03,,,,,2.48322988916153E+03,,,,
LSO,Lesotho,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.89910792675793E-02,1.87645626409353E-01,5.17159206759525E-01,6.20367598820681E-01,1.09986465554378E+00,2.86578618319010E+00,6.86244224008723E+00,6.20756480116078E+00,9.58536516258379E+00,1.20917709386219E+01,1.71614735795309E+01,2.16511057257679E+01,2.78843966283917E+01,3.07556156915989E+01,,
LSO,Lesotho,IT.MLT.MAIN.P2,Telephone lines (per 100 people),7.53853915715020E-01,7.35386624650279E-01,6.69693823987044E-01,8.45195318100048E-01,8.91937705145105E-01,9.91456820751494E-01,8.73322100871299E-01,1.09370593678594E+00,1.10470382890347E+00,1.11666167787723E+00,1.13041645153110E+00,1.07502175735036E+00,1.42285006772752E+00,1.72998596336280E+00,1.81875382876259E+00,2.32186632277253E+00,2.54780368447626E+00,2.25921691369186E+00,1.93615529102966E+00,1.86115677407558E+00,,
LSO,Lesotho,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,2.73340250663943E-03,5.36130361169579E-03,1.05209888466997E-02,5.16972999017234E-02,2.03678639915514E-01,2.51384752911412E-01,1.04464047205811E+00,1.47857835676716E+00,2.10062891852784E+00,2.49207068418668E+00,2.87692376295874E+00,3.32363465088542E+00,3.44550091848688E+00,3.57342100622510E+00,,
LSO,Lesotho,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),5.60527411401138E+01,7.19936091258461E+01,7.25706297463573E+01,6.54245514466791E+01,6.64996155142236E+01,7.63662231312411E+01,7.66944948039199E+01,6.25054610020936E+01,4.89405569335080E+01,4.59612681545489E+01,4.41585257636012E+01,3.77672825145819E+01,3.29430883375106E+01,3.23886217677395E+01,2.58956804707252E+01,2.51322878657845E+01,2.60321545018442E+01,2.57002840531322E+01,2.86085303554053E+01,2.96202279188601E+01,3.37485828369556E+01,
LSO,Lesotho,NE.TRD.GNFS.ZS,Trade (% of GDP),1.41319482486326E+02,1.66672374295306E+02,1.57203918303409E+02,1.53089534223421E+02,1.49653824786784E+02,1.51611643302107E+02,1.63014414327543E+02,1.58182781139482E+02,1.41313931957568E+02,1.37000736467275E+02,1.37602584776034E+02,1.52077642929399E+02,1.87680646647053E+02,1.68104244652316E+02,1.67806373631135E+02,1.55998257963958E+02,1.56858645958967E+02,1.64218729782698E+02,1.70902087714716E+02,1.53778893637076E+02,1.62967729541570E+02,
LSO,Lesotho,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",8.78845477706046E+08,9.23531424683028E+08,1.04452589204576E+09,1.07262169294216E+09,1.12706139762773E+09,1.14140688022257E+09,1.17437805006428E+09,1.18557759582005E+09,1.10732046745590E+09,1.06151038827528E+09,1.04721971703937E+09,9.63939813980206E+08,8.71199946857608E+08,9.86710361191579E+08,1.41042441486274E+09,1.73998296022516E+09,1.90338833318234E+09,1.98424579411092E+09,2.20749412723227E+09,2.29324499746788E+09,2.24782226132429E+09,
LSO,Lesotho,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",5.40000000000000E+02,5.50000000000000E+02,6.10000000000000E+02,6.20000000000000E+02,6.40000000000000E+02,6.40000000000000E+02,6.40000000000000E+02,6.40000000000000E+02,5.80000000000000E+02,5.50000000000000E+02,5.30000000000000E+02,4.80000000000000E+02,4.30000000000000E+02,4.90000000000000E+02,6.90000000000000E+02,8.40000000000000E+02,9.10000000000000E+02,9.40000000000000E+02,1.04000000000000E+03,1.07000000000000E+03,1.04000000000000E+03,
LSO,Lesotho,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",1.33642058565447E+00,1.49284955942922E+00,1.66305102492535E+00,1.79938155601604E+00,1.89640672259121E+00,2.05154899294720E+00,2.23164481437901E+00,2.38731440220614E+00,2.55731676198389E+00,2.71604542042753E+00,2.72210542797018E+00,2.91761941590061E+00,3.23547234699248E+00,3.23089591363175E+00,3.41979223700886E+00,3.49009575437623E+00,3.58916208900435E+00,3.88112630208782E+00,4.30763536117803E+00,4.56567019742181E+00,4.68894528939198E+00,
