Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LBR,Liberia,AG.LND.FRST.K2,Forest area (sq. km),4.92900000000000E+04,,,,,,,,,,4.62900000000000E+04,,,,,4.47900000000000E+04,,,,,4.32900000000000E+04,
LBR,Liberia,AG.LND.FRST.ZS,Forest area (% of land area),5.11731727574751E+01,,,,,,,,,,4.80585548172757E+01,,,,,4.65012458471761E+01,,,,,4.49439368770764E+01,
LBR,Liberia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.95826780415349E+09
LBR,Liberia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.43218644469207E+08
LBR,Liberia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
LBR,Liberia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.20148644862270E+09
LBR,Liberia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.13740000000000E+08,1.57630000000000E+08,1.19600000000000E+08,1.22330000000000E+08,6.34000000000000E+07,1.23100000000000E+08,1.72670000000000E+08,7.57400000000000E+07,7.19900000000000E+07,9.39500000000000E+07,6.74200000000000E+07,3.84800000000000E+07,5.51600000000000E+07,1.06930000000000E+08,2.13240000000000E+08,2.22440000000000E+08,2.60400000000000E+08,7.00790000000000E+08,1.25096000000000E+09,5.13020000000000E+08,,
