Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LIE,Liechtenstein,AG.LND.FRST.K2,Forest area (sq. km),7.00000000000000E+01,,,,,,,,,,7.00000000000000E+01,,,,,7.00000000000000E+01,,,,,7.00000000000000E+01,
LIE,Liechtenstein,AG.LND.FRST.ZS,Forest area (% of land area),4.37500000000000E+01,,,,,,,,,,4.37500000000000E+01,,,,,4.37500000000000E+01,,,,,4.37500000000000E+01,
LIE,Liechtenstein,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
