Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LMY,Low & middle income,AG.LND.FRST.K2,Forest area (sq. km),3.21075000000000E+07,,,,,,,,,,3.11409200000000E+07,,,,,3.08567000000000E+07,,,,,3.05749000000000E+07,
LMY,Low & middle income,AG.LND.FRST.ZS,Forest area (% of land area),3.35233811213921E+01,,,,,,,,,,3.25339743541860E+01,,,,,3.22388470757148E+01,,,,,3.19460066316261E+01,
LMY,Low & middle income,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.51917800000000E+10,6.11864900000000E+10,6.13538300000000E+10,5.78691700000000E+10,6.20278200000000E+10,6.17668200000000E+10,5.64688400000000E+10,5.07208400000000E+10,5.39646100000000E+10,5.63958600000000E+10,5.33214700000000E+10,5.54937400000000E+10,6.49225200000000E+10,7.49508700000000E+10,8.43082200000000E+10,1.08254700000000E+11,1.06244400000000E+11,1.06684000000000E+11,1.26564300000000E+11,1.27202500000000E+11,,
