Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LIC,Low income,AG.LND.FRST.K2,Forest area (sq. km),4.72059000000000E+06,,,,,,,,,,4.42381000000000E+06,,,,,4.28641000000000E+06,,,,,4.15487000000000E+06,
LIC,Low income,AG.LND.FRST.ZS,Forest area (% of land area),3.13803501130748E+01,,,,,,,,,,2.94068065322608E+01,,,,,2.84937955808928E+01,,,,,2.76190932012362E+01,
LIC,Low income,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.42085200000000E+10,1.38199400000000E+10,1.48698100000000E+10,1.33068700000000E+10,1.46450000000000E+10,1.39405000000000E+10,1.19870100000000E+10,1.12145500000000E+10,1.11424700000000E+10,1.02374300000000E+10,1.03868000000000E+10,1.20947400000000E+10,1.54483000000000E+10,2.15625300000000E+10,2.13318400000000E+10,2.19317400000000E+10,2.40319000000000E+10,2.90592000000000E+10,3.42768100000000E+10,3.62791300000000E+10,,
LIC,Low income,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.42085200000000E+10,1.38199400000000E+10,1.48698100000000E+10,1.33068700000000E+10,1.46450000000000E+10,1.39405000000000E+10,1.19870100000000E+10,1.12145500000000E+10,1.11424700000000E+10,1.02374300000000E+10,1.03868000000000E+10,1.20947400000000E+10,1.54483000000000E+10,2.15625300000000E+10,2.13318400000000E+10,2.19317400000000E+10,2.40319000000000E+10,2.90592000000000E+10,3.42768100000000E+10,3.62791300000000E+10,,
LIC,Low income,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.00432952857229E+01,9.64020771217021E+00,1.07382515166820E+01,1.00363469855810E+01,1.20521680149854E+01,1.00361907666170E+01,7.67173401189145E+00,6.88827727360783E+00,6.71009889826893E+00,6.21760250041764E+00,6.30658487285211E+00,7.30127984455824E+00,8.80762232160224E+00,1.10879923357956E+01,9.83243037286507E+00,9.17737428441072E+00,9.18812543570608E+00,9.38278258404936E+00,9.36313002729999E+00,9.31269559062986E+00,,
LIC,Low income,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.81286834150744E+01,2.66632648007128E+01,2.79727294615409E+01,2.44194307533179E+01,2.62237825185141E+01,2.43599799483666E+01,2.04480327562121E+01,1.86794854995249E+01,1.81268427720899E+01,1.62717165221640E+01,1.61358495360770E+01,1.83709057744223E+01,2.29492582304532E+01,3.13382191107839E+01,3.03411081993782E+01,3.05388167924278E+01,3.27721924599375E+01,3.88211404422818E+01,4.48643746124149E+01,4.65190393569247E+01,,
LIC,Low income,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.60143295372293E+01,2.22098129836152E+01,1.94892798749917E+01,1.68815987885463E+01,1.65159307906516E+01,1.72298583810360E+01,1.59406775060950E+01,1.31873441203673E+01,1.39367039951266E+01,1.28339783759771E+01,1.10113783756998E+01,8.40968468496539E+00,1.01515767663358E+01,7.23169172525560E+00,6.24467228168421E+00,6.08159694949565E+00,4.68726581725411E+00,5.32908772903906E+00,5.06635597184239E+00,5.25560781111778E+00,,
LIC,Low income,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.34990811318839E+01,2.07043611245301E+01,1.80322143312938E+01,1.55695327347311E+01,1.55358340203825E+01,1.65400046884391E+01,1.50776359179810E+01,1.18499443050718E+01,1.19912212342929E+01,1.08818986610066E+01,1.01000775180728E+01,7.96752731981303E+00,8.12412635064028E+00,7.08217406990633E+00,5.94634891305601E+00,5.62558601442652E+00,4.05078165751005E+00,4.16036806708951E+00,3.66923773046409E+00,3.96794166486226E+00,,
LIC,Low income,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,2.77565189450164E+00,2.76801164492707E+00,2.81633127936554E+00,2.86626896360503E+00,2.87032200463082E+00,2.91827242601003E+00,2.89825555154893E+00,2.92952208475869E+00,2.93918287357077E+00,2.95494737520065E+00,3.07070010884920E+00,3.15098153476113E+00,3.23553120420696E+00,3.16625064004829E+00,3.24142947893482E+00,,,
LIC,Low income,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.65491222973895E+02,3.62779002673157E+02,3.69802527789592E+02,3.64266874044430E+02,3.60275725490262E+02,3.61270156443416E+02,3.55071865063147E+02,3.48885611468316E+02,3.48392967195547E+02,3.42668488070950E+02,3.45035136555010E+02,3.41352606693993E+02,3.40230616132134E+02,3.38415502215872E+02,3.25658633064878E+02,3.17361428167115E+02,3.09068260166913E+02,3.15830966554420E+02,3.08505863384883E+02,,,
LIC,Low income,EN.ATM.CO2E.KT,CO2 emissions (kt),3.42736098616179E+05,3.49439212169770E+05,3.57617980999030E+05,3.57231971068575E+05,3.45236252944045E+05,3.49384570077836E+05,3.54018044788549E+05,3.32265332427390E+05,1.64471817229363E+05,1.75539244532034E+05,1.81749056000000E+05,1.84958720000000E+05,1.83115728000000E+05,1.91308432000000E+05,2.00783536000000E+05,2.14387968000000E+05,2.20565472000000E+05,2.12006368000000E+05,,,,
LIC,Low income,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),6.78516496643721E-01,6.74184565622937E-01,6.72742357371637E-01,6.55556218733656E-01,6.18190537023652E-01,6.10523375873517E-01,6.03901437983819E-01,5.53436870768086E-01,2.67566775711002E-01,2.79007995711823E-01,2.82346383962341E-01,2.80936937650397E-01,2.72027998415970E-01,2.78040914482508E-01,2.85582255934309E-01,2.98524188106045E-01,3.00784128529203E-01,2.83226275561133E-01,,,,
