Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LMC,Lower middle income,AG.LND.FRST.K2,Forest area (sq. km),7.00319000000000E+06,,,,,,,,,,6.57676000000000E+06,,,,,6.49209000000000E+06,,,,,6.36425000000000E+06,
LMC,Lower middle income,AG.LND.FRST.ZS,Forest area (% of land area),3.07114756413253E+01,,,,,,,,,,2.88684573927807E+01,,,,,2.85003542739842E+01,,,,,2.79391228496083E+01,
LMC,Lower middle income,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.26641000000000E+10,2.50086700000000E+10,2.34261900000000E+10,1.98467300000000E+10,2.34750200000000E+10,2.14557400000000E+10,2.09169300000000E+10,1.74849600000000E+10,1.87191000000000E+10,1.97808000000000E+10,1.78172700000000E+10,2.00004300000000E+10,2.07475200000000E+10,2.27841900000000E+10,2.76468600000000E+10,5.47684400000000E+10,4.69338100000000E+10,3.85864800000000E+10,4.12255500000000E+10,4.04825600000000E+10,,
LMC,Lower middle income,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.23751000000000E+10,2.46403700000000E+10,2.28588900000000E+10,1.94899700000000E+10,2.31310700000000E+10,2.10707000000000E+10,2.04829500000000E+10,1.72176600000000E+10,1.82553400000000E+10,1.92122400000000E+10,1.72785500000000E+10,1.94879700000000E+10,2.02719900000000E+10,2.24559800000000E+10,2.72809800000000E+10,5.47684400000000E+10,4.69338100000000E+10,3.85864800000000E+10,4.12255500000000E+10,4.04825600000000E+10,,
LMC,Lower middle income,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.52903785976181E+00,2.93237626098887E+00,2.73380697217796E+00,2.18057260351568E+00,2.37401113377722E+00,1.93480281082293E+00,1.71696282956632E+00,1.39486393131509E+00,1.64722279024467E+00,1.61286621083570E+00,1.37836013189922E+00,1.53466170833516E+00,1.49449556398097E+00,1.42224938869989E+00,1.48825111723784E+00,2.57808913812227E+00,1.84099851992611E+00,1.22299016435690E+00,1.16191281364915E+00,1.11478406123310E+00,,
LMC,Lower middle income,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.27696964100534E+01,1.37765232875833E+01,1.25303341571418E+01,1.04780609334308E+01,1.22042901843169E+01,1.09146266187602E+01,1.04190155862798E+01,8.60218935042045E+00,8.96104202238729E+00,9.26827888482016E+00,8.19375720406411E+00,9.08790066574409E+00,9.30021227828231E+00,1.01384517317492E+01,1.21251581526025E+01,2.39714176430420E+01,2.02289550747220E+01,1.63811182834150E+01,1.72383240376589E+01,1.66725945383445E+01,,
LMC,Lower middle income,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.42834110252095E+01,2.35036611825120E+01,2.37339547213590E+01,2.25481790635701E+01,2.27173544434837E+01,2.23215878955664E+01,2.10420769405124E+01,1.89965332250604E+01,1.97823888737468E+01,1.91653938797799E+01,1.67168286679871E+01,1.77035251730169E+01,1.81746904599144E+01,1.91315843117254E+01,1.44847954998574E+01,1.33707891751328E+01,1.24824366279478E+01,1.19380715571094E+01,9.41705993682579E+00,1.05451737015319E+01,,
LMC,Lower middle income,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.30879042218657E+01,2.20194393305424E+01,2.24878705885368E+01,2.01999596730668E+01,1.90481590899908E+01,1.79875392272451E+01,1.62428497905307E+01,1.39591007581330E+01,1.41398947075681E+01,1.39840048094121E+01,1.20421639832326E+01,1.25401339593957E+01,1.26980618693522E+01,1.29298518006699E+01,9.39865068528366E+00,8.96667848384129E+00,7.74849752492304E+00,5.24253474872144E+00,4.36754875021787E+00,4.88705693471474E+00,,
LMC,Lower middle income,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.95404470770320E+00,2.90900115394155E+00,3.02429740301663E+00,3.09532840304110E+00,3.19796854805145E+00,3.24222538524989E+00,3.36924449063416E+00,3.39429581662232E+00,3.42902382887661E+00,3.43929904498955E+00,3.52369541609665E+00,3.59605978265660E+00,3.61984087463206E+00,3.70900727759520E+00,3.85748316687798E+00,4.03464996227868E+00,4.23432719060160E+00,4.39658491417725E+00,4.46887264910061E+00,,,
