Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LUX,Luxembourg,AG.LND.FRST.K2,Forest area (sq. km),8.60000000000000E+02,,,,,,,,,,8.70000000000000E+02,,,,,8.70000000000000E+02,,,,,8.70000000000000E+02,
LUX,Luxembourg,AG.LND.FRST.ZS,Forest area (% of land area),3.32046332046332E+01,,,,,,,,,,3.35907335907336E+01,,,,,3.35907335907336E+01,,,,,3.35907335907336E+01,
LUX,Luxembourg,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,2.07500000000000E+07,,,,4.87700000000000E+07,5.67200000000000E+07,6.61900000000000E+07,8.85400000000000E+07,8.97600000000000E+07,,,,,1.71960000000000E+08,1.86340000000000E+08,2.28810000000000E+08,2.50330000000000E+08,2.39470000000000E+08,,
LUX,Luxembourg,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,6.38941429200000E+07,7.68805390600000E+07,1.08654156890000E+08,9.54816250900001E+07,1.23979188120000E+08,1.27554202140000E+08,1.74550930090000E+08,1.96205092940000E+08,1.82445617170000E+08,,
LUX,Luxembourg,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,1.58037793300000E+07,2.49131373000000E+07,1.09267589600000E+07,3.12383153600000E+07,3.24976680900000E+07,4.07734592400000E+07,5.91233255700000E+07,6.75140477600000E+07,6.46347814200000E+07,,
LUX,Luxembourg,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,2.47343161794774E+01,3.24049982018948E+01,1.00564573622914E+01,3.27165727757095E+01,2.62121962426027E+01,3.19655946695101E+01,3.38716760429266E+01,3.44099364335287E+01,3.54268753739227E+01,,
LUX,Luxembourg,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",7.39000000000000E+06,9.58000000000000E+06,8.26000000000000E+06,1.02600000000000E+07,1.31900000000000E+07,1.71700000000000E+07,1.50400000000000E+07,1.89300000000000E+07,2.01500000000000E+07,2.19300000000000E+07,3.21800000000000E+07,3.51100000000000E+07,4.29700000000000E+07,4.62400000000000E+07,5.76200000000000E+07,6.59100000000000E+07,7.86400000000000E+07,1.05100000000000E+08,1.17610000000000E+08,1.08800000000000E+08,,
LUX,Luxembourg,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),6.21008403361344E-02,7.55639690802966E-02,5.73611111111111E-02,7.32857142857143E-02,8.91903825854933E-02,9.56139002675185E-02,7.99319727891157E-02,1.09320859320859E-01,1.16717949193227E-01,1.21878225146262E-01,1.82148125255421E-01,1.95527428416133E-01,2.29147180001856E-01,2.04349046201711E-01,1.93347789117358E-01,2.03911222047286E-01,2.40665637574198E-01,2.58599287486378E-01,2.74381352986326E-01,2.73577034817204E-01,,
LUX,Luxembourg,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",2.54000000000000E+07,4.16200000000000E+07,3.76200000000000E+07,4.96200000000000E+07,5.94800000000000E+07,6.54900000000000E+07,8.23000000000000E+07,9.45100000000000E+07,1.11790000000000E+08,1.18660000000000E+08,1.22970000000000E+08,1.38940000000000E+08,1.46760000000000E+08,1.93830000000000E+08,2.35590000000000E+08,2.56390000000000E+08,2.90710000000000E+08,3.75530000000000E+08,4.14940000000000E+08,4.14730000000000E+08,3.99200000000000E+08,
LUX,Luxembourg,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.10000000000000E-01,3.30000000000000E-01,2.60000000000000E-01,3.50000000000000E-01,4.00000000000000E-01,3.60000000000000E-01,4.40000000000000E-01,5.50000000000000E-01,6.50000000000000E-01,6.60000000000000E-01,7.00000000000000E-01,7.70000000000000E-01,7.80000000000000E-01,8.60000000000000E-01,7.90000000000000E-01,7.90000000000000E-01,8.90000000000000E-01,9.20000000000000E-01,9.70000000000000E-01,1.04000000000000E+00,1.09000000000000E+00,
LUX,Luxembourg,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",4.98200000000000E+07,8.19500000000000E+07,6.72000000000000E+07,8.98900000000000E+07,1.00790000000000E+08,9.56000000000000E+07,1.22510000000000E+08,1.65510000000000E+08,1.99540000000000E+08,2.09760000000000E+08,2.46350000000000E+08,2.86190000000000E+08,2.81350000000000E+08,2.92310000000000E+08,3.17380000000000E+08,3.30050000000000E+08,3.47250000000000E+08,3.96730000000000E+08,3.99160000000000E+08,4.14730000000000E+08,4.13400000000000E+08,
LUX,Luxembourg,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,1.42100000000000E+07,,,,4.60400000000000E+07,5.39600000000000E+07,6.22200000000000E+07,8.51100000000000E+07,8.67700000000000E+07,,,,,1.70370000000000E+08,1.86340000000000E+08,2.28810000000000E+08,2.50330000000000E+08,2.39470000000000E+08,,
LUX,Luxembourg,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,6.84819277108434E+01,,,,9.44022964937461E+01,9.51339915373766E+01,9.40021151231304E+01,9.61260447255478E+01,9.66688948306595E+01,,,,,9.90753663642707E+01,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,1.00000000000000E+02,,
LUX,Luxembourg,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.77566970352820E+00,4.85824650200257E+00,4.91831375493663E+00,5.05459716489516E+00,5.42883661544972E+00,6.27503083401268E+00,6.26692032008637E+00,6.83093223877622E+00,7.55561307958785E+00,7.88405648974952E+00,8.03162486702232E+00,7.94169976641664E+00,7.86519875810483E+00,7.56226839550546E+00,7.18539939030816E+00,7.41989862393711E+00,7.74362844666700E+00,8.42990459183113E+00,8.76093570288309E+00,8.92077368088105E+00,,
