Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MKD,"Macedonia, FYR",AG.LND.FRST.K2,Forest area (sq. km),9.12000000000000E+03,,,,,,,,,,9.58000000000000E+03,,,,,9.75000000000000E+03,,,,,9.98000000000000E+03,
MKD,"Macedonia, FYR",AG.LND.FRST.ZS,Forest area (% of land area),3.58631537554070E+01,,,,,,,,,,3.76720408965788E+01,,,,,3.83405426661424E+01,,,,,3.95560840269520E+01,
MKD,"Macedonia, FYR",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,3.32000000000000E+06,1.04260000000000E+08,7.88000000000000E+07,1.05390000000000E+08,9.82900000000000E+07,1.04880000000000E+08,2.76780000000000E+08,2.50130000000000E+08,2.47130000000000E+08,2.73470000000000E+08,2.65680000000000E+08,2.63390000000000E+08,2.27160000000000E+08,2.05190000000000E+08,2.00860000000000E+08,2.04660000000000E+08,1.93430000000000E+08,,
