Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MDG,Madagascar,AG.LND.FRST.K2,Forest area (sq. km),1.36920000000000E+05,,,,,,,,,,1.31220000000000E+05,,,,,1.28380000000000E+05,,,,,1.25530000000000E+05,
MDG,Madagascar,AG.LND.FRST.ZS,Forest area (% of land area),2.35443821577192E+01,,,,,,,,,,2.25642260205661E+01,,,,,2.20758675241600E+01,,,,,2.15857894555835E+01,
MDG,Madagascar,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.22792342999495E+09
MDG,Madagascar,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.59791287907593E+09
MDG,Madagascar,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
MDG,Madagascar,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.82583630907088E+09
MDG,Madagascar,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.96960000000000E+08,4.55110000000000E+08,3.61550000000000E+08,3.61220000000000E+08,2.88140000000000E+08,2.99410000000000E+08,3.54690000000000E+08,8.33060000000000E+08,4.80500000000000E+08,3.58100000000000E+08,3.20200000000000E+08,3.70250000000000E+08,3.73960000000000E+08,5.46330000000000E+08,1.26275000000000E+09,9.13020000000000E+08,7.57360000000000E+08,8.94110000000000E+08,8.42890000000000E+08,4.45310000000000E+08,,
MDG,Madagascar,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.96960000000000E+08,4.55110000000000E+08,3.61550000000000E+08,3.61220000000000E+08,2.88140000000000E+08,2.99410000000000E+08,3.54690000000000E+08,8.33060000000000E+08,4.80500000000000E+08,3.58100000000000E+08,3.20200000000000E+08,3.70250000000000E+08,3.73960000000000E+08,5.46330000000000E+08,1.26275000000000E+09,9.13020000000000E+08,7.57360000000000E+08,8.94110000000000E+08,8.42890000000000E+08,4.45310000000000E+08,,
MDG,Madagascar,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.34210767620307E+01,1.83091097033963E+01,1.25104985511980E+01,1.11592654418810E+01,1.01809252121377E+01,9.97477697041167E+00,9.24380447564749E+00,2.41172472832036E+01,1.31116172067441E+01,9.74326889419866E+00,8.41066418072270E+00,8.28291692451948E+00,8.64472908310735E+00,1.01280267624316E+01,2.94718762344410E+01,1.84067086556260E+01,1.39346286641224E+01,1.22682067985960E+01,9.02056981674803E+00,5.30348575139071E+00,,
MDG,Madagascar,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.51895395866807E+01,3.91636730191714E+01,3.01927626891442E+01,2.92639945765770E+01,2.26380697160468E+01,2.28048460126403E+01,2.61816568074854E+01,5.95823130090506E+01,3.32969780688293E+01,2.40461901729311E+01,2.08405578865045E+01,2.33649106182523E+01,2.28876144441926E+01,3.24376181610288E+01,7.27478009597122E+01,5.10467228302501E+01,4.11008489233386E+01,4.71070379951604E+01,4.31227790533258E+01,2.21281395735969E+01,,
MDG,Madagascar,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",4.58805677020860E+01,3.28867450629970E+01,1.87826325190161E+01,1.48905016468005E+01,9.91667283379896E+00,7.70314454749319E+00,1.02318250515001E+01,2.62357872193136E+01,1.46844415360901E+01,1.71068496550427E+01,9.64694784928050E+00,4.99448366221030E+00,4.86677754660752E+00,5.79873261735134E+00,5.74114528284828E+00,5.80999361121163E+00,3.50462520903313E+00,,,2.27457701766480E+00,,
MDG,Madagascar,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",4.43561594720418E+01,3.18207241533375E+01,1.81112459195853E+01,1.43568943695107E+01,9.55201665531493E+00,7.26342960611368E+00,9.77114812001615E+00,2.61408784179231E+01,2.06398760832508E+01,1.16573378719820E+01,7.07462951333786E+00,2.90000000000000E+00,6.30000000000000E+00,4.80000000000000E+00,4.70000000000000E+00,4.80000000000000E+00,4.60000000000000E+00,9.99865678197077E-01,1.20000000000000E+00,2.50000000000000E+00,,
MDG,Madagascar,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,EN.ATM.CO2E.KT,CO2 emissions (kt),9.85616000000000E+02,1.07355200000000E+03,1.04424000000000E+03,1.06988800000000E+03,1.31537600000000E+03,1.31171200000000E+03,1.41064000000000E+03,1.70009600000000E+03,1.73673600000000E+03,1.92360000000000E+03,2.44755200000000E+03,2.12512000000000E+03,1.69643200000000E+03,1.91627200000000E+03,1.89795200000000E+03,2.17275200000000E+03,2.01886400000000E+03,2.24969600000000E+03,,,,
MDG,Madagascar,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),8.73724638484127E-02,9.23825877196228E-02,8.72036800180113E-02,8.66762544420155E-02,1.03344116022818E-01,9.99077858886894E-02,1.04127244520317E-01,1.21594665471196E-01,1.20349761713520E-01,1.29168532300057E-01,1.59301527595971E-01,1.34107329785443E-01,1.03827365351349E-01,1.13776104970752E-01,1.09342177253683E-01,1.21478027998151E-01,1.09560874961401E-01,1.18527379125119E-01,,,,
