Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MWI,Malawi,AG.LND.FRST.K2,Forest area (sq. km),3.89600000000000E+04,,,,,,,,,,3.56700000000000E+04,,,,,3.40200000000000E+04,,,,,3.23700000000000E+04,
MWI,Malawi,AG.LND.FRST.ZS,Forest area (% of land area),4.14115646258503E+01,,,,,,,,,,3.79145408163265E+01,,,,,3.61607142857143E+01,,,,,3.44068877551020E+01,
MWI,Malawi,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.37899802863011E+09
MWI,Malawi,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,8.98349358341868E+08
MWI,Malawi,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
MWI,Malawi,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.27734738697198E+09
MWI,Malawi,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.00360000000000E+08,5.49570000000000E+08,5.77040000000000E+08,4.96340000000000E+08,4.70140000000000E+08,4.34140000000000E+08,4.91540000000000E+08,3.43850000000000E+08,4.34520000000000E+08,4.46620000000000E+08,4.46110000000000E+08,4.09430000000000E+08,3.78140000000000E+08,5.18130000000000E+08,5.05610000000000E+08,5.73350000000000E+08,6.98230000000000E+08,7.43990000000000E+08,9.23680000000000E+08,7.72400000000000E+08,,
MWI,Malawi,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.00360000000000E+08,5.49570000000000E+08,5.77040000000000E+08,4.96340000000000E+08,4.70140000000000E+08,4.34140000000000E+08,4.91540000000000E+08,3.43850000000000E+08,4.34520000000000E+08,4.46620000000000E+08,4.46110000000000E+08,4.09430000000000E+08,3.78140000000000E+08,5.18130000000000E+08,5.05610000000000E+08,5.73350000000000E+08,6.98230000000000E+08,7.43990000000000E+08,9.23680000000000E+08,7.72400000000000E+08,,
MWI,Malawi,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.72309061486647E+01,2.54781878670545E+01,3.27763987101522E+01,2.44640490949335E+01,4.12912134574314E+01,3.21569499883348E+01,2.19238411180727E+01,1.31134052943375E+01,2.54233687065972E+01,2.57538579440804E+01,2.61317235238577E+01,2.43221952885460E+01,1.44258108932715E+01,2.17289308713825E+01,1.95818800539238E+01,2.11278694342260E+01,2.26819505733740E+01,2.16486048935568E+01,2.28005800014025E+01,1.65900270303387E+01,,
MWI,Malawi,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.33382113342740E+01,5.73442646761750E+01,5.96009307429418E+01,5.10552767954312E+01,4.81101217703673E+01,4.39264014731847E+01,4.88093813628873E+01,3.33216236841786E+01,4.09447367610180E+01,4.08907859313064E+01,3.97292451630439E+01,3.55120159988384E+01,3.19561176773428E+01,4.26621940239334E+01,4.05370280307684E+01,4.47140658901359E+01,5.29149367931637E+01,5.47478020375287E+01,6.59530558589567E+01,5.34818231734718E+01,,
