Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MYS,Malaysia,AG.LND.FRST.K2,Forest area (sq. km),2.23760000000000E+05,,,,,,,,,,2.15910000000000E+05,,,,,2.08900000000000E+05,,,,,2.04560000000000E+05,
MYS,Malaysia,AG.LND.FRST.ZS,Forest area (% of land area),6.81053112159489E+01,,,,,,,,,,6.57160249581494E+01,,,,,6.35824075483184E+01,,,,,6.22614518338153E+01,
MYS,Malaysia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.68490000000000E+08,2.89290000000000E+08,2.03700000000000E+08,9.21200000000000E+07,6.61400000000000E+07,1.08100000000000E+08,-4.56760000000000E+08,-2.40510000000000E+08,2.01730000000000E+08,1.44460000000000E+08,4.53700000000000E+07,3.06800000000000E+07,8.66800000000000E+07,1.06590000000000E+08,3.05720000000000E+08,2.60600000000000E+07,2.38620000000000E+08,2.00040000000000E+08,1.54510000000000E+08,1.43560000000000E+08,,
MYS,Malaysia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.68490000000000E+08,2.89290000000000E+08,2.03700000000000E+08,9.21200000000000E+07,6.61400000000000E+07,1.08100000000000E+08,-4.56760000000000E+08,-2.40510000000000E+08,2.01730000000000E+08,1.44460000000000E+08,4.53700000000000E+07,3.06800000000000E+07,8.66800000000000E+07,1.06590000000000E+08,3.05720000000000E+08,2.60600000000000E+07,2.38620000000000E+08,2.00040000000000E+08,1.54510000000000E+08,1.43560000000000E+08,,
MYS,Malaysia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.11142952101097E+00,6.19974742218490E-01,3.63694928888243E-01,1.44652588842876E-01,9.32932716208742E-02,1.27643580154918E-01,-4.74995956234080E-01,-2.53695265804819E-01,2.95483083405915E-01,1.96437316140473E-01,5.26443387431112E-02,3.56573968781926E-02,9.19676550366255E-02,1.02223443567756E-01,2.58366800866044E-01,1.98127995217682E-02,1.57182390253183E-01,1.09564710658929E-01,7.19552983825990E-02,7.59842838175347E-02,,
MYS,Malaysia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.57291048024550E+01,1.54636249080195E+01,1.06071171204338E+01,4.67584235589363E+00,3.27337491090273E+00,5.21697752163163E+00,-2.14975199911969E+01,-1.10419397673227E+01,9.03709127242675E+00,6.31720779240656E+00,1.93765433809715E+00,1.28022053843455E+00,3.53574782596175E+00,4.25336062975435E+00,1.19466427577503E+01,9.98458213470136E-01,8.97530369697732E+00,7.39488188705675E+00,5.61813522852586E+00,5.13642602997310E+00,,
