Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MDV,Maldives,AG.LND.FRST.K2,Forest area (sq. km),1.00000000000000E+01,,,,,,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,
MDV,Maldives,AG.LND.FRST.ZS,Forest area (% of land area),3.33333333333333E+00,,,,,,,,,,3.33333333333333E+00,,,,,3.33333333333333E+00,,,,,3.33333333333333E+00,
MDV,Maldives,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.08600000000000E+07,3.22000000000000E+07,3.60000000000000E+07,2.83400000000000E+07,2.97200000000000E+07,5.77500000000000E+07,3.21100000000000E+07,2.59000000000000E+07,2.50000000000000E+07,3.06800000000000E+07,1.91500000000000E+07,2.47700000000000E+07,2.74600000000000E+07,2.32400000000000E+07,2.82300000000000E+07,7.58200000000000E+07,3.75200000000000E+07,3.73700000000000E+07,5.42600000000000E+07,3.32600000000000E+07,,
MDV,Maldives,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.08600000000000E+07,3.22000000000000E+07,3.60000000000000E+07,2.83400000000000E+07,2.97200000000000E+07,5.77500000000000E+07,3.21100000000000E+07,2.59000000000000E+07,2.50000000000000E+07,3.06800000000000E+07,1.91500000000000E+07,2.47700000000000E+07,2.74600000000000E+07,2.32400000000000E+07,2.82300000000000E+07,7.58200000000000E+07,3.75200000000000E+07,3.73700000000000E+07,5.42600000000000E+07,3.32600000000000E+07,,
MDV,Maldives,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.07589477409188E+01,1.51202795261544E+01,1.44661528822817E+01,1.02369917185880E+01,9.48009253775649E+00,1.52364425412814E+01,7.49351833001178E+00,5.38707592131566E+00,4.88342086929552E+00,5.49611276041893E+00,3.22206620890437E+00,4.22288104078667E+00,4.54482919134190E+00,3.54604175913816E+00,3.92532060174205E+00,1.04445157072595E+01,4.27428790089033E+00,3.69602925264387E+00,4.48989174359637E+00,2.63022501148774E+00,,
MDV,Maldives,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.50454267931509E+01,1.42661568656988E+02,1.55335784186817E+02,1.19273082329571E+02,1.22175814779492E+02,2.32196275209881E+02,1.26437234210112E+02,9.99992278051907E+01,9.47447009288771E+01,1.14221891288161E+02,7.00859330395702E+01,8.91677556148327E+01,9.72841220692538E+01,8.10702387804580E+01,9.70143098684482E+01,2.56808020593416E+02,1.25309349106102E+02,1.23114327977624E+02,1.76379570395798E+02,1.06691815910104E+02,,
MDV,Maldives,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",4.80304678998912E+00,3.73957155615089E+00,3.20343565587832E+00,3.86507904273819E+00,3.41912383178808E+00,3.36060174623724E+00,3.12300618314583E+00,6.99315078400852E+00,3.65919502893997E+00,3.98882401314641E+00,4.23763238379297E+00,4.60110978588355E+00,4.43681943890909E+00,3.68886423042898E+00,4.68674520812384E+00,7.18294671765738E+00,5.20687247509879E+00,6.16535489498836E+00,6.23561405285529E+00,8.29895474277766E+00,,
MDV,Maldives,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.98694232861806E+00,3.38066201535723E+00,3.04596339751351E+00,3.73798389306068E+00,3.37538622911905E+00,3.31158715416621E+00,3.07046265098427E+00,6.90031270065458E+00,3.56046541468106E+00,3.77564458251507E+00,3.99078831883425E+00,4.31197941659857E+00,4.17891820549610E+00,3.51940930689419E+00,4.54355978688090E+00,6.77921759320709E+00,4.57610341042141E+00,5.08991691153729E+00,5.41611000825287E+00,7.57575257648265E+00,,
MDV,Maldives,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,4.94944631893997E+00,5.24400565342802E+00,4.83337906107383E+00,4.99276474150394E+00,,,,
