Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MLI,Mali,AG.LND.FRST.K2,Forest area (sq. km),1.40720000000000E+05,,,,,,,,,,1.32810000000000E+05,,,,,1.28850000000000E+05,,,,,1.24900000000000E+05,
MLI,Mali,AG.LND.FRST.ZS,Forest area (% of land area),1.15326301641548E+01,,,,,,,,,,1.08843704668945E+01,,,,,1.05598308460158E+01,,,,,1.02361107696342E+01,
MLI,Mali,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,7.91665631393663E+08
MLI,Mali,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.30767875975480E+09
MLI,Mali,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
MLI,Mali,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.09934439114847E+09
MLI,Mali,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.79030000000000E+08,4.49660000000000E+08,4.29510000000000E+08,3.60780000000000E+08,4.39650000000000E+08,5.39750000000000E+08,4.89650000000000E+08,4.28560000000000E+08,3.46610000000000E+08,3.54120000000000E+08,2.87820000000000E+08,3.46270000000000E+08,4.24910000000000E+08,5.59130000000000E+08,5.87840000000000E+08,7.03800000000000E+08,8.30900000000000E+08,1.01984000000000E+09,9.64100000000000E+08,9.85100000000000E+08,,
MLI,Mali,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.79030000000000E+08,4.49660000000000E+08,4.29510000000000E+08,3.60780000000000E+08,4.39650000000000E+08,5.39750000000000E+08,4.89650000000000E+08,4.28560000000000E+08,3.46610000000000E+08,3.54120000000000E+08,2.87820000000000E+08,3.46270000000000E+08,4.24910000000000E+08,5.59130000000000E+08,5.87840000000000E+08,7.03800000000000E+08,8.30900000000000E+08,1.01984000000000E+09,9.64100000000000E+08,9.85100000000000E+08,,
MLI,Mali,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.99153781660955E+01,1.85796179132654E+01,1.51277964746763E+01,1.34609255577682E+01,2.52746467625383E+01,2.23146745731111E+01,1.90580885131768E+01,1.76942010334012E+01,1.36136070150195E+01,1.40199657353514E+01,1.20306399836571E+01,1.40548040310077E+01,1.36951111192119E+01,1.33043813049637E+01,1.25627909881589E+01,1.38035938931350E+01,1.50424991131001E+01,1.42708935226738E+01,1.14427145772595E+01,1.14504204170051E+01,,
MLI,Mali,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.52331708495967E+01,5.07438924174410E+01,4.73223500293788E+01,3.87392218353573E+01,4.59681494518482E+01,5.49391267350738E+01,4.85150087394391E+01,4.13215729735160E+01,3.25073338687291E+01,3.22815749711137E+01,2.54813407742885E+01,2.97487980461517E+01,3.54035994506531E+01,4.51635947484771E+01,4.60247298364644E+01,5.34126980151696E+01,6.11279680795621E+01,7.27377195543816E+01,6.66736284049989E+01,6.60705804962141E+01,,
