Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MLT,Malta,AG.LND.FRST.K2,Forest area (sq. km),3.00000000000000E+00,,,,,,,,,,3.00000000000000E+00,,,,,3.00000000000000E+00,,,,,,
MLT,Malta,AG.LND.FRST.ZS,Forest area (% of land area),9.37500000000000E-01,,,,,,,,,,9.37500000000000E-01,,,,,9.37500000000000E-01,,,,,,
MLT,Malta,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.31000000000000E+06,2.18000000000000E+07,4.63000000000000E+06,2.79500000000000E+07,4.24900000000000E+07,9.21000000000000E+06,7.21700000000000E+07,2.23900000000000E+07,2.18700000000000E+07,2.51000000000000E+07,2.12400000000000E+07,1.70000000000000E+06,1.10400000000000E+07,9.11000000000000E+06,6.28000000000000E+06,,,,,,,
MLT,Malta,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.31000000000000E+06,2.18000000000000E+07,4.63000000000000E+06,2.79500000000000E+07,4.24900000000000E+07,9.21000000000000E+06,7.21700000000000E+07,2.23900000000000E+07,2.18700000000000E+07,2.51000000000000E+07,2.12400000000000E+07,1.70000000000000E+06,1.10400000000000E+07,,,,,,,,,
MLT,Malta,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.93900014409678E-01,7.46582219025779E-01,1.46217786912943E-01,9.93983940779821E-01,1.39065618563811E+00,2.54936747477832E-01,1.95998228045479E+00,6.14792058789081E-01,5.84051251255998E-01,6.35971246063163E-01,5.59861983600394E-01,4.37025906833323E-02,2.59128646836996E-01,,,,,,,,,
MLT,Malta,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.47500000000000E+01,6.00231131134542E+01,1.26300871064211E+01,7.55038865032856E+01,1.13614869639168E+02,2.43650793650794E+01,1.89921052631579E+02,5.84595300261097E+01,5.68051948051948E+01,6.46907216494845E+01,5.44615384615385E+01,4.32539157515495E+00,2.78809704800123E+01,,,,,,,,,
MLT,Malta,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),6.99183026132258E+00,7.68354915878838E+00,8.14089493136842E+00,6.64442756721693E+00,7.73920170001027E+00,8.94975512234832E+00,9.43418705807076E+00,8.84086468040738E+00,1.05448707077302E+01,1.01333688337503E+01,1.18558041855154E+01,1.00190221488980E+01,1.10389710794261E+01,9.76605017102513E+00,9.91419997777388E+00,9.83313188989547E+00,1.06871306924686E+01,1.04821223127645E+01,1.13951967886248E+01,,,
MLT,Malta,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.43024067036038E+02,1.30148187944657E+02,1.22836617894036E+02,1.50502054523691E+02,1.29212293303930E+02,1.11734900712860E+02,1.05997474275700E+02,1.13111108036315E+02,9.48328365246735E+01,9.86838648041102E+01,8.43468721608720E+01,9.98101396661742E+01,9.05881528998431E+01,1.02395541952764E+02,1.00865425575624E+02,1.01696998595900E+02,9.35704847985732E+01,9.54005276948793E+01,8.77562729761933E+01,,,
MLT,Malta,EN.ATM.CO2E.KT,CO2 emissions (kt),2.17641600000000E+03,2.19840000000000E+03,2.25702400000000E+03,2.66739200000000E+03,2.65640000000000E+03,2.69304000000000E+03,2.96417600000000E+03,3.23897600000000E+03,2.14344000000000E+03,2.34496000000000E+03,2.06283200000000E+03,2.48419200000000E+03,2.29732800000000E+03,2.57945600000000E+03,2.57212800000000E+03,2.69670400000000E+03,2.57212800000000E+03,2.72235200000000E+03,,,,
MLT,Malta,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),6.04560000000000E+00,6.05297302149623E+00,6.15689194844126E+00,7.20566951083263E+00,7.10300164060921E+00,7.12444444444444E+00,7.80046315789474E+00,8.45685639686684E+00,5.56737662337662E+00,6.04371134020619E+00,5.28931282051282E+00,6.32064891051019E+00,5.80178751366900E+00,6.47158175732973E+00,6.41000029905201E+00,6.67770412319822E+00,6.32893053286353E+00,6.65530375259748E+00,,,,
MLT,Malta,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.65563335430189E-01,5.19963024960110E-01,4.99394546469311E-01,5.52763622469790E-01,5.10644288012848E-01,4.75744045936301E-01,5.42851139809005E-01,5.54355418241220E-01,3.48796291054214E-01,3.62988808204008E-01,2.88807412829777E-01,3.52379697120615E-01,3.04643195213489E-01,3.37017053126540E-01,3.23412617777207E-01,3.18521141581368E-01,2.81796874335129E-01,2.81905710599358E-01,,,,
MLT,Malta,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,6.23762376238000E+01,,,,,5.34653465347000E+01,,,,,,,,,
MLT,Malta,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.37757969519280E+02,,,,,1.31853785900783E+02,,,,,1.27535236344259E+02,,,,,1.23456790123457E+02,,,,
MLT,Malta,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),3.22741405528227E-01,3.22840929364768E-01,3.23044413522054E-01,3.24296518944626E-01,3.33328816049331E-01,3.35287465665089E-01,3.50300575494677E-01,3.50714988897658E-01,3.51129290982032E-01,3.51129290982032E-01,3.51213805318218E-01,3.51400811570171E-01,3.53004554206758E-01,3.53004554206758E-01,3.53004554206758E-01,3.53004554206758E-01,3.61891117745867E-01,3.98461451292432E-01,3.98466680765356E-01,3.98466675011810E-01,,
MLT,Malta,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,6.27764669259980E-01,9.54758204589070E-01,1.43173738270989E+00,2.00544015602202E+00,2.85476190476190E+00,3.28947368421053E+00,4.61906005221932E+00,5.85220779220779E+00,9.67551546391753E+00,2.93446153846154E+01,6.09157617268999E+01,6.99193623743273E+01,7.27559197354622E+01,7.62749583819293E+01,8.02254374908688E+01,8.53258302001929E+01,9.00941205231634E+01,9.36123315936400E+01,1.02127561760507E+02,,
MLT,Malta,IT.MLT.MAIN.P2,Telephone lines (per 100 people),3.56247222222222E+01,3.82129715581512E+01,4.10404178182904E+01,4.25520454315243E+01,4.35552188765695E+01,4.51632275132275E+01,4.75284210526316E+01,4.88232375979112E+01,4.97527272727273E+01,5.09701030927835E+01,5.23571794871795E+01,5.28575572223862E+01,5.23447542610659E+01,5.22529868383419E+01,5.14690929752684E+01,5.00489058704378E+01,5.12689218716167E+01,5.62442244224422E+01,5.85301614273577E+01,6.11435069805705E+01,,
MLT,Malta,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,2.24867724867725E-01,1.05263157894737E+00,3.91644908616188E+00,6.49350649350649E+00,7.73195876288660E+00,1.30769230769231E+01,1.78104358976969E+01,2.88123565228591E+01,3.15438228520104E+01,3.45223142637838E+01,4.11101508777056E+01,4.02226334127281E+01,4.65639897323066E+01,4.95339240199053E+01,5.82065861743570E+01,,
MLT,Malta,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),3.06266760557068E+01,2.89600176734073E+01,2.52780440428089E+01,2.73768842687817E+01,2.80976324396423E+01,2.93126138052680E+01,2.62716117686997E+01,2.16696504750936E+01,1.91751859915918E+01,1.82334870113647E+01,2.62428748148595E+01,1.76455042941231E+01,1.42614237519402E+01,1.65095749315035E+01,1.59114132124928E+01,1.97321000770785E+01,2.16105080583868E+01,2.09022227088580E+01,1.87829720553669E+01,1.45485851435727E+01,,
MLT,Malta,NE.TRD.GNFS.ZS,Trade (% of GDP),1.64483731950285E+02,1.65237806949610E+02,1.70465399159258E+02,1.78905433825570E+02,1.81701946271457E+02,1.79736921307914E+02,1.67881957238778E+02,1.60465568356784E+02,1.63201483802031E+02,1.71055931872501E+02,1.94758530448679E+02,1.68417022688230E+02,1.66325091860026E+02,1.63341704136169E+02,1.61728641876583E+02,1.59517113513739E+02,1.78469393720889E+02,1.82019416767035E+02,1.70655523635414E+02,1.47830321581996E+02,,
MLT,Malta,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",2.69005534545799E+09,2.88930296890834E+09,3.20436882325762E+09,3.18129418222528E+09,3.22192516244767E+09,3.43387068976353E+09,3.68521015990202E+09,3.84360173412633E+09,3.75226288946783E+09,3.93633173187168E+09,3.94268034441272E+09,3.92613895446485E+09,4.01205105442085E+09,4.40220849433413E+09,5.15358224820403E+09,5.77828964840145E+09,6.22663163511612E+09,6.81638555837614E+09,7.60618873647896E+09,7.61575613609342E+09,,
MLT,Malta,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",7.47000000000000E+03,7.96000000000000E+03,8.74000000000000E+03,8.59000000000000E+03,8.62000000000000E+03,9.08000000000000E+03,9.70000000000000E+03,1.00400000000000E+04,9.75000000000000E+03,1.01500000000000E+04,1.01100000000000E+04,9.99000000000000E+03,1.01300000000000E+04,1.10400000000000E+04,1.28400000000000E+04,1.43100000000000E+04,1.53200000000000E+04,1.66600000000000E+04,1.84600000000000E+04,1.84300000000000E+04,,
MLT,Malta,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",4.90008861892062E-01,4.89778778503377E-01,4.96729013385707E-01,4.99947187778654E-01,5.07422742694951E-01,5.19351262367506E-01,5.64615228030297E-01,5.59098681623091E-01,5.60986681512569E-01,5.62094471840125E-01,5.56284789869190E-01,5.72640998995165E-01,5.66978036065294E-01,5.73360614156718E-01,5.66044505836969E-01,5.66987343042856E-01,5.62174316859755E-01,5.67445691425047E-01,5.63593240438778E-01,5.60880309811190E-01,5.66573594859968E-01,
MLT,Malta,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",5.69083347166313E-01,5.59841459258763E-01,5.52257959940658E-01,5.58658376885700E-01,5.66947700912739E-01,5.75888379827304E-01,6.25490418811111E-01,6.17403341709650E-01,6.23417900928354E-01,6.21687539441990E-01,6.16645203984905E-01,6.21819986001471E-01,6.27449507889668E-01,6.22760742076874E-01,6.32254571599345E-01,6.34079927827271E-01,6.42871633528466E-01,6.48201939346051E-01,6.41398969320266E-01,6.44415563448499E-01,6.44535630793376E-01,
MLT,Malta,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,9.78065283664213E+01,,,,,,,,,,9.91107347025000E+01,,,,,,
MLT,Malta,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,9.43650655021834E+01,,,,,,,,,,9.74597627768000E+01,,,,,,
MLT,Malta,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,9.60322749130991E+01,,,,,,,,,,9.82650303792000E+01,,,,,,
MLT,Malta,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,8.78686966410374E+01,,,,,,,,,,9.23630900571129E+01,,,,,,
MLT,Malta,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),9.65300000000000E+01,9.62790000000000E+01,9.67400000000000E+01,9.76340000000000E+01,9.79400000000000E+01,9.66530000000000E+01,9.92350000000000E+01,9.94800000000000E+01,1.00753000000000E+02,1.00703000000000E+02,1.00717000000000E+02,9.97920000000000E+01,9.90680000000000E+01,9.86340000000000E+01,9.89820000000000E+01,9.78590000000000E+01,,9.96910000000000E+01,1.00789000000000E+02,,,
MLT,Malta,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),9.54450000000000E+01,9.52470000000000E+01,9.48970000000000E+01,9.52220000000000E+01,9.41460000000000E+01,9.52740000000000E+01,1.00353000000000E+02,,,9.23980000000000E+01,1.00364000000000E+02,9.83680000000000E+01,9.89250000000000E+01,9.89500000000000E+01,9.56800000000000E+01,9.70770000000000E+01,,1.01097000000000E+02,9.89450000000000E+01,,,
MLT,Malta,SE.ENR.SECO.FM.ZS,Ratio of female to male secondary enrollment (%),9.39240000000000E+01,9.37520000000000E+01,9.27880000000000E+01,9.26090000000000E+01,9.03130000000000E+01,9.38600000000000E+01,1.01460000000000E+02,,,8.53580000000000E+01,1.00108000000000E+02,9.71390000000000E+01,9.88520000000000E+01,9.92430000000000E+01,9.32840000000000E+01,9.65070000000000E+01,,1.02166000000000E+02,9.76420000000000E+01,,,
MLT,Malta,SE.ENR.TERT.FM.ZS,Ratio of female to male tertiary enrollment (%),7.73720000000000E+01,8.25320000000000E+01,9.28900000000000E+01,9.82990000000000E+01,1.01267000000000E+02,9.89680000000000E+01,1.05375000000000E+02,1.12762000000000E+02,1.03925000000000E+02,1.13188000000000E+02,1.21564000000000E+02,1.28873000000000E+02,1.39943000000000E+02,1.39865000000000E+02,1.33423000000000E+02,1.35506000000000E+02,,1.41502000000000E+02,1.44362000000000E+02,,,
MLT,Malta,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",1.02039760000000E+02,9.96721300000000E+01,1.02118130000000E+02,1.04852870000000E+02,1.04010330000000E+02,9.96895500000000E+01,1.00606270000000E+02,9.93899300000000E+01,1.01300300000000E+02,1.04046140000000E+02,1.07395440000000E+02,1.05796840000000E+02,1.06314430000000E+02,1.04389240000000E+02,1.01669830000000E+02,9.80888000000000E+01,,9.83501000000000E+01,1.00473740000000E+02,,,
MLT,Malta,SE.PRM.NENR,"School enrollment, primary (% net)",9.69331200000000E+01,9.69542000000000E+01,9.66073900000000E+01,9.64537300000000E+01,9.48085400000000E+01,9.55303000000000E+01,9.72135500000000E+01,9.80193900000000E+01,9.90670800000000E+01,9.47418300000000E+01,9.54591900000000E+01,9.56161600000000E+01,9.54271800000000E+01,9.51558700000000E+01,9.46407800000000E+01,9.12237400000000E+01,,9.14198100000000E+01,9.12654300000000E+01,,,
MLT,Malta,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,,9.83231600000000E+01,9.71599700000000E+01,9.78589400000000E+01,,,,,9.52709400000000E+01,,,,
MLT,Malta,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,,,9.75658200000000E+01,9.92581800000000E+01,9.69396200000000E+01,,,,,8.74470100000000E+01,,,,
MLT,Malta,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,,,9.79339400000000E+01,9.82278200000000E+01,9.73803800000000E+01,,,,,9.11729800000000E+01,,,,
MLT,Malta,SE.PRM.TENR,"Total enrollment, primary (% net)",9.70089200000000E+01,9.69863500000000E+01,9.66541900000000E+01,9.64917400000000E+01,9.48933100000000E+01,9.55537300000000E+01,9.72341700000000E+01,9.80193900000000E+01,9.90670800000000E+01,9.47418300000000E+01,9.54591900000000E+01,9.56161600000000E+01,9.54494400000000E+01,9.52342100000000E+01,9.47237400000000E+01,9.12237400000000E+01,,9.14340700000000E+01,9.13243700000000E+01,,,
MLT,Malta,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),3.00000000000000E+00,,,,,,,6.00000000000000E+00,6.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,9.00000000000000E+00,9.20000000000000E+00,9.20000000000000E+00,9.20000000000000E+00,8.70000000000000E+00,8.70000000000000E+00,8.70000000000000E+00,8.70000000000000E+00
MLT,Malta,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,SH.CON.AIDS.FE.ZS,"Condom use with non regular partner, % adults(15-49), female",,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,SH.CON.AIDS.MA.ZS,"Condom use with non regular partner, % adults(15-49), male",,,,,,,,,,,,,,,,,,,,,,
