Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MRT,Mauritania,AG.LND.FRST.K2,Forest area (sq. km),4.15000000000000E+03,,,,,,,,,,3.17000000000000E+03,,,,,2.67000000000000E+03,,,,,2.42000000000000E+03,
MRT,Mauritania,AG.LND.FRST.ZS,Forest area (% of land area),4.02638983215291E-01,,,,,,,,,,3.07557970311439E-01,,,,,2.59047249442127E-01,,,,,2.34791889007471E-01,
MRT,Mauritania,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,9.13413793139130E+08
MRT,Mauritania,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,5.58350591725927E+08
MRT,Mauritania,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
MRT,Mauritania,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.47176438486506E+09
MRT,Mauritania,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.36090000000000E+08,2.17310000000000E+08,1.99620000000000E+08,3.24590000000000E+08,2.66930000000000E+08,2.29820000000000E+08,2.71650000000000E+08,2.37750000000000E+08,1.64460000000000E+08,2.18520000000000E+08,2.20920000000000E+08,2.78510000000000E+08,3.63460000000000E+08,2.54600000000000E+08,1.93660000000000E+08,1.87150000000000E+08,2.07510000000000E+08,3.46240000000000E+08,3.19680000000000E+08,2.86690000000000E+08,,
MRT,Mauritania,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.36090000000000E+08,2.17310000000000E+08,1.99620000000000E+08,3.24590000000000E+08,2.66930000000000E+08,2.29820000000000E+08,2.71650000000000E+08,2.37750000000000E+08,1.64460000000000E+08,2.18520000000000E+08,2.20920000000000E+08,2.78510000000000E+08,3.63460000000000E+08,2.54600000000000E+08,1.93660000000000E+08,1.87150000000000E+08,2.07510000000000E+08,3.46240000000000E+08,3.19680000000000E+08,2.86690000000000E+08,,
MRT,Mauritania,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.19436557748210E+01,2.03279314016163E+01,1.42337226197125E+01,2.73839510847430E+01,2.11219915729970E+01,1.68205194702362E+01,1.86157701454375E+01,1.68115199963073E+01,1.32468529354240E+01,1.79655569422202E+01,2.02378876993422E+01,2.55668503448051E+01,2.84854746593727E+01,1.89592646417949E+01,1.20029641284049E+01,9.73508093739243E+00,8.89226804570110E+00,1.22413421499549E+01,8.83313586160114E+00,9.31078258248841E+00,,
MRT,Mauritania,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.18308354396887E+02,1.05981303670988E+02,9.47148164491196E+01,1.49791319404065E+02,1.19782647424020E+02,1.00268187515734E+02,1.15219296273707E+02,9.80261188583699E+01,6.59074842625142E+01,8.51020410547637E+01,8.35949617499696E+01,1.02379568639084E+02,1.29791706914856E+02,8.83413376044369E+01,6.53257890131508E+01,6.14160510020678E+01,6.62979930408034E+01,1.07773218056496E+02,9.70122485246964E+01,8.48790424054737E+01,,
MRT,Mauritania,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.07010547781525E+01,2.00130788121259E+01,2.02755551146432E+01,3.01692340358905E+01,2.47255457415941E+01,2.31182541979768E+01,2.27087165628644E+01,2.46852173331997E+01,2.78385336422240E+01,,,,,,,,,,,,,
MRT,Mauritania,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.87759819462964E+01,1.79873556357880E+01,1.89885891612522E+01,2.92302603468977E+01,2.38350164514233E+01,2.20543069591151E+01,2.19231544236840E+01,2.29281377835689E+01,2.20000000000000E+01,2.24242424242424E+01,1.62109757962060E+01,2.49086764845823E-01,2.55995111860088E+00,5.76962422206821E+00,5.08610339010693E+00,4.33232832806509E+00,7.30814978547924E-01,8.32311233544576E-01,3.50000000000000E+00,2.50000000000000E+00,,
MRT,Mauritania,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,EN.ATM.CO2E.KT,CO2 emissions (kt),2.66372800000000E+03,2.74800000000000E+03,2.94219200000000E+03,2.96051200000000E+03,3.12172800000000E+03,2.98249600000000E+03,2.99715200000000E+03,2.99715200000000E+03,1.11019200000000E+03,1.19812800000000E+03,1.19446400000000E+03,1.28240000000000E+03,1.41064000000000E+03,1.45094400000000E+03,1.61216000000000E+03,1.65612800000000E+03,1.66345600000000E+03,1.94924800000000E+03,,,,
MRT,Mauritania,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.33483534347457E+00,1.34018969438993E+00,1.39599827290887E+00,1.36621275637440E+00,1.40084982721197E+00,1.30123343570153E+00,1.27123042247499E+00,1.23574838354827E+00,4.44910384095642E-01,4.66607808186262E-01,4.51978871952362E-01,4.71406982954873E-01,5.03740090910617E-01,5.03449857616387E-01,5.43817122872257E-01,5.43482990723764E-01,5.31462552704364E-01,6.06737320211961E-01,,,,
MRT,Mauritania,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.19395242397868E+00,1.17030428847710E+00,1.20459245003689E+00,1.12028721218113E+00,1.19427494263396E+00,1.01536192873688E+00,9.47457057235644E-01,9.68723399358754E-01,3.44292486400125E-01,3.43297120888327E-01,3.28913324985691E-01,3.35592847107941E-01,3.59309285573197E-01,3.42611270107215E-01,3.51959421564152E-01,3.31822887795424E-01,2.70345773956499E-01,3.26370800350780E-01,,,,
MRT,Mauritania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),9.43000000000000E+01,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,3.99750000000000E+02,,,,,,,,,,,
MRT,Mauritania,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.89790234343492E+02,,,,,1.64923018058246E+02,,,,,1.42840155081556E+02,,,,,1.24506952468226E+02,,,,
MRT,Mauritania,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),3.21293259243915E+01,3.21293755964476E+01,3.21294255370281E+01,3.21294754925266E+01,3.21295254480251E+01,3.21295753687149E+01,3.21296253043228E+01,3.21296752150672E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,3.21297251407297E+01,,
MRT,Mauritania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.78943923037541E-01,4.06059182455897E+00,8.82887856551346E+00,1.21774335418804E+01,1.76217041105391E+01,2.44684631941794E+01,3.38701561266458E+01,4.40121805151600E+01,6.34849999423413E+01,6.46088825596646E+01,,
