Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MUS,Mauritius,AG.LND.FRST.K2,Forest area (sq. km),3.90000000000000E+02,,,,,,,,,,3.90000000000000E+02,,,,,3.50000000000000E+02,,,,,3.50000000000000E+02,
MUS,Mauritius,AG.LND.FRST.ZS,Forest area (% of land area),1.92118226600985E+01,,,,,,,,,,1.92118226600985E+01,,,,,1.72413793103448E+01,,,,,1.72413793103448E+01,
MUS,Mauritius,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.82900000000000E+07,6.73200000000000E+07,4.50300000000000E+07,2.58400000000000E+07,1.41400000000000E+07,2.31200000000000E+07,1.93900000000000E+07,4.17000000000000E+07,4.00000000000000E+07,4.14500000000000E+07,2.02100000000000E+07,2.10300000000000E+07,2.36000000000000E+07,-1.41300000000000E+07,3.33900000000000E+07,3.38800000000000E+07,1.92200000000000E+07,6.88700000000000E+07,1.09670000000000E+08,1.55550000000000E+08,,
MUS,Mauritius,DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.82900000000000E+07,6.73200000000000E+07,4.50300000000000E+07,2.58400000000000E+07,1.41400000000000E+07,2.31200000000000E+07,1.93900000000000E+07,4.17000000000000E+07,4.00000000000000E+07,4.14500000000000E+07,2.02100000000000E+07,2.10300000000000E+07,2.36000000000000E+07,-1.41300000000000E+07,3.33900000000000E+07,3.38800000000000E+07,1.92200000000000E+07,6.88700000000000E+07,1.09670000000000E+08,1.55550000000000E+08,,
MUS,Mauritius,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.35616856857882E+00,2.35172859133565E+00,1.39185393414134E+00,7.90955777622040E-01,4.00172269755235E-01,5.74946090023762E-01,4.42897113553531E-01,1.00006960432720E+00,9.65455244610063E-01,9.71274939635512E-01,4.43909154324315E-01,4.62194115950958E-01,4.93670155590952E-01,-2.53222344050172E-01,5.24060913834642E-01,5.39856390202876E-01,2.93049743876811E-01,8.59129763423983E-01,1.11757055014475E+00,1.74953397975453E+00,,
MUS,Mauritius,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),8.35288552507096E+01,6.31131396980604E+01,4.16558741905643E+01,2.35551504102097E+01,1.27044025157233E+01,2.05976710020963E+01,1.70988257454171E+01,3.63150579473371E+01,3.44702482978160E+01,3.52685815223264E+01,1.70279381197483E+01,1.75267380681918E+01,1.95009733960449E+01,-1.15553425672487E+01,2.70718169332229E+01,2.72510904860073E+01,1.53393451009468E+01,5.46287277146202E+01,8.64323239710794E+01,1.21969101161039E+02,,
MUS,Mauritius,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",8.50803393755911E+00,8.99036835469502E+00,9.00335795403514E+00,6.34507849207831E+00,7.26595392264890E+00,8.73671260763183E+00,6.38407225484934E+00,7.84322949409046E+00,8.13936955861643E+00,6.10213264532172E+00,1.69493663001283E+01,5.79815191892469E+00,7.44593099919719E+00,5.84762876076443E+00,5.82778493981859E+00,5.80571617370737E+00,5.82773640300108E+00,2.88706092359368E+00,2.79553076998310E+00,2.71680859899143E+00,,
