Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MYT,Mayotte,AG.LND.FRST.K2,Forest area (sq. km),1.80000000000000E+02,,,,,,,,,,1.60000000000000E+02,,,,,1.50000000000000E+02,,,,,1.40000000000000E+02,
MYT,Mayotte,AG.LND.FRST.ZS,Forest area (% of land area),4.86486486486487E+01,,,,,,,,,,4.32432432432432E+01,,,,,4.05405405405405E+01,,,,,3.78378378378378E+01,
MYT,Mayotte,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.05100000000000E+07,7.21600000000000E+07,7.47300000000000E+07,8.33200000000000E+07,1.04670000000000E+08,1.07750000000000E+08,1.29690000000000E+08,1.04250000000000E+08,1.04370000000000E+08,1.11750000000000E+08,1.03190000000000E+08,1.20190000000000E+08,1.24880000000000E+08,1.66040000000000E+08,2.08450000000000E+08,2.01340000000000E+08,3.37640000000000E+08,4.07240000000000E+08,4.75530000000000E+08,5.44260000000000E+08,,
MYT,Mayotte,DT.ODA.ODAT.CD,Net official development assistance received (current US$),6.05100000000000E+07,7.21600000000000E+07,7.47300000000000E+07,8.33200000000000E+07,1.04670000000000E+08,1.07750000000000E+08,1.29690000000000E+08,1.04250000000000E+08,1.04370000000000E+08,1.11750000000000E+08,1.03190000000000E+08,1.20190000000000E+08,1.24880000000000E+08,1.66040000000000E+08,2.08450000000000E+08,2.01340000000000E+08,3.37640000000000E+08,4.07240000000000E+08,4.75530000000000E+08,5.44260000000000E+08,,
MYT,Mayotte,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),6.54778007423198E+02,7.37071122869021E+02,7.19976877498916E+02,7.58019614621809E+02,9.02109835556935E+02,8.83566080902672E+02,1.01618817777221E+03,7.83310416337939E+02,7.54205688518904E+02,7.78284639760421E+02,6.93700295120098E+02,7.81027637162333E+02,7.85492788537139E+02,1.01181589387024E+03,1.23113722942445E+03,1.15261533881762E+03,1.87351914636244E+03,2.19038091242564E+03,2.47923672479862E+03,2.75059382422803E+03,,
MYT,Mayotte,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
