Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MEX,Mexico,AG.LND.FRST.K2,Forest area (sq. km),7.02910000000000E+05,,,,,,,,,,6.67510000000000E+05,,,,,6.55780000000000E+05,,,,,6.48020000000000E+05,
MEX,Mexico,AG.LND.FRST.ZS,Forest area (% of land area),3.61588518223205E+01,,,,,,,,,,3.43378173306927E+01,,,,,3.37344067491448E+01,,,,,3.33352195272512E+01,
MEX,Mexico,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.56250000000000E+08,2.74180000000000E+08,3.13900000000000E+08,4.20580000000000E+08,4.24140000000000E+08,3.84140000000000E+08,2.84830000000000E+08,9.97000000000000E+07,1.91000000000000E+07,3.59500000000000E+07,-5.77800000000000E+07,1.18030000000000E+08,1.25030000000000E+08,1.22990000000000E+08,1.07830000000000E+08,1.80350000000000E+08,2.69680000000000E+08,1.13260000000000E+08,1.49010000000000E+08,1.85490000000000E+08,,
MEX,Mexico,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.56250000000000E+08,2.74180000000000E+08,3.13900000000000E+08,4.20580000000000E+08,4.24140000000000E+08,3.84140000000000E+08,2.84830000000000E+08,9.97000000000000E+07,1.91000000000000E+07,3.59500000000000E+07,-5.77800000000000E+07,1.18030000000000E+08,1.25030000000000E+08,1.22990000000000E+08,1.07830000000000E+08,1.80350000000000E+08,2.69680000000000E+08,1.13260000000000E+08,1.49010000000000E+08,1.85490000000000E+08,,
