Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FSM,"Micronesia, Fed. Sts.",AG.LND.FRST.K2,Forest area (sq. km),6.40000000000000E+02,,,,,,,,,,6.40000000000000E+02,,,,,6.40000000000000E+02,,,,,6.40000000000000E+02,
FSM,"Micronesia, Fed. Sts.",AG.LND.FRST.ZS,Forest area (% of land area),9.14285714285714E+01,,,,,,,,,,9.14285714285714E+01,,,,,9.14285714285714E+01,,,,,9.14285714285714E+01,
FSM,"Micronesia, Fed. Sts.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,4.60000000000000E+05,1.36000000000000E+07,6.38300000000000E+07,1.03940000000000E+08,7.71600000000000E+07,1.12800000000000E+08,9.57500000000000E+07,7.98900000000000E+07,1.07810000000000E+08,1.01540000000000E+08,1.37560000000000E+08,1.11850000000000E+08,1.14940000000000E+08,8.63100000000000E+07,1.06580000000000E+08,1.08500000000000E+08,1.14880000000000E+08,9.41400000000000E+07,1.20990000000000E+08,,
FSM,"Micronesia, Fed. Sts.",DT.ODA.ODAT.CD,Net official development assistance received (current US$),,4.60000000000000E+05,1.36000000000000E+07,6.38300000000000E+07,1.03940000000000E+08,7.71600000000000E+07,1.12800000000000E+08,9.57500000000000E+07,7.98900000000000E+07,1.07810000000000E+08,1.01540000000000E+08,1.37560000000000E+08,1.11850000000000E+08,1.14940000000000E+08,8.63100000000000E+07,1.06580000000000E+08,1.08500000000000E+08,1.14880000000000E+08,9.41400000000000E+07,1.20990000000000E+08,,
FSM,"Micronesia, Fed. Sts.",DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,2.92798165137615E+01,4.65472458575907E+01,3.18064457368906E+01,4.64560161140930E+01,4.18122270742358E+01,3.51938325991189E+01,4.59702929612664E+01,4.14935388576923E+01,5.75138452411449E+01,4.54914589193575E+01,4.59332080984247E+01,3.50000000000000E+01,4.09136276391555E+01,4.06976744186046E+01,4.20343944383461E+01,3.41830065359477E+01,4.09441624365482E+01,,
FSM,"Micronesia, Fed. Sts.",DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,4.65827502050654E+00,1.34236137157747E+02,6.15051069570245E+02,9.82187573824711E+02,7.19554614717484E+02,1.04537366548043E+03,8.87009365707245E+02,7.42437619069746E+02,1.00534330501599E+03,9.48059344742911E+02,1.28213253798117E+03,1.03826303282341E+03,1.06106623586430E+03,7.92372803554707E+02,9.74053866330345E+02,9.88259297379519E+02,1.04349089852124E+03,8.52972355867243E+02,1.09319093570422E+03,,
FSM,"Micronesia, Fed. Sts.",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,5.49600000000000E+01,6.22880000000000E+01,,,,
FSM,"Micronesia, Fed. Sts.",EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,5.12509674832381E-01,5.13150892131873E-01,5.12256501071861E-01,5.10173770978761E-01,5.07362104777291E-01,5.04562730661183E-01,5.02289364735558E-01,5.00596598930676E-01,5.65781346510192E-01,,,,
