Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MEA,Middle East & North Africa (all income levels),AG.LND.FRST.K2,Forest area (sq. km),2.20235000000000E+05,,,,,,,,,,2.22747600000000E+05,,,,,2.24377800000000E+05,,,,,2.25630000000000E+05,
MEA,Middle East & North Africa (all income levels),AG.LND.FRST.ZS,Forest area (% of land area),1.98608697534199E+00,,,,,,,,,,2.00874206752512E+00,,,,,2.02347608788382E+00,,,,,2.03481084005952E+00,
MEA,Middle East & North Africa (all income levels),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MEA,Middle East & North Africa (all income levels),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
