Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MIC,Middle income,AG.LND.FRST.K2,Forest area (sq. km),2.73869100000000E+07,,,,,,,,,,2.67171100000000E+07,,,,,2.65702900000000E+07,,,,,2.64200300000000E+07,
MIC,Middle income,AG.LND.FRST.ZS,Forest area (% of land area),3.39226948702467E+01,,,,,,,,,,3.31171006411988E+01,,,,,3.29372273132292E+01,,,,,3.27529505515308E+01,
MIC,Middle income,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.25054600000000E+10,3.66796200000000E+10,3.63576200000000E+10,3.45676200000000E+10,3.62055300000000E+10,3.55894400000000E+10,3.25646300000000E+10,2.74879000000000E+10,3.06047100000000E+10,3.39705100000000E+10,3.01560200000000E+10,3.17455800000000E+10,3.44743100000000E+10,3.57333300000000E+10,4.20392000000000E+10,6.59254800000000E+10,5.91335500000000E+10,5.05747100000000E+10,5.60423500000000E+10,5.47131800000000E+10,,
MIC,Middle income,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.17054200000000E+10,3.49167700000000E+10,3.30226900000000E+10,3.12267000000000E+10,3.34602000000000E+10,3.27175900000000E+10,3.01991200000000E+10,2.57511500000000E+10,2.81933400000000E+10,3.05421100000000E+10,2.70894000000000E+10,2.88315900000000E+10,3.17009600000000E+10,3.25845700000000E+10,3.83122300000000E+10,6.59254800000000E+10,5.91335500000000E+10,5.05747100000000E+10,5.60423500000000E+10,5.47131800000000E+10,,
MIC,Middle income,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),9.07995789548167E-01,9.89891256821146E-01,9.02513492211906E-01,8.06850157160346E-01,7.92190785189211E-01,6.84545633425171E-01,5.80651562319144E-01,4.68014005028699E-01,5.31326245786294E-01,5.95588678537556E-01,4.83611706596723E-01,5.08963569693020E-01,5.48739003153890E-01,4.91661464630408E-01,4.84383092462801E-01,6.99440210449518E-01,5.26440462613245E-01,3.62569195281628E-01,3.35607373624214E-01,3.36671700089547E-01,,
MIC,Middle income,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),8.36920462531019E+00,9.06199147924255E+00,8.43616749828328E+00,7.85608364820069E+00,8.29355031764581E+00,7.99212812430977E+00,7.27172457169732E+00,6.11321014141352E+00,6.60072786631735E+00,7.05516461474150E+00,6.17563465893492E+00,6.49066394137161E+00,7.05114972546177E+00,7.16312205431757E+00,8.32630603512101E+00,1.41670836034140E+01,1.25663836860971E+01,1.06301891215214E+01,1.16507082301342E+01,1.12501235801444E+01,,
MIC,Middle income,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.98145439859662E+01,1.89010520401893E+01,1.91583075669496E+01,1.88921202056551E+01,1.76483923509143E+01,1.80286638142724E+01,1.93016909302870E+01,2.00855898491133E+01,2.07023874264134E+01,2.37319974431615E+01,2.10731941135196E+01,2.02237897599022E+01,1.91247270463193E+01,1.79758102172359E+01,1.40212544293938E+01,1.33263304876888E+01,1.25577838449568E+01,1.02564504062153E+01,9.26839551264556E+00,1.14589219884589E+01,,
