Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MDA,Moldova,AG.LND.FRST.K2,Forest area (sq. km),3.19000000000000E+03,,,,,,,,,,3.24000000000000E+03,,,,,3.63000000000000E+03,,,,,3.86000000000000E+03,
MDA,Moldova,AG.LND.FRST.ZS,Forest area (% of land area),9.70489808335869E+00,,,,,,,,,,9.85401459854015E+00,,,,,1.10367892976589E+01,,,,,1.17360899969596E+01,
MDA,Moldova,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,9.70000000000000E+06,2.88800000000000E+07,5.40400000000000E+07,6.58200000000000E+07,3.63600000000000E+07,6.52900000000000E+07,3.96300000000000E+07,1.07110000000000E+08,1.22500000000000E+08,1.24760000000000E+08,1.42610000000000E+08,1.22300000000000E+08,1.18510000000000E+08,1.69110000000000E+08,2.29730000000000E+08,2.66990000000000E+08,2.97560000000000E+08,2.45070000000000E+08,,
MDA,Moldova,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,6.52900000000000E+07,3.96300000000000E+07,1.07110000000000E+08,1.22500000000000E+08,1.24760000000000E+08,1.42610000000000E+08,1.22300000000000E+08,1.18510000000000E+08,1.69110000000000E+08,2.29730000000000E+08,2.66990000000000E+08,2.97560000000000E+08,2.45070000000000E+08,,
MDA,Moldova,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,3.30164107632309E+00,2.36738746285194E+00,8.96036772706703E+00,9.35121483001138E+00,7.91384899047856E+00,8.05002102353111E+00,5.52144082274221E+00,4.03813384840861E+00,5.05258074400638E+00,6.03104514489550E+00,5.54046923431832E+00,4.47282013883395E+00,4.26764529993573E+00,,
MDA,Moldova,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,1.78404794987506E+01,1.08492976975562E+01,2.93693527198664E+01,3.36576557566406E+01,3.43553281600238E+01,3.93617658448289E+01,3.38512135369425E+01,3.28835100753787E+01,4.70379524597086E+01,6.40715990985966E+01,7.46427636861375E+01,8.33476419614314E+01,6.87317124200311E+01,,
MDA,Moldova,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,2.08177259545674E+00,7.87973978523370E+00,8.19415266106443E+00,1.11531157569239E+01,2.15463154620821E+01,2.86687200547570E+01,1.91834407472420E+01,1.91246453939700E+01,2.19855660966059E+01,1.13619658272737E+01,1.67438428798749E+01,1.22295977560102E+01,1.56736996618722E+01,1.25063506129080E+01,1.47813434311535E+01,1.49051585573154E+01,,
MDA,Moldova,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,2.05156476558724E+00,7.61484650002228E+00,7.73323218176159E+00,9.87345388545308E+00,1.95938481998263E+01,2.33637234770705E+01,1.30261252834830E+01,1.33113056099224E+01,1.18764074412379E+01,6.47240032954830E+00,7.42174552221959E+00,4.33652015136162E+00,4.53816861910166E+00,3.07301568550724E+00,2.50160849521583E+00,3.48290837499276E+00,,
MDA,Moldova,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.71690492661942E+00,1.73014914458448E+00,1.47942239545820E+00,1.71669361675060E+00,1.44630031267285E+00,1.54795079546451E+00,1.39707799749094E+00,1.44419058932155E+00,1.51638758551943E+00,1.83353849593366E+00,2.11862378489994E+00,2.04920171388484E+00,2.31349101098404E+00,2.22246992674772E+00,2.35232291850390E+00,2.40148265031381E+00,2.63564526769133E+00,2.74825356595901E+00,3.13746989497338E+00,,,
