Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MNE,Montenegro,AG.LND.FRST.K2,Forest area (sq. km),5.43000000000000E+03,,,,,,,,,,5.43000000000000E+03,,,,,5.43000000000000E+03,,,,,5.43000000000000E+03,
MNE,Montenegro,AG.LND.FRST.ZS,Forest area (% of land area),4.03717472118959E+01,,,,,,,,,,4.03717472118959E+01,,,,,4.03717472118959E+01,,,,,4.03717472118959E+01,
MNE,Montenegro,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,9.55100000000000E+07,1.05720000000000E+08,1.04860000000000E+08,7.54000000000000E+07,,
MNE,Montenegro,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,9.55100000000000E+07,1.05720000000000E+08,1.04860000000000E+08,7.54000000000000E+07,,
MNE,Montenegro,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,3.49272810396553E+00,2.86534204691377E+00,2.28611588189498E+00,1.81739209646119E+00,,
MNE,Montenegro,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,1.52310572595898E+02,1.68354136078298E+02,1.66660044343079E+02,1.19599958758635E+02,,
MNE,Montenegro,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,9.05673384717688E+00,3.38700674567914E+00,4.37461779599354E+00,,
MNE,Montenegro,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,5.98174647082302E+00,5.75661193903501E+00,7.14989088734058E+00,,,,
MNE,Montenegro,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,1.67175256403405E+02,1.73713290141915E+02,1.39862274230027E+02,,,,
MNE,Montenegro,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),8.45912544164273E-01,8.45911075834363E-01,8.45911089645814E-01,8.45911102594049E-01,8.45911115110677E-01,8.45911127627305E-01,8.45911139280717E-01,8.45911150934129E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911161724325E-01,8.45911163019149E-01,,
MNE,Montenegro,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),,,,,,,,,,,,,,,7.71664922668572E+01,8.66740381562341E+01,1.02648331775835E+02,1.11949449170491E+02,1.16817788090943E+02,1.19282717488718E+02,,
MNE,Montenegro,IT.MLT.MAIN.P2,Telephone lines (per 100 people),,,,,,,,,,,,,,,4.62600811597162E+01,5.56799560901747E+01,5.63402405457729E+01,5.70098190654849E+01,5.75347473318658E+01,5.81503247757501E+01,,
MNE,Montenegro,IT.NET.USER.P2,Internet users (per 100 people),,,,,,,,,,,,,,,2.55219233321423E+01,2.87200892237439E+01,3.18941624114538E+01,3.66264200700042E+01,4.05286203580823E+01,4.44137777883525E+01,,
MNE,Montenegro,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,2.23884042304628E+01,2.34358736777083E+01,1.87645761341078E+01,1.54142109794053E+01,1.66309737693137E+01,1.77264462809917E+01,2.54460886965424E+01,3.38057510127899E+01,4.05514481525761E+01,2.71213334464957E+01,2.39215383341954E+01,
MNE,Montenegro,NE.TRD.GNFS.ZS,Trade (% of GDP),,,,,,,,,,,8.79252021443203E+01,1.00410161377500E+02,9.52471141827807E+01,7.75998278259718E+01,1.00108635764762E+02,1.04624793388430E+02,1.29598955801108E+02,1.31050449654482E+02,1.33487203975472E+02,9.86430284605633E+01,9.48011592578441E+01,
MNE,Montenegro,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,,,,,,,,,,,1.19826968144202E+09,1.49136875912538E+09,1.89993883756370E+09,2.24629629597397E+09,2.64555561625436E+09,3.20057533579292E+09,4.01085166722671E+09,4.14652074552655E+09,4.18258730360822E+09,
MNE,Montenegro,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,1.91000000000000E+03,2.38000000000000E+03,3.03000000000000E+03,3.58000000000000E+03,4.22000000000000E+03,5.10000000000000E+03,6.37000000000000E+03,6.58000000000000E+03,6.62000000000000E+03,
MNE,Montenegro,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,2.67233823636675E-01,3.14103593682653E-01,3.18542621701349E-01,3.37767086245909E-01,3.47885593754740E-01,3.51184132375208E-01,3.32100666438546E-01,3.48391232725532E-01,3.55929439667951E-01,3.66579268568329E-01,3.77614944966795E-01,
MNE,Montenegro,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,4.81404245352579E-01,4.83854690495225E-01,4.78483393597925E-01,4.94685609486901E-01,4.86197126251211E-01,4.79615491507136E-01,
