Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MAR,Morocco,AG.LND.FRST.K2,Forest area (sq. km),5.04900000000000E+04,,,,,,,,,,5.01700000000000E+04,,,,,5.08100000000000E+04,,,,,5.13100000000000E+04,
MAR,Morocco,AG.LND.FRST.ZS,Forest area (% of land area),1.13130181492270E+01,,,,,,,,,,1.12413174994398E+01,,,,,1.13847187990141E+01,,,,,1.14967510643065E+01,
MAR,Morocco,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.04795000000000E+09,1.23171000000000E+09,9.45720000000000E+08,7.11630000000000E+08,6.29410000000000E+08,4.92610000000000E+08,6.47590000000000E+08,4.63280000000000E+08,5.28770000000000E+08,6.78050000000000E+08,4.18790000000000E+08,4.81660000000000E+08,3.52570000000000E+08,5.47540000000000E+08,7.05010000000000E+08,6.91200000000000E+08,1.04391000000000E+09,1.07269000000000E+09,1.06255000000000E+09,9.11590000000000E+08,,
MAR,Morocco,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.04795000000000E+09,1.23171000000000E+09,9.45720000000000E+08,7.11630000000000E+08,6.29410000000000E+08,4.92610000000000E+08,6.47590000000000E+08,4.63280000000000E+08,5.28770000000000E+08,6.78050000000000E+08,4.18790000000000E+08,4.81660000000000E+08,3.52570000000000E+08,5.47540000000000E+08,7.05010000000000E+08,6.91200000000000E+08,1.04391000000000E+09,1.07269000000000E+09,1.06255000000000E+09,9.11590000000000E+08,,
MAR,Morocco,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.21958194945037E+00,4.60949925402581E+00,3.45231054968500E+00,2.78051951484328E+00,2.15692956501405E+00,1.55552558882832E+00,1.83296913621341E+00,1.43699834280226E+00,1.35541241096786E+00,1.75025433021968E+00,1.16158990448994E+00,1.31091480816185E+00,8.93761766972203E-01,1.12240875967482E+00,1.25982672021376E+00,1.17630228580314E+00,1.61339749509773E+00,1.44477634555690E+00,1.21557792913279E+00,1.01866557051913E+00,,
MAR,Morocco,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.22882676135709E+01,4.88038826923786E+01,3.68273867532156E+01,2.72574005932027E+01,2.37301874556998E+01,1.82931901398513E+01,2.37007013407865E+01,1.67196904273240E+01,1.88290406999559E+01,2.38377208263106E+01,1.45447354371700E+01,1.65352956435061E+01,1.19702188478679E+01,1.83921460558229E+01,2.34361557643881E+01,2.27424731116813E+01,3.40012749623120E+01,3.45904071622642E+01,3.39240328346198E+01,2.88163020881869E+01,,
MAR,Morocco,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.83886439041758E+01,3.44388258101213E+01,5.24430741016087E+01,4.60726349914901E+01,4.67447172158791E+01,4.04367784409887E+01,3.44448206635028E+01,3.24275151872312E+01,2.84820875490334E+01,2.91884603506036E+01,2.52238632830980E+01,2.31831533941217E+01,2.95348990097600E+01,2.93783925676022E+01,1.74819352362739E+01,1.40083787089194E+01,1.51320326590137E+01,1.42133468110986E+01,1.20780156646147E+01,1.24778661997616E+01,,
MAR,Morocco,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.78665995779460E+01,3.39838192208742E+01,5.20391055660043E+01,4.53608620803973E+01,4.64989506976226E+01,3.98380819395947E+01,3.36228655186856E+01,3.04459563191033E+01,2.65411826793982E+01,2.73055830336418E+01,2.30148995597873E+01,2.16535817958233E+01,2.40087391815241E+01,2.57272445488613E+01,1.51763141593671E+01,1.22271451702074E+01,9.03776589863447E+00,8.54723682107319E+00,7.04018886450530E+00,6.40679415584353E+00,,
MAR,Morocco,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.67807519706198E+00,9.81806417293305E+00,8.85793485852018E+00,8.44271463907299E+00,8.65521822279972E+00,8.18550684987057E+00,8.69663880533529E+00,8.24047780467316E+00,8.69403994798333E+00,8.19220587799260E+00,8.28690383189848E+00,8.37142176990797E+00,8.51389237189128E+00,9.09854834880089E+00,8.64903256643476E+00,8.27439795252851E+00,8.75310730434607E+00,8.34047090693057E+00,8.44013445546176E+00,,,
MAR,Morocco,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.03326330870375E+02,1.01853072294725E+02,1.12893130957960E+02,1.18445315606427E+02,1.15537237104639E+02,1.22167144727979E+02,1.14986953279756E+02,1.21352186572592E+02,1.15021325641822E+02,1.22067244755943E+02,1.20672330738380E+02,1.19454021967286E+02,1.17455090611847E+02,1.09907642589138E+02,1.15619867576960E+02,1.20854714232643E+02,1.14245143493612E+02,1.19897306897749E+02,1.18481524823681E+02,,,
MAR,Morocco,EN.ATM.CO2E.KT,CO2 emissions (kt),2.35228800000000E+04,2.49555040000000E+04,2.60180640000000E+04,2.81944800000000E+04,2.96161120000000E+04,3.03489120000000E+04,3.11696480000000E+04,3.18364960000000E+04,3.20123680000000E+04,3.31262240000000E+04,3.38773440000000E+04,3.76842400000000E+04,3.82228479999999E+04,3.75303520000000E+04,4.05568160000000E+04,4.38251040000000E+04,4.49975840000000E+04,4.63679200000000E+04,,,,
MAR,Morocco,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),9.49226436835646E-01,9.88808639813906E-01,1.01317229782379E+00,1.07992669768987E+00,1.11659473073037E+00,1.12701410396382E+00,1.14075652518637E+00,1.14897331508103E+00,1.13993263606855E+00,1.16459505898065E+00,1.17657299790826E+00,1.29369274903633E+00,1.29771635575571E+00,1.26066354149549E+00,1.34820195044557E+00,1.44197229360046E+00,1.46561985824806E+00,1.49519920206890E+00,,,,
MAR,Morocco,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.85268685924976E-01,4.65768602320090E-01,4.95562617971964E-01,5.30869186069219E-01,4.95215194316417E-01,5.30858798622834E-01,4.77399842655917E-01,4.89293156721009E-01,4.50672934511024E-01,4.57197389131294E-01,4.50487888413720E-01,4.55595178404593E-01,4.40124919558452E-01,3.97897994291510E-01,3.98974201642282E-01,4.05145752324322E-01,3.73869332809829E-01,3.64388561216895E-01,,,,
MAR,Morocco,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),3.74000000000000E+01,,,,,3.52000000000000E+01,,,,,2.42000000000000E+01,,,,,1.31000000000000E+01,,1.31000000000000E+01,,,,
MAR,Morocco,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,3.80689655172000E+01,,,3.88275862068966E+01,,,,,4.34137931034483E+01,,,,,,,,,,,
MAR,Morocco,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.12929219625603E+03,,,,,1.04660469347349E+03,,,,,9.84588440843431E+02,,,,,9.35146041918598E+02,,,,
MAR,Morocco,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),6.95439843153607E-01,1.09809394085724E+00,1.09827218714374E+00,1.09845043580410E+00,1.09862868578328E+00,1.09880693787258E+00,1.09898519207198E+00,1.17716149833895E+00,1.17733975623105E+00,1.17733975623105E+00,1.17733975623105E+00,1.17733975623105E+00,1.17733975623105E+00,1.17733975623105E+00,1.18147014006883E+00,1.18147014006883E+00,1.18147014006883E+00,1.18147014006883E+00,1.18147014006883E+00,1.18147013927754E+00,,
MAR,Morocco,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),3.64794063864384E-03,5.94343019367935E-03,1.25273551563988E-02,2.57586131823122E-02,5.20065149527213E-02,1.09589804148749E-01,1.57160474524939E-01,2.68768085283991E-01,4.15362719603297E-01,1.29787873288583E+00,8.13385477061349E+00,1.63812886888361E+01,2.10453063124240E+01,2.47221762778736E+01,3.10379323926028E+01,4.07759019807306E+01,5.21291355987431E+01,6.45873124737937E+01,7.28436640535163E+01,8.00099283934223E+01,,
MAR,Morocco,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.62623902364322E+00,1.96925653750576E+00,2.54674860810843E+00,3.16763912294010E+00,3.79661886018489E+00,4.18885497203716E+00,4.42107617777762E+00,4.69358175446098E+00,4.96161620449100E+00,5.17148991011029E+00,4.94907901286260E+00,4.08983026106721E+00,3.82783201332277E+00,4.09539824837600E+00,4.34998466865003E+00,4.41278996941118E+00,4.12388618310080E+00,7.71904046663917E+00,9.54986986076285E+00,1.11153276717551E+01,,
MAR,Morocco,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,3.71352391138047E-03,5.68005813568781E-03,2.16538902097962E-02,1.42436527790577E-01,1.75781438141071E-01,6.94607580752646E-01,1.37319234675963E+00,2.37659278824276E+00,3.35905067316047E+00,1.16348059141514E+01,1.51353264342786E+01,1.98683581218786E+01,2.12826340574578E+01,3.28848090157248E+01,3.25593645727054E+01,,
MAR,Morocco,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.52924963067936E+01,2.26210222462085E+01,2.32071762761335E+01,2.24598361869345E+01,2.13451323505036E+01,2.07297072793235E+01,1.95833090645137E+01,2.07012702992973E+01,2.59984130494166E+01,2.48033082714487E+01,2.55324990276602E+01,2.61459843058897E+01,2.59279880384172E+01,2.73533031040562E+01,2.91296298129759E+01,2.87968632445104E+01,2.94282091785833E+01,3.24844950296469E+01,3.81160874103388E+01,3.59732194521642E+01,3.61046555662888E+01,
MAR,Morocco,NE.TRD.GNFS.ZS,Trade (% of GDP),5.83132754323777E+01,5.26582428482541E+01,5.65660975293471E+01,5.78811041191607E+01,5.56387611891193E+01,6.14435488565931E+01,5.64675621391383E+01,6.06908035784123E+01,5.25171377655215E+01,5.59623584012075E+01,6.13336688858892E+01,6.13536052832773E+01,6.24119382344093E+01,6.01579385393934E+01,6.36945437264240E+01,7.02290597124388E+01,7.38802169936814E+01,8.06127019053832E+01,8.83472721650652E+01,6.80812163986710E+01,6.90852817089127E+01,
MAR,Morocco,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",2.47762060336571E+10,2.69432231347211E+10,2.75216168115553E+10,2.69855311800995E+10,3.02228908820061E+10,2.95546424207496E+10,3.49043142623382E+10,3.41977979673640E+10,3.63966183879863E+10,3.69783689778217E+10,3.81940891191658E+10,3.89668316855127E+10,3.87429850361239E+10,4.43625054041830E+10,5.31963716868642E+10,6.03482070178697E+10,6.63126619795391E+10,7.06743708472248E+10,8.08891458382221E+10,8.98732291737349E+10,9.40525380393059E+10,
MAR,Morocco,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",9.90000000000000E+02,1.06000000000000E+03,1.06000000000000E+03,1.02000000000000E+03,1.13000000000000E+03,1.09000000000000E+03,1.27000000000000E+03,1.22000000000000E+03,1.28000000000000E+03,1.29000000000000E+03,1.31000000000000E+03,1.32000000000000E+03,1.30000000000000E+03,1.47000000000000E+03,1.74000000000000E+03,1.96000000000000E+03,2.13000000000000E+03,2.24000000000000E+03,2.54000000000000E+03,2.80000000000000E+03,2.90000000000000E+03,
MAR,Morocco,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",4.39046726414233E+00,4.52340552872577E+00,4.62670315806344E+00,4.69258040037084E+00,4.67059434261614E+00,4.92749082041721E+00,4.89106486777688E+00,4.89258330705824E+00,5.41140586450900E+00,5.37670486338827E+00,5.23102921032055E+00,5.15511776971156E+00,5.12895016141244E+00,5.05739192467287E+00,4.96804178223401E+00,4.87818364197712E+00,4.79695123368753E+00,4.84291528289724E+00,5.01763015665345E+00,5.06300177545541E+00,5.06204247110303E+00,
MAR,Morocco,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",5.22472813653464E+00,5.41275535999382E+00,5.55520376235283E+00,5.67561171550185E+00,5.81578970745304E+00,6.00350094124834E+00,6.00674412527312E+00,5.93047007749965E+00,6.00059663110435E+00,5.91232440724716E+00,5.82755319539503E+00,5.70250979452041E+00,5.77040975626813E+00,5.70821096400272E+00,5.64239951002330E+00,5.51087407200000E+00,5.51401413739443E+00,5.47055790018214E+00,5.46361516134137E+00,5.53770054279991E+00,5.50209713217366E+00,
MAR,Morocco,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,4.59963586370899E+01,,,,,,,,,,6.04928916363000E+01,,,,6.98981528360000E+01,7.21452379556000E+01,,
MAR,Morocco,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,7.13849129593810E+01,,,,,,,,,,8.08026685630000E+01,,,,8.58052512789000E+01,8.67286229604000E+01,,
MAR,Morocco,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,5.84348880844531E+01,,,,,,,,,,7.04575928484000E+01,,,,7.78629626360000E+01,7.94736916803000E+01,,
MAR,Morocco,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,4.15941054100178E+01,,,,,,,,,,5.23062590298926E+01,,,,5.51479200284787E+01,5.60836721349639E+01,,
MAR,Morocco,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),6.74670000000000E+01,6.86720000000000E+01,6.96770000000000E+01,7.06670000000000E+01,7.22200000000000E+01,7.35680000000000E+01,7.48820000000000E+01,7.61070000000000E+01,7.78740000000000E+01,8.11130000000000E+01,8.39240000000000E+01,8.67620000000000E+01,8.86050000000000E+01,8.96390000000000E+01,8.97620000000000E+01,8.93250000000000E+01,8.90910000000000E+01,8.97090000000000E+01,9.05180000000000E+01,9.17470000000000E+01,,
MAR,Morocco,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),6.88380000000000E+01,6.96340000000000E+01,7.00660000000000E+01,7.10930000000000E+01,7.23280000000000E+01,7.36670000000000E+01,7.46570000000000E+01,7.58260000000000E+01,7.75860000000000E+01,8.02470000000000E+01,8.24440000000000E+01,8.45080000000000E+01,8.59540000000000E+01,8.70930000000000E+01,8.74010000000000E+01,8.73510000000000E+01,,8.80710000000000E+01,,,,
MAR,Morocco,SE.ENR.SECO.FM.ZS,Ratio of female to male secondary enrollment (%),7.10740000000000E+01,7.20090000000000E+01,7.12470000000000E+01,7.23550000000000E+01,7.28320000000000E+01,7.41040000000000E+01,7.43700000000000E+01,7.54630000000000E+01,7.71790000000000E+01,7.86000000000000E+01,7.94810000000000E+01,7.98920000000000E+01,8.05210000000000E+01,8.20460000000000E+01,8.30610000000000E+01,8.39390000000000E+01,,8.55380000000000E+01,,,,
MAR,Morocco,SE.ENR.TERT.FM.ZS,Ratio of female to male tertiary enrollment (%),6.01440000000000E+01,5.81730000000000E+01,6.22580000000000E+01,6.51020000000000E+01,6.74070000000000E+01,6.97380000000000E+01,,6.89590000000000E+01,7.16480000000000E+01,7.11310000000000E+01,7.24570000000000E+01,7.66030000000000E+01,7.64800000000000E+01,7.99210000000000E+01,8.25030000000000E+01,8.05670000000000E+01,8.07670000000000E+01,8.92750000000000E+01,8.86590000000000E+01,8.77010000000000E+01,,
MAR,Morocco,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",5.14097000000000E+01,4.80925800000000E+01,4.64820000000000E+01,4.65473200000000E+01,4.62561400000000E+01,4.78047300000000E+01,4.85909100000000E+01,4.97395200000000E+01,5.19574800000000E+01,5.37791700000000E+01,5.67418400000000E+01,5.87788300000000E+01,6.17213200000000E+01,6.66342900000000E+01,7.49430800000000E+01,8.02998100000000E+01,8.40223300000000E+01,8.33773100000000E+01,8.13220700000000E+01,8.03939400000000E+01,,
MAR,Morocco,SE.PRM.NENR,"School enrollment, primary (% net)",5.62265000000000E+01,5.61279600000000E+01,5.67715600000000E+01,5.88615900000000E+01,6.11818500000000E+01,6.34857400000000E+01,6.50804900000000E+01,6.59632900000000E+01,6.52216600000000E+01,7.03357300000000E+01,7.57702900000000E+01,8.05216200000000E+01,8.53013500000000E+01,8.69551300000000E+01,8.68064800000000E+01,8.74535800000000E+01,8.81090000000000E+01,8.88458800000000E+01,8.94694900000000E+01,8.97108500000000E+01,,
MAR,Morocco,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,7.55568500000000E+01,7.45843500000000E+01,7.76742900000000E+01,7.49806900000000E+01,6.76847800000000E+01,6.99473800000000E+01,7.15608800000000E+01,7.63375400000000E+01,7.56839600000000E+01,7.83426000000000E+01,,,
MAR,Morocco,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,,7.47505500000000E+01,7.24826800000000E+01,7.80407500000000E+01,7.61747500000000E+01,7.10211300000000E+01,7.51293800000000E+01,7.56909900000000E+01,7.86989500000000E+01,7.66885200000000E+01,7.78170000000000E+01,,,
MAR,Morocco,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,,7.50897100000000E+01,7.34165000000000E+01,7.78518800000000E+01,7.55917600000000E+01,6.94094400000000E+01,7.26169700000000E+01,7.37061800000000E+01,7.75759600000000E+01,7.62110200000000E+01,7.80733400000000E+01,,,
MAR,Morocco,SE.PRM.TENR,"Total enrollment, primary (% net)",5.69674600000000E+01,5.66756500000000E+01,5.77717500000000E+01,6.00035300000000E+01,6.11818500000000E+01,6.49024600000000E+01,6.65399200000000E+01,6.59632900000000E+01,6.52216600000000E+01,7.06388300000000E+01,7.58840200000000E+01,8.06452500000000E+01,8.54450000000000E+01,8.71105500000000E+01,8.69756500000000E+01,8.76930400000000E+01,8.84596000000000E+01,8.92515200000000E+01,8.99206900000000E+01,9.00573100000000E+01,,
MAR,Morocco,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),0.00000000000000E+00,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.08000000000000E+01,1.10000000000000E+01,1.10000000000000E+01,1.08000000000000E+01,1.08000000000000E+01,1.05000000000000E+01,1.05000000000000E+01,1.05000000000000E+01,1.05000000000000E+01,1.05000000000000E+01
MAR,Morocco,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
