Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MOZ,Mozambique,AG.LND.FRST.K2,Forest area (sq. km),4.33780000000000E+05,,,,,,,,,,4.11880000000000E+05,,,,,4.00790000000000E+05,,,,,3.90220000000000E+05,
MOZ,Mozambique,AG.LND.FRST.ZS,Forest area (% of land area),5.51616266944734E+01,,,,,,,,,,5.23767135481574E+01,,,,,5.09664538772604E+01,,,,,4.96223199979654E+01,
MOZ,Mozambique,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.14742015599901E+09
MOZ,Mozambique,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.32165929288983E+09
MOZ,Mozambique,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
MOZ,Mozambique,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,4.46907944888883E+09
MOZ,Mozambique,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),9.97310000000000E+08,1.06510000000000E+09,1.45968000000000E+09,1.17553000000000E+09,1.19894000000000E+09,1.06239000000000E+09,8.85730000000000E+08,9.47110000000000E+08,1.03980000000000E+09,8.18520000000000E+08,9.06170000000000E+08,9.60670000000000E+08,2.21927000000000E+09,1.04787000000000E+09,1.24270000000000E+09,1.29696000000000E+09,1.60567000000000E+09,1.77806000000000E+09,1.99607000000000E+09,2.01327000000000E+09,,
MOZ,Mozambique,DT.ODA.ODAT.CD,Net official development assistance received (current US$),9.97310000000000E+08,1.06510000000000E+09,1.45968000000000E+09,1.17553000000000E+09,1.19894000000000E+09,1.06239000000000E+09,8.85730000000000E+08,9.47110000000000E+08,1.03980000000000E+09,8.18520000000000E+08,9.06170000000000E+08,9.60670000000000E+08,2.21927000000000E+09,1.04787000000000E+09,1.24270000000000E+09,1.29696000000000E+09,1.60567000000000E+09,1.77806000000000E+09,1.99607000000000E+09,2.01327000000000E+09,,
MOZ,Mozambique,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.29814587983185E+01,4.18930549725375E+01,8.12903380097831E+01,6.32279106944949E+01,6.08975291112339E+01,5.13577743684654E+01,2.94185125341209E+01,2.65095407015284E+01,2.58060193610408E+01,1.93046161812397E+01,2.25557110567687E+01,2.54776574312422E+01,5.50922313254755E+01,2.34499070982086E+01,2.30194130250928E+01,2.08558985651415E+01,2.48090489196958E+01,2.38825259926229E+01,2.15484252522622E+01,2.07648723661891E+01,,
MOZ,Mozambique,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),7.36181003192128E+01,7.68059124471729E+01,1.01946010267934E+02,7.91358092010618E+01,7.78058508644831E+01,6.66767000647443E+01,5.39655013896697E+01,5.61670250086213E+01,6.01196113143975E+01,4.61502237935155E+01,4.97877658915151E+01,5.13961963700965E+01,1.15586852743546E+02,5.31347052273035E+01,6.13791555952951E+01,6.24438704010440E+01,7.54156037738472E+01,8.15200322988158E+01,8.93780028567718E+01,8.80749207508577E+01,,
MOZ,Mozambique,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.61914609739827E+01,2.25275267050123E+01,2.28541033434650E+01,3.29241119483315E+01,3.11805766312595E+01,3.45095663265306E+01,2.60370164723302E+01,1.91666957889219E+01,1.81479812857390E+01,1.69905778894472E+01,1.24753479901132E+01,8.55319122028159E+00,6.37066193251838E+00,5.95186727617801E+00,3.79531063515987E+00,3.59577977875638E+00,1.28951151162699E+00,9.17548755122868E-01,1.10450200552515E+00,1.64794885941453E+00,,
MOZ,Mozambique,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.72981987991995E+01,1.95743631881676E+01,2.05866261398176E+01,3.12448869752422E+01,3.01360647445625E+01,3.32134353741497E+01,2.48358319452156E+01,1.77765158133846E+01,4.09864169853620E+01,9.41654935085250E+00,2.45157785622905E+00,2.60000000000000E+00,5.30000000000000E+00,5.31159949037741E+00,3.30000000000000E+00,3.07673088922198E+00,8.09263935944023E-01,1.15702410897086E+00,1.50000000000000E+00,1.40000000000000E+00,,
MOZ,Mozambique,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.14917755322540E-01,9.64308092837007E-01,9.03433553859995E-01,9.62913005688693E-01,1.01719489375292E+00,1.02255687538945E+00,1.07798386643446E+00,1.15410219146497E+00,1.26605526908917E+00,1.34221629510802E+00,1.28422139277683E+00,1.36581631376044E+00,1.46718790494220E+00,1.47492401753566E+00,1.53192513825972E+00,1.63812102201151E+00,1.72882852024097E+00,1.76238378875545E+00,1.85972788370003E+00,,,
MOZ,Mozambique,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.09299441855019E+03,1.03701297067619E+03,1.10688826613470E+03,1.03851541529941E+03,9.83095772640501E+02,9.77940713194209E+02,9.27657668298507E+02,8.66474396630894E+02,7.89854933204791E+02,7.45036402586307E+02,7.78681935704040E+02,7.32162875728687E+02,6.81575956720685E+02,6.78001027924698E+02,6.52773412371840E+02,6.10455507598616E+02,5.78426366925401E+02,5.67413299180523E+02,5.37713075533633E+02,,,
MOZ,Mozambique,EN.ATM.CO2E.KT,CO2 emissions (kt),1.00027200000000E+03,1.02592000000000E+03,1.00027200000000E+03,1.07721600000000E+03,1.06988800000000E+03,1.11019200000000E+03,1.04057600000000E+03,1.12484800000000E+03,1.13217600000000E+03,1.18713600000000E+03,1.34835200000000E+03,1.57918400000000E+03,1.58651200000000E+03,1.91627200000000E+03,1.93092800000000E+03,1.85398400000000E+03,2.03718400000000E+03,2.59777600000000E+03,,,,
MOZ,Mozambique,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.38367452873225E-02,7.39805855767568E-02,6.98603389665730E-02,7.25173835158022E-02,6.94309524827766E-02,6.96768032438922E-02,6.33999137141758E-02,6.67075268415470E-02,6.54606472970661E-02,6.69337243724512E-02,7.40826044951347E-02,8.44869215948395E-02,8.26307429559582E-02,9.71690647268606E-02,9.53719563493296E-02,8.92625344047690E-02,9.56830864115423E-02,1.19102158208997E-01,,,,
MOZ,Mozambique,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),2.55841188662826E-01,2.41920259466452E-01,2.43435103860377E-01,2.36102559251957E-01,2.15254262944035E-01,2.12544652159799E-01,1.82261237488315E-01,1.75343654807690E-01,1.57100917529341E-01,1.50158338492730E-01,1.65136753357321E-01,1.69009520156189E-01,1.53541756452412E-01,1.71228476709529E-01,1.55521248884719E-01,1.33322504865086E-01,1.30546981594662E-01,1.50738440544880E-01,,,,
MOZ,Mozambique,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),7.56000000000000E+01,,,,,7.69000000000000E+01,,,,,7.82000000000000E+01,,,,,7.95000000000000E+01,,8.00000000000000E+01,,,,
MOZ,Mozambique,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",6.03190428713858E-01,,,,,,,,,,7.41974077766700E-01,,,,,,,,,,,
MOZ,Mozambique,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,7.00508661478805E+03,,,,,5.94815027648817E+03,,,,,5.22395261963516E+03,,,,,4.59852830589025E+03,,,,
MOZ,Mozambique,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.79161458867564E+00,1.79167379388174E+00,1.79173311642788E+00,1.79179251481575E+00,1.79185201480293E+00,1.79191167219748E+00,1.79197149415429E+00,1.79203144060602E+00,1.79209150582877E+00,1.79209150582877E+00,1.79222437482370E+00,1.79222437482370E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,3.25435918113135E+00,,
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.48258979972287E-02,3.88828992199772E-02,6.90291245056944E-02,2.80566810339144E-01,8.16693783327050E-01,1.32686834040442E+00,2.20960803780375E+00,3.49693748784654E+00,7.24093432199585E+00,1.09873762338105E+01,1.41201089745759E+01,1.97242901727944E+01,2.61204936941258E+01,,
MOZ,Mozambique,IT.MLT.MAIN.P2,Telephone lines (per 100 people),3.50178887311181E-01,3.81282115738599E-01,3.91984532657008E-01,3.73372809347145E-01,3.73084421755812E-01,3.75430258301842E-01,3.72725271528913E-01,3.89067145602476E-01,4.35685053951251E-01,4.40189643748148E-01,4.70939069448925E-01,4.78764073070586E-01,4.36140147971713E-01,3.93367296774724E-01,3.44142113563835E-01,3.35748465829078E-01,,3.57612370747198E-01,3.50711282457719E-01,3.60682521030262E-01,,
MOZ,Mozambique,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,3.04638554580232E-03,1.18607183977830E-02,2.02364531256387E-02,5.63825243042509E-02,1.09886149158580E-01,1.60501097265751E-01,2.60416381836249E-01,4.20870960507142E-01,6.81606459495511E-01,8.57004759698513E-01,8.45429551482714E-01,9.16954796787687E-01,1.56719458735767E+00,2.67951586026218E+00,,
MOZ,Mozambique,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.20678083653436E+01,1.61793955144528E+01,1.97698465313715E+01,2.04332140958971E+01,2.23436473992250E+01,2.69753977891877E+01,2.02233370619933E+01,2.05860000216228E+01,1.83364297158226E+01,1.99908646217935E+01,3.09505761193405E+01,1.99717684789254E+01,2.99582953093869E+01,2.22763768763491E+01,1.86499452710267E+01,1.86943848922248E+01,1.76532879843983E+01,1.61355046551960E+01,1.56569704812543E+01,2.04779461193064E+01,2.37008973228500E+01,
