Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MMR,Myanmar,AG.LND.FRST.K2,Forest area (sq. km),3.92180000000000E+05,,,,,,,,,,3.48680000000000E+05,,,,,3.33210000000000E+05,,,,,3.17730000000000E+05,
MMR,Myanmar,AG.LND.FRST.ZS,Forest area (% of land area),6.00085687180586E+01,,,,,,,,,,5.33525109404168E+01,,,,,5.09994490020815E+01,,,,,4.86182519280206E+01,
MMR,Myanmar,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,5.00000000000000E+00,,,,,
MMR,Myanmar,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.60770000000000E+08,1.77010000000000E+08,1.13980000000000E+08,1.00150000000000E+08,1.67070000000000E+08,1.50160000000000E+08,3.89200000000000E+07,4.93800000000000E+07,7.21400000000000E+07,8.10500000000000E+07,1.05640000000000E+08,1.25650000000000E+08,1.19030000000000E+08,1.25020000000000E+08,1.23450000000000E+08,1.44830000000000E+08,1.45710000000000E+08,1.97730000000000E+08,5.33500000000000E+08,3.56980000000000E+08,,
MMR,Myanmar,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.60770000000000E+08,1.77010000000000E+08,1.13980000000000E+08,1.00150000000000E+08,1.67070000000000E+08,1.50160000000000E+08,3.89200000000000E+07,4.93800000000000E+07,7.21400000000000E+07,8.10500000000000E+07,1.05640000000000E+08,1.25650000000000E+08,1.19030000000000E+08,1.25020000000000E+08,1.23450000000000E+08,1.44830000000000E+08,1.45710000000000E+08,1.97730000000000E+08,5.33500000000000E+08,3.56980000000000E+08,,
MMR,Myanmar,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.09414167721631E+00,4.44125127318086E+00,2.81953622463357E+00,2.44351950447035E+00,4.02068132390758E+00,3.56393541349661E+00,9.10708857446242E-01,1.13904277640777E+00,1.64131636029292E+00,1.82148392306151E+00,2.34976642467602E+00,2.77226786934038E+00,2.60977521861115E+00,2.72709375938993E+00,2.67960354804255E+00,3.12664867949556E+00,3.12646992471539E+00,4.21456930119913E+00,1.12909300181385E+01,7.49936335871313E+00,,
