Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NAM,Namibia,AG.LND.FRST.K2,Forest area (sq. km),8.76200000000000E+04,,,,,,,,,,8.03200000000000E+04,,,,,7.66100000000000E+04,,,,,7.29000000000000E+04,
NAM,Namibia,AG.LND.FRST.ZS,Forest area (% of land area),1.06426654034423E+01,,,,,,,,,,9.75597905962662E+00,,,,,9.30534805475592E+00,,,,,8.85471704988522E+00,
NAM,Namibia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.19620000000000E+08,1.80450000000000E+08,1.42340000000000E+08,1.52550000000000E+08,1.37100000000000E+08,1.90370000000000E+08,1.85920000000000E+08,1.65160000000000E+08,1.80830000000000E+08,1.78550000000000E+08,1.52330000000000E+08,1.12130000000000E+08,1.42420000000000E+08,1.46170000000000E+08,1.73110000000000E+08,1.25130000000000E+08,1.51730000000000E+08,2.17420000000000E+08,2.10160000000000E+08,3.26210000000000E+08,,
NAM,Namibia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.19620000000000E+08,1.80450000000000E+08,1.42340000000000E+08,1.52550000000000E+08,1.37100000000000E+08,1.90370000000000E+08,1.85920000000000E+08,1.65160000000000E+08,1.80830000000000E+08,1.78550000000000E+08,1.52330000000000E+08,1.12130000000000E+08,1.42420000000000E+08,1.46170000000000E+08,1.73110000000000E+08,1.25130000000000E+08,1.51730000000000E+08,2.17420000000000E+08,2.10160000000000E+08,3.26210000000000E+08,,
NAM,Namibia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.00961652290945E+00,6.96991595677717E+00,4.98655782778528E+00,5.25560402846600E+00,4.15051927530054E+00,5.20141748738230E+00,5.21725061079564E+00,4.46181042340388E+00,5.18694337010325E+00,5.30062178054233E+00,3.86463242551636E+00,3.16241497133497E+00,,2.83083615124500E+00,2.58789129143721E+00,1.75025663191237E+00,1.91369133893474E+00,2.51953745253711E+00,2.40186183590937E+00,3.57940583726110E+00,,
NAM,Namibia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),8.45472600948524E+01,1.23157164102400E+02,9.41075976315087E+01,9.79105358925070E+01,8.54810099353749E+01,1.15281296779851E+02,1.09302017960287E+02,9.42762941584773E+01,1.00317378600328E+02,9.64596004179286E+01,8.03496499439035E+01,5.79064541966816E+01,7.21695665569411E+01,7.27814286610547E+01,8.47191777771579E+01,6.01600710785975E+01,7.16162580658560E+01,1.00704775950169E+02,9.55089523736811E+01,1.45494492163074E+02,,
NAM,Namibia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,9.35893175379349E+00,9.29090592155295E+00,8.32391973950150E+00,8.18850599066156E+00,7.87819499554245E+00,7.54092502806254E+00,7.68641223488845E+00,7.64943399144652E+00,8.24843691712502E+00,8.35188530229404E+00,7.50089489135039E+00,7.72538031348959E+00,7.55483500862743E+00,7.82804025948082E+00,7.67872503733901E+00,7.88625533952457E+00,7.92720428826652E+00,7.27231857646810E+00,,,
NAM,Namibia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,1.06849801484519E+02,1.07632130649414E+02,1.20135709052366E+02,1.22122399512247E+02,1.26932628675199E+02,1.32609725766883E+02,1.30099709648804E+02,1.30728626604032E+02,1.21235090969035E+02,1.19733445061240E+02,1.33317426051809E+02,1.29443465489183E+02,1.32365564417757E+02,1.27745893844742E+02,1.30229952907200E+02,1.26802894015892E+02,1.26147878070981E+02,1.37507727347894E+02,,,
NAM,Namibia,EN.ATM.CO2E.KT,CO2 emissions (kt),7.32800000000000E+00,1.46560000000000E+01,1.46560000000000E+01,1.83200000000000E+01,2.93120000000000E+01,1.74040000000000E+03,1.90528000000000E+03,1.90161600000000E+03,1.99321600000000E+03,1.76971200000000E+03,1.76238400000000E+03,2.08481600000000E+03,2.21305600000000E+03,2.35961600000000E+03,2.49518400000000E+03,2.65640000000000E+03,2.85059200000000E+03,3.03379200000000E+03,,,,
NAM,Namibia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),5.17942084914795E-03,1.00027231758646E-02,9.68976360044535E-03,1.17582498692280E-02,1.82758523940606E-02,1.05392429960420E+00,1.12011052484604E+00,1.08547656449786E+00,1.10575791685136E+00,9.56066717305031E-01,9.29606364253505E-01,1.07664587721849E+00,1.12143864826736E+00,1.17490746098025E+00,1.22113070812039E+00,1.27714547121543E+00,1.34547375148266E+00,1.40519429509436E+00,,,,
NAM,Namibia,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.80025183092641E-03,3.21903920880900E-03,2.94117167449568E-03,3.67133284797333E-03,5.36444550535637E-03,2.98974538101364E-01,3.11642407260093E-01,2.92812159232848E-01,2.93013562770626E-01,2.48035060948310E-01,2.33626996222530E-01,2.67090132068305E-01,2.66241691182236E-01,2.66582811257659E-01,2.44165101358025E-01,2.45349536810417E-01,2.38147590401120E-01,2.33654283500003E-01,,,,
NAM,Namibia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),3.44000000000000E+01,,,,,3.41000000000000E+01,,,,,3.39000000000000E+01,,,,,3.39000000000000E+01,,3.36000000000000E+01,,,,
NAM,Namibia,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,4.03733766233766E+00,,,,4.42694805194805E+00,,,,,4.86525974025974E+00,,,,,,,,,,,
NAM,Namibia,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,4.07266264865880E+03,,,,,3.51623862930625E+03,,,,,3.12150351067797E+03,,,,,2.85319390972791E+03,,,,
NAM,Namibia,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),5.03726146295084E-01,5.03798756846184E-01,5.03871459876825E-01,5.03944259290363E-01,5.04017158089381E-01,5.04090152070263E-01,5.04163245136367E-01,5.04236435786401E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722519073E-01,5.04309722218815E-01,,
NAM,Namibia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.11947543588526E-01,3.90599509105072E-01,7.13522449128703E-01,1.08178337814875E+00,1.62071577291395E+00,4.32526179701968E+00,5.50506378076006E+00,7.60106374353403E+00,1.11370971677135E+01,1.40013477939784E+01,2.15801718405866E+01,2.87374100430793E+01,3.70669722424993E+01,4.78090111805826E+01,5.42800027474512E+01,,
NAM,Namibia,IT.MLT.MAIN.P2,Telephone lines (per 100 people),3.74603309231498E+00,3.88608798383293E+00,4.03127487563834E+00,4.28412347446014E+00,4.35098964064931E+00,4.75362006404449E+00,5.02940960331575E+00,5.70269974062032E+00,5.87363993478233E+00,5.84500338729597E+00,5.81146394815172E+00,6.06269678924643E+00,6.15245301529131E+00,6.34254524378816E+00,6.26107562181312E+00,6.68270550604317E+00,6.42686650433082E+00,6.39749993515468E+00,6.36241593657944E+00,6.33787049335482E+00,,
NAM,Namibia,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,6.05564410252932E-03,8.81847175884419E-03,5.70817959302963E-02,2.77380353371475E-01,3.24143154582790E-01,1.58241285256818E+00,2.32390122077113E+00,2.53368791451134E+00,3.23650055618017E+00,3.67046290409961E+00,3.87331240014789E+00,4.25270207060807E+00,4.67812637796297E+00,5.15810149144119E+00,5.68668886631063E+00,,
NAM,Namibia,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),3.36622266074659E+01,1.87445510026155E+01,2.18583961448165E+01,1.64588260589121E+01,2.17112669957565E+01,2.16984101999056E+01,2.31163813203651E+01,2.01778998268760E+01,2.57544307839693E+01,2.32885321988010E+01,1.70986175115207E+01,2.23186507286720E+01,1.85210273779283E+01,1.93705768818357E+01,1.90679256777338E+01,1.96894557896788E+01,2.22625305397201E+01,2.37238446545642E+01,2.81324324324324E+01,2.72670025188917E+01,2.34672948069002E+01,
NAM,Namibia,NE.TRD.GNFS.ZS,Trade (% of GDP),1.19322479855287E+02,1.20967741935484E+02,1.19127641171383E+02,1.08589550634272E+02,9.98094743223348E+01,1.05155044860696E+02,1.09179934714543E+02,1.05062384335264E+02,1.03981052743627E+02,1.03079675111197E+02,8.54230414746544E+01,8.88455870312756E+01,9.40784645780412E+01,9.58556723139610E+01,8.18880479861290E+01,8.07609849059055E+01,8.14114903383431E+01,1.02778627921586E+02,1.13455405405405E+02,1.06997635326171E+02,7.67471610593820E+01,
