Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NPL,Nepal,AG.LND.FRST.K2,Forest area (sq. km),4.81700000000000E+04,,,,,,,,,,3.90000000000000E+04,,,,,3.63600000000000E+04,,,,,3.63600000000000E+04,
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),3.36853146853147E+01,,,,,,,,,,2.72061388210673E+01,,,,,2.53644925008720E+01,,,,,2.53644925008720E+01,
NPL,Nepal,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,5.00000000000000E+00,,
NPL,Nepal,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.22840000000000E+08,4.48760000000000E+08,4.30110000000000E+08,3.60840000000000E+08,4.45820000000000E+08,4.28590000000000E+08,3.88420000000000E+08,4.01880000000000E+08,4.00760000000000E+08,3.48390000000000E+08,3.86030000000000E+08,3.89640000000000E+08,3.42520000000000E+08,4.66580000000000E+08,4.25090000000000E+08,4.24130000000000E+08,5.26550000000000E+08,6.05320000000000E+08,6.96560000000000E+08,8.55540000000000E+08,,
NPL,Nepal,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.22840000000000E+08,4.48760000000000E+08,4.30110000000000E+08,3.60840000000000E+08,4.45820000000000E+08,4.28590000000000E+08,3.88420000000000E+08,4.01880000000000E+08,4.00760000000000E+08,3.48390000000000E+08,3.86030000000000E+08,3.89640000000000E+08,3.42520000000000E+08,4.66580000000000E+08,4.25090000000000E+08,4.24130000000000E+08,5.26550000000000E+08,6.05320000000000E+08,6.96560000000000E+08,8.55540000000000E+08,,
NPL,Nepal,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.16157345587801E+01,1.14070152159525E+01,1.25968733407520E+01,9.83807240960160E+00,1.09301864796033E+01,9.72616270618295E+00,8.57556591159650E+00,8.15769445080308E+00,8.24091021676307E+00,6.90476996739696E+00,7.00058657902157E+00,6.96026093559766E+00,5.66813202045166E+00,7.38051327607694E+00,5.86241060447428E+00,5.20224539438140E+00,5.75868055422787E+00,5.83015778109029E+00,5.48684054281684E+00,6.55578675997848E+00,,
NPL,Nepal,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.21601898091218E+01,2.29495805753964E+01,2.14595700821532E+01,1.75621656324811E+01,2.11648701704080E+01,1.98468414167956E+01,1.75455682465779E+01,1.77103716992244E+01,1.72332490763510E+01,1.46226468153362E+01,1.58205087201523E+01,1.55979635698440E+01,1.33992771384946E+01,1.78468630670763E+01,1.59103222093823E+01,1.55461789839397E+01,1.89177386449108E+01,2.13337370855504E+01,2.40979544346069E+01,2.90676271661122E+01,,
NPL,Nepal,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.51500817978839E+01,1.15592426915076E+01,9.35298905201502E+00,8.72260244524706E+00,8.08831076591956E+00,7.92852601929425E+00,6.61827856512934E+00,7.01589448972393E+00,8.11138663379204E+00,8.17636715339056E+00,7.51022728537154E+00,7.83435364664105E+00,1.04229869709588E+01,1.01396751629070E+01,9.02845841978795E+00,8.24657361646110E+00,9.94687132030944E+00,8.87165511091100E+00,8.32018355517379E+00,1.03685057206665E+01,,
NPL,Nepal,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.46806791631712E+01,1.10790236099864E+01,9.22878189578156E+00,8.63658436232657E+00,7.85930124972644E+00,7.70231905803532E+00,6.49964984363522E+00,6.90531909369454E+00,7.96165372772741E+00,7.99861511256594E+00,7.31070872119690E+00,7.66825016747427E+00,1.03223974365012E+01,1.00876298362452E+01,8.96091557358842E+00,8.09886665864215E+00,9.65462251125938E+00,8.63811601820539E+00,8.26879267466005E+00,1.03097782806305E+01,,
