Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NLD,Netherlands,AG.LND.FRST.K2,Forest area (sq. km),3.45000000000000E+03,,,,,,,,,,3.60000000000000E+03,,,,,3.65000000000000E+03,,,,,3.65000000000000E+03,
NLD,Netherlands,AG.LND.FRST.ZS,Forest area (% of land area),1.02191943127962E+01,,,,,,,,,,1.06635071090047E+01,,,,,1.08116113744076E+01,,,,,1.08116113744076E+01,
NLD,Netherlands,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.95084000000000E+09,1.67590000000000E+09,1.96556000000000E+09,,2.29913000000000E+09,2.12732000000000E+09,2.18844000000000E+09,1.01401000000000E+09,1.20290000000000E+09,1.83486000000000E+09,2.30951000000000E+09,1.89335000000000E+09,3.88174000000000E+09,1.56877000000000E+09,1.99031000000000E+09,2.75147000000000E+09,9.64361000000000E+09,4.17914000000000E+09,3.99724000000000E+09,4.70139000000000E+09,,
NLD,Netherlands,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,1.15934155614000E+09,1.40112923320000E+09,1.15043313358000E+09,1.11182564875000E+09,8.22802301500001E+08,9.72132820029999E+08,1.18247537157000E+09,1.70870940541001E+09,1.33485602247000E+09,2.05514329151000E+09,2.30590531000000E+09,4.44646955000000E+09,2.85607026000000E+09,3.96150365095000E+09,3.76099191000000E+09,,
NLD,Netherlands,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.21082040710000E+08,1.95547120550000E+08,1.38036290920000E+08,2.22218190880000E+08,1.80891553440000E+08,2.29441702870000E+08,3.60315242700000E+08,4.43854952390000E+08,2.04878283280000E+08,4.10155570000000E+08,5.38192390000000E+08,1.70781047000000E+09,5.17152660000000E+08,1.02527100000000E+09,4.46462640000000E+08,,
NLD,Netherlands,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.04440352429995E+01,1.39563943079965E+01,1.19986365909376E+01,1.99867840006960E+01,2.19848137408254E+01,2.36018883574901E+01,3.04712682701882E+01,2.59760349527365E+01,1.53483431794311E+01,1.99575169135113E+01,2.33397437295463E+01,3.84082349107732E+01,1.81071406835769E+01,2.58808546031286E+01,1.18708747767554E+01,,
NLD,Netherlands,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",5.82960000000000E+08,4.12320000000000E+08,5.46760000000000E+08,4.77930000000000E+08,4.94000000000000E+08,6.63280000000000E+08,6.63840000000000E+08,6.17980000000000E+08,6.12870000000000E+08,4.18060000000000E+08,5.53900000000000E+08,7.57700000000000E+08,9.18250000000000E+08,9.72630000000000E+08,1.04538000000000E+09,1.06521000000000E+09,9.39540000000000E+08,1.18567000000000E+09,1.36104000000000E+09,1.09456000000000E+09,,
NLD,Netherlands,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),2.10564100922966E-01,1.43658857875845E-01,1.70269912814991E-01,1.54663115754532E-01,1.49150788548746E-01,1.67081465061212E-01,1.66376903084326E-01,1.69114486522932E-01,1.61123470182115E-01,1.05550964242623E-01,1.47846813618232E-01,1.96265358016817E-01,2.22969649781638E-01,1.94746027957307E-01,1.82399363491861E-01,1.70530188298652E-01,1.38966937881998E-01,1.53896932602198E-01,1.56624446283836E-01,1.39758808034696E-01,,
NLD,Netherlands,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",2.53807000000000E+09,2.51671000000000E+09,2.75281000000000E+09,2.52540000000000E+09,2.51674000000000E+09,3.22608000000000E+09,3.24632000000000E+09,2.94673000000000E+09,3.04158000000000E+09,3.13404000000000E+09,3.13478000000000E+09,3.17249000000000E+09,3.33801000000000E+09,3.97217000000000E+09,4.20382000000000E+09,5.11469000000000E+09,5.45172000000000E+09,6.22426000000000E+09,6.99260000000000E+09,6.42608000000000E+09,6.35060000000000E+09,
NLD,Netherlands,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",9.20000000000000E-01,8.80000000000000E-01,8.60000000000000E-01,8.20000000000000E-01,7.60000000000000E-01,8.10000000000000E-01,8.10000000000000E-01,8.10000000000000E-01,8.00000000000000E-01,7.90000000000000E-01,8.40000000000000E-01,8.20000000000000E-01,8.10000000000000E-01,8.00000000000000E-01,7.30000000000000E-01,8.20000000000000E-01,8.10000000000000E-01,8.10000000000000E-01,8.00000000000000E-01,8.20000000000000E-01,8.10000000000000E-01,
