Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NZL,New Zealand,AG.LND.FRST.K2,Forest area (sq. km),7.72000000000000E+04,,,,,,,,,,8.26600000000000E+04,,,,,8.31100000000000E+04,,,,,8.26900000000000E+04,
NZL,New Zealand,AG.LND.FRST.ZS,Forest area (% of land area),2.93190535870267E+01,,,,,,,,,,3.13926550453838E+01,,,,,3.15635562644791E+01,,,,,3.14040484599901E+01,
NZL,New Zealand,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),4.84100000000000E+07,8.77200000000000E+07,6.37300000000000E+07,6.48200000000000E+07,,,,,,,,,5.02800000000000E+07,8.05200000000000E+07,1.12720000000000E+08,2.40220000000000E+08,2.01120000000000E+08,2.02390000000000E+08,2.57090000000000E+08,1.65330000000000E+08,,
NZL,New Zealand,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,6.30164044400001E+07,,,,,,,5.80885826300000E+07,8.42642991400000E+07,1.04162504550000E+08,1.75427371750000E+08,2.03602262150000E+08,1.71903457370000E+08,2.19508248060000E+08,1.83964477650000E+08,,
NZL,New Zealand,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,8.18897660000000E+05,,,,,,,7.05317571000000E+06,1.48131424500000E+07,2.05015394200000E+07,6.28393440100000E+07,3.70077754900000E+07,5.50582987300000E+07,4.99299924000000E+07,5.08752045300000E+07,,
NZL,New Zealand,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.29949918164515E+00,,,,,,,1.21421033026848E+01,1.75793813052297E+01,1.96822642740497E+01,3.58207179319495E+01,1.81765050639444E+01,3.20286162782021E+01,2.27462944291516E+01,2.76549066319163E+01,,
NZL,New Zealand,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.32800000000000E+07,1.24400000000000E+07,1.52600000000000E+07,1.49800000000000E+07,1.63200000000000E+07,2.06500000000000E+07,2.32900000000000E+07,2.67300000000000E+07,2.31800000000000E+07,2.60800000000000E+07,2.47300000000000E+07,2.54400000000000E+07,2.55100000000000E+07,3.70000000000000E+07,5.62500000000000E+07,5.74500000000000E+07,5.84000000000000E+07,6.20100000000000E+07,8.13300000000000E+07,8.27900000000000E+07,,
NZL,New Zealand,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.21541617727209E-02,3.09368083360275E-02,4.05606405497960E-02,3.77909976192681E-02,3.54611701273538E-02,3.83110343942181E-02,3.95674928157563E-02,4.58791023006147E-02,4.73829795758508E-02,5.23509553447154E-02,5.49347902048581E-02,5.79363852113733E-02,4.65597866171002E-02,5.04787155813606E-02,6.20701572642609E-02,5.69597022747593E-02,6.04861741966602E-02,5.16504875394552E-02,7.10399114503619E-02,7.43410704377826E-02,,
NZL,New Zealand,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",9.52800000000000E+07,1.00100000000000E+08,9.71800000000000E+07,9.77900000000000E+07,1.09920000000000E+08,1.23090000000000E+08,1.21680000000000E+08,1.53950000000000E+08,1.29960000000000E+08,1.33780000000000E+08,1.13220000000000E+08,1.11660000000000E+08,1.21860000000000E+08,1.65440000000000E+08,2.12100000000000E+08,2.73520000000000E+08,2.58650000000000E+08,3.19800000000000E+08,3.47960000000000E+08,3.09280000000000E+08,3.52830000000000E+08,
NZL,New Zealand,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.30000000000000E-01,2.50000000000000E-01,2.60000000000000E-01,2.50000000000000E-01,2.40000000000000E-01,2.30000000000000E-01,2.10000000000000E-01,2.60000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.50000000000000E-01,2.50000000000000E-01,2.20000000000000E-01,2.30000000000000E-01,2.30000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,2.70000000000000E-01,3.00000000000000E-01,2.80000000000000E-01,2.60000000000000E-01,
