Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NER,Niger,AG.LND.FRST.K2,Forest area (sq. km),1.94500000000000E+04,,,,,,,,,,1.32800000000000E+04,,,,,1.26600000000000E+04,,,,,1.20400000000000E+04,
NER,Niger,AG.LND.FRST.ZS,Forest area (% of land area),1.53548590826557E+00,,,,,,,,,,1.04839346332991E+00,,,,,9.99447382963606E-01,,,,,9.50501302597300E-01,
NER,Niger,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NER,Niger,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,9.46516994227788E+08
NER,Niger,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,6.50885624262831E+08
NER,Niger,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
NER,Niger,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.59740261849062E+09
NER,Niger,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.87590000000000E+08,3.69560000000000E+08,3.56710000000000E+08,3.38410000000000E+08,3.72790000000000E+08,2.71030000000000E+08,2.51800000000000E+08,3.32840000000000E+08,2.91610000000000E+08,1.87040000000000E+08,2.08440000000000E+08,2.53490000000000E+08,3.00250000000000E+08,4.61210000000000E+08,5.47170000000000E+08,5.19960000000000E+08,5.26050000000000E+08,5.41750000000000E+08,6.06720000000000E+08,4.70010000000000E+08,,
NER,Niger,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.87590000000000E+08,3.69560000000000E+08,3.56710000000000E+08,3.38410000000000E+08,3.72790000000000E+08,2.71030000000000E+08,2.51800000000000E+08,3.32840000000000E+08,2.91610000000000E+08,1.87040000000000E+08,2.08440000000000E+08,2.53490000000000E+08,3.00250000000000E+08,4.61210000000000E+08,5.47170000000000E+08,5.19960000000000E+08,5.26050000000000E+08,5.41750000000000E+08,6.06720000000000E+08,4.70010000000000E+08,,
NER,Niger,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.59937562906432E+01,1.61525366555032E+01,1.54126803685619E+01,2.13836437090104E+01,2.43268692718828E+01,1.48095239364541E+01,1.28506243201796E+01,1.83199792509080E+01,1.42028289950180E+01,9.35896174010340E+00,1.16974155592339E+01,1.31311080206346E+01,1.39886836263369E+01,1.69698184350361E+01,1.80033379431988E+01,1.53082307032820E+01,1.44315993966535E+01,1.26279313870921E+01,1.13385895668141E+01,9.03191200797656E+00,,
