Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NGA,Nigeria,AG.LND.FRST.K2,Forest area (sq. km),1.72340000000000E+05,,,,,,,,,,1.31370000000000E+05,,,,,1.10890000000000E+05,,,,,9.04100000000000E+04,
NGA,Nigeria,AG.LND.FRST.ZS,Forest area (% of land area),1.89224502344170E+01,,,,,,,,,,1.44240587634639E+01,,,,,1.21754120140101E+01,,,,,9.92676526455636E+00,
NGA,Nigeria,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.55080000000000E+08,2.58320000000000E+08,2.58820000000000E+08,2.88420000000000E+08,1.89660000000000E+08,2.10900000000000E+08,1.88750000000000E+08,1.99750000000000E+08,2.03090000000000E+08,1.51800000000000E+08,1.73700000000000E+08,1.76170000000000E+08,2.97930000000000E+08,3.08190000000000E+08,5.76870000000000E+08,6.40874000000000E+09,1.14279400000000E+10,1.95618000000000E+09,1.29020000000000E+09,1.65914000000000E+09,,
NGA,Nigeria,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.55080000000000E+08,2.58320000000000E+08,2.58820000000000E+08,2.88420000000000E+08,1.89660000000000E+08,2.10900000000000E+08,1.88750000000000E+08,1.99750000000000E+08,2.03090000000000E+08,1.51800000000000E+08,1.73700000000000E+08,1.76170000000000E+08,2.97930000000000E+08,3.08190000000000E+08,5.76870000000000E+08,6.40874000000000E+09,1.14279400000000E+10,1.95618000000000E+09,1.29020000000000E+09,1.65914000000000E+09,,
NGA,Nigeria,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),9.96992935660929E-01,1.03921719759472E+00,8.69664759528584E-01,1.51748694237222E+00,8.89998141989687E-01,8.14655865288752E-01,5.70788338076043E-01,5.87617363296255E-01,6.92729678010269E-01,4.55851171116207E-01,4.31489264832619E-01,3.99414967423154E-01,5.65157574676124E-01,5.13681604941582E-01,7.38533348591034E-01,6.48123699058849E+00,8.08914410740527E+00,1.26969001485397E+00,6.62695884139088E-01,1.04719336792742E+00,,
NGA,Nigeria,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.61480903472902E+00,2.58355818450670E+00,2.52643441359375E+00,2.74864876447704E+00,1.76505689339731E+00,1.91701675325389E+00,1.67601526522695E+00,1.73290732008247E+00,1.72134431693796E+00,1.25678473334075E+00,1.40433386647894E+00,1.39039806267047E+00,2.29472683357805E+00,2.31604962419823E+00,4.22926962499655E+00,4.58345509412091E+01,7.97266958980351E+01,1.33117409905312E+01,8.56332757289929E+00,1.07395993653154E+01,,
NGA,Nigeria,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.25962905019539E+01,2.20563096946086E+01,2.88394368471635E+01,1.33957728117164E+01,1.89467830014405E+01,1.47307273169696E+01,1.47900269332376E+01,8.71141625239471E+00,1.30732615759738E+01,7.54430178170812E+00,8.70952277609116E+00,1.29036445180903E+01,8.13229594050086E+00,5.96463517546880E+00,4.50818136071148E+00,1.53110720555356E+01,1.11727928383487E+01,1.78550320023538E+00,6.69672427680540E-01,8.14169720109404E-01,,
